65.0 APEX_CODE,FINEST;APEX_PROFILING,ERROR;CALLOUT,INFO;DATA_ACCESS,NONE;DB,INFO;NBA,ERROR;SYSTEM,FINEST;VALIDATION,ERROR;VISUALFORCE,FINE;WAVE,ERROR;WORKFLOW,FINEST
05:45:09.1 (1552908)|USER_INFO|[EXTERNAL]|005WC00000DZ6xV|nir.kailash@coastalcloud.fortra.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
05:45:09.1 (1610168)|EXECUTION_STARTED
05:45:09.1 (1629978)|CODE_UNIT_STARTED|[EXTERNAL]|01pWC000001wNGb|COLAUpliftPrehook
05:45:09.1 (1813011)|HEAP_ALLOCATE|[95]|Bytes:3
05:45:09.1 (1898808)|HEAP_ALLOCATE|[100]|Bytes:152
05:45:09.1 (1912214)|HEAP_ALLOCATE|[417]|Bytes:408
05:45:09.1 (1923462)|HEAP_ALLOCATE|[430]|Bytes:408
05:45:09.1 (1948553)|HEAP_ALLOCATE|[317]|Bytes:6
05:45:09.1 (1994418)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
05:45:09.1 (2010008)|SYSTEM_METHOD_ENTRY|[14]|QueueableContextImpl.QueueableContextImpl()
05:45:09.1 (2021827)|STATEMENT_EXECUTE|[14]
05:45:09.1 (2036804)|SYSTEM_METHOD_EXIT|[14]|QueueableContextImpl
05:45:09.1 (2042257)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
05:45:09.1 (2045075)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
05:45:09.1 (2061124)|VARIABLE_SCOPE_BEGIN|[21]|this|System.QueueableContextImpl|true|false
05:45:09.1 (2161060)|VARIABLE_ASSIGNMENT|[21]|this|{}|0x2fa65063
05:45:09.1 (2166985)|VARIABLE_SCOPE_BEGIN|[21]|jobId|Id|false|false
05:45:09.1 (2284920)|VARIABLE_ASSIGNMENT|[21]|jobId|"707WC00002xr7qtYAA"
05:45:09.1 (6139263)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
05:45:09.1 (6153274)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
05:45:09.1 (6160913)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
05:45:09.1 (6163083)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
05:45:09.1 (6175907)|VARIABLE_SCOPE_BEGIN|[1265]|this|COLAUpliftPrehook.MyCAPFlagApplier|true|false
05:45:09.1 (6220500)|VARIABLE_ASSIGNMENT|[1265]|this|{"flagFalseIds":"0x74eea789","flagTrueIds":"0x582dfb62"}|0x67a038aa
05:45:09.1 (6224453)|VARIABLE_SCOPE_BEGIN|[1265]|ctx|System.QueueableContext|true|false
05:45:09.1 (6274540)|VARIABLE_ASSIGNMENT|[1265]|ctx|{"jobId":"707WC00002xr7qtYAA"}|0x2fa65063
05:45:09.1 (6284735)|STATEMENT_EXECUTE|[1265]
05:45:09.1 (6286583)|STATEMENT_EXECUTE|[1277]
05:45:09.1 (6299924)|HEAP_ALLOCATE|[1277]|Bytes:4
05:45:09.1 (6321381)|SYSTEM_CONSTRUCTOR_ENTRY|[1277]|<init>(Integer)
05:45:09.1 (6348610)|SYSTEM_CONSTRUCTOR_EXIT|[1277]|<init>(Integer)
05:45:09.1 (6352374)|VARIABLE_SCOPE_BEGIN|[1277]|all|Set<Id>|true|false
05:45:09.1 (6380535)|VARIABLE_ASSIGNMENT|[1277]|all|[]|0x6039d0d
05:45:09.1 (6383234)|STATEMENT_EXECUTE|[1278]
05:45:09.1 (6412156)|SYSTEM_METHOD_ENTRY|[1278]|Set<Id>.addAll(Object)
05:45:09.1 (6435054)|HEAP_ALLOCATE|[1278]|Bytes:0
05:45:09.1 (6443699)|SYSTEM_METHOD_EXIT|[1278]|Set<Id>.addAll(Object)
05:45:09.1 (6449125)|STATEMENT_EXECUTE|[1279]
05:45:09.1 (6452874)|SYSTEM_METHOD_ENTRY|[1279]|Set<Id>.addAll(Object)
05:45:09.1 (6473433)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
05:45:09.1 (6477172)|HEAP_ALLOCATE|[1279]|Bytes:4
05:45:09.1 (6480558)|SYSTEM_METHOD_EXIT|[1279]|Set<Id>.addAll(Object)
05:45:09.1 (6483767)|SYSTEM_METHOD_ENTRY|[1280]|Set<Id>.isEmpty()
05:45:09.1 (6487834)|SYSTEM_METHOD_EXIT|[1280]|Set<Id>.isEmpty()
05:45:09.1 (6500244)|HEAP_ALLOCATE|[68]|Bytes:5
05:45:09.1 (6521483)|HEAP_ALLOCATE|[74]|Bytes:5
05:45:09.1 (6527592)|HEAP_ALLOCATE|[82]|Bytes:7
05:45:09.1 (6542215)|STATEMENT_EXECUTE|[1280]
05:45:09.1 (6543026)|STATEMENT_EXECUTE|[1281]
05:45:09.1 (6631096)|HEAP_ALLOCATE|[1281]|Bytes:4
05:45:09.1 (6663574)|SYSTEM_CONSTRUCTOR_ENTRY|[1281]|<init>()
05:45:09.1 (6672821)|SYSTEM_CONSTRUCTOR_EXIT|[1281]|<init>()
05:45:09.1 (6674965)|VARIABLE_SCOPE_BEGIN|[1281]|toUpdate|List<Quote>|true|false
05:45:09.1 (6681526)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
05:45:09.1 (6686959)|VARIABLE_ASSIGNMENT|[1281]|toUpdate|[]|0x750a0ab
05:45:09.1 (6691146)|HEAP_ALLOCATE|[1282]|Bytes:50
05:45:09.1 (6704933)|HEAP_ALLOCATE|[1282]|Bytes:4
05:45:09.1 (6710615)|HEAP_ALLOCATE|[1282]|Bytes:7
05:45:09.1 (7996844)|SOQL_EXECUTE_BEGIN|[1282]|Aggregations:0|SELECT Id, Mycap__c FROM Quote WHERE Id = :tmpVar1
05:45:09.1 (14527506)|SOQL_EXECUTE_END|[1282]|Rows:1
05:45:09.1 (14553562)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
05:45:09.1 (14760154)|SYSTEM_METHOD_ENTRY|[1282]|Database.QueryLocator.iterator()
05:45:09.1 (14883918)|HEAP_ALLOCATE|[1282]|Bytes:54
05:45:09.1 (14891379)|HEAP_ALLOCATE|[1282]|Bytes:8
05:45:09.1 (14900338)|SYSTEM_METHOD_ENTRY|[7]|QueryLocatorIterator.QueryLocatorIterator()
05:45:09.1 (14903214)|STATEMENT_EXECUTE|[7]
05:45:09.1 (14910911)|SYSTEM_METHOD_EXIT|[7]|QueryLocatorIterator
05:45:09.1 (14916121)|HEAP_ALLOCATE|[1282]|Bytes:28
05:45:09.1 (14939560)|HEAP_ALLOCATE|[1282]|Bytes:8
05:45:09.1 (14946583)|HEAP_ALLOCATE|[1282]|Bytes:8
05:45:09.1 (14948119)|HEAP_ALLOCATE|[1282]|Bytes:8
05:45:09.1 (14952165)|VARIABLE_SCOPE_BEGIN|[15]|this|Database.QueryLocatorIterator|true|false
05:45:09.1 (14983838)|VARIABLE_ASSIGNMENT|[15]|this|{}|0x60b61f5e
05:45:09.1 (14987521)|VARIABLE_SCOPE_BEGIN|[15]|values|List<SObject>|true|false
05:45:09.1 (15076505)|VARIABLE_ASSIGNMENT|[15]|values|[{"Mycap__c":false,"Id":"0Q0WC0000037muD0AQ"}]|0x52bbb18a
05:45:09.1 (15080653)|VARIABLE_SCOPE_BEGIN|[15]|ql|Database.QueryLocator|true|false
05:45:09.1 (15097546)|VARIABLE_ASSIGNMENT|[15]|ql|{"query":"SELECT Id, Mycap__c  (30 more) ..."}|0x19468e08
05:45:09.1 (15100569)|VARIABLE_SCOPE_BEGIN|[15]|totalNumRecords|Integer|false|false
05:45:09.1 (15106702)|VARIABLE_ASSIGNMENT|[15]|totalNumRecords|1
05:45:09.1 (15109683)|VARIABLE_SCOPE_BEGIN|[15]|queryMoreSize|Integer|false|false
05:45:09.1 (15113432)|VARIABLE_ASSIGNMENT|[15]|queryMoreSize|49999
05:45:09.1 (15154858)|HEAP_ALLOCATE|[1282]|Bytes:28
05:45:09.1 (15159951)|SYSTEM_METHOD_EXIT|[1282]|Database.QueryLocator.iterator()
05:45:09.1 (15179933)|METHOD_ENTRY|[1282]||Database.QueryLocatorIterator.hasNext()
05:45:09.1 (15220516)|METHOD_EXIT|[1282]||Database.QueryLocatorIterator.hasNext()
05:45:09.1 (15224733)|METHOD_ENTRY|[1282]||Database.QueryLocatorIterator.next()
05:45:09.1 (15282681)|METHOD_EXIT|[1282]||Database.QueryLocatorIterator.next()
05:45:09.1 (15289021)|VARIABLE_SCOPE_BEGIN|[1282]|q|Quote|true|false
