TOTAL QLI w/ Unit Type=Per User attr: 26189
  with NON-NULL NetUnitPrice (priced OK under v23): 370
   0QLWC000002LeHR4A0 | DCS Advanced Bundle OLD |net 42 | Draft
   0QLWC000002LeHS4A0 | DCS Essentials Bundle OLD |net 35 | Draft
   0QLWC000002LfGi4AK | Click and Launch Security Awar |net 3880.8 | Accepted
   0QLWC000002LnkY4AS | Click and Launch Security Awar |net 19.2 | Accepted
   0QLWC000002Lo2H4AS | Fortra PCI Scanning |net 0 | Accepted
   0QLWC000002OeuP4AS | Insite Analytics - Core |net 2500 | Draft
   0QLWC000002OeuQ4AS | Insite Analytics |net 0 | Draft
   0QLWC000002PBDd4AO | Click and Launch Security Awar |net 0 | Draft
   0QLWC000002PGV34AO | DCS Advanced Bundle OLD |net 16.38 | Draft
   0QLWC000002PGV44AO | DCS Essentials Bundle OLD |net 13.65 | Draft
   0QLWC000002Phzz4AC | GoAnywhere EDI X12 |net 2888 | Accepted
   0QLWC000002Phzt4AC | Core Impact |net 369 | Draft
   0QLWC000002Phzu4AC | DCS Advanced Bundle OLD |net 42 | Draft
   0QLWC000002Pi014AC | DCS Elite Bundle - OLD |net 62 | Draft
   0QLWC000002Phzw4AC | Automate Maintenance Add Ons |net 0 | Draft
   0QLWC000002Phzx4AC | 24 X 7 X 365 Monitoring |net 15000 | Draft
   0QLWC000002Phzy4AC | DCS Essentials Bundle OLD |net 35 | Accepted
   0QLWC000002QNz84AG | Click and Launch Security Awar |net 2180 | Draft
   0QLWC000002QS4N4AW | DCS Advanced Bundle OLD |net 21 | Draft
   0QLWC000002QS4O4AW | DCS Essentials Bundle OLD |net 13.65 | Draft
