TOTAL ATTR MAPPINGS: 201
CUSTOM (non-inherited): 69
  CUSTOM: SalesItemType attrId 11nWC0000D8eT2NYQU
  CUSTOM: ItemTotalAdjustmentDistAmount attrId 11nWC0000D8eT2QYQU
  CUSTOM: ProformaBillingPeriodAmount attrId 11nWC0000D8eT2XYQU
  CUSTOM: RoundedLineAmount attrId 11nWC0000D8eT2ZYQU
  CUSTOM: TotalTaxAmount attrId 11nWC0000D8eT2aYQE
  CUSTOM: PricingTerm attrId 11nWC0000D8eT2cYQE
  CUSTOM: IsAssetizable attrId 11nWC0000D8eT2jYQE
  CUSTOM: RelatedChangeIdentifier__std attrId 11nWC0000D8eT3VYQU
  CUSTOM: SupplementalChangeType__std attrId 11nWC0000D8eT3XYQU
  CUSTOM: ParentReference attrId 11nWC0000D8eT3eYQE
  CUSTOM: Partition__c attrId 11nWC0000D8nZGmYQM
  CUSTOM: Partner_Adjusted_Price__c attrId 11nWC0000D8nZHDYQ2
  CUSTOM: Attribute_Picklist_Value__c attrId 11nWC0000D8nZHOYQ2
  CUSTOM: Pre_COLA_Price__c attrId 11nWC0000D8nZGxYQM
  CUSTOM: Is_COLA_Overridden__c attrId 11nWC0000D8nZGtYQM
  CUSTOM: Hardware__c attrId 11nWC0000D8nZGfYQM
  CUSTOM: RegionalNetUnitPrice__c attrId 11nWC0000D8nZH0YQM
  CUSTOM: Partner_Pricing_Source__c attrId 11nWC0000D8nZH9YQM
  CUSTOM: Partner_Pricing_Warning__c attrId 11nWC0000D8nZH7YQM
  CUSTOM: Exchange_Rate_To_USD__c attrId 11nWC0000D8nZHKYQ2
  CUSTOM: COLA_Uplift_Percent__c attrId 11nWC0000D8nZGuYQM
  CUSTOM: Custom_Product_Name__c attrId 11nWC0000D8nZGXYQ2
  CUSTOM: Fortra_Product_Type__c attrId 11nWC0000D8nZGYYQ2
  CUSTOM: Base_Price__c attrId 11nWC0000D8nZH5YQM
  CUSTOM: Test__c attrId 11nWC0000D8nZGZYQ2
  CUSTOM: Swap__c attrId 11nWC0000D8nZGpYQM
  CUSTOM: Model__c attrId 11nWC0000D8nZGlYQM
  CUSTOM: COLA_Applied_Date__c attrId 11nWC0000D8nZGvYQM
  CUSTOM: COLA_Source__c attrId 11nWC0000D8nZGwYQM
  CUSTOM: COLAUpliftPercent__c attrId 11nWC0000D8nZGzYQM
  CUSTOM: Partner_Discount_Percent__c attrId 11nWC0000D8nZHBYQ2
  CUSTOM: TwoYearsAfterStartDate__c attrId 11nWC0000D8nZGbYQM
  CUSTOM: AllowRegionalPricing__c attrId 11nWC0000D8nZGcYQM
  CUSTOM: AttributePricingApplied__c attrId 11nWC0000D8nZH2YQM
  CUSTOM: QLI_Displaced_ARR__c attrId 11nWC0000D8nZHIYQ2
  CUSTOM: LPAR_Number__c attrId 11nWC0000D8nZGjYQM
  CUSTOM: Instances__c attrId 11nWC0000D8nZGiYQM
  CUSTOM: Order_Product_Displaced_ARR__c attrId 11nWC0000D8nZHHYQ2
  CUSTOM: COLAUpliftPercent2__c attrId 11nWC0000D8nZHGYQ2
  CUSTOM: MaintenanceType__c attrId 11nWC0000D8nZHNYQ2
  CUSTOM: Partner_Pricing_Model_Applied__c attrId 11nWC0000D8nZHAYQ2
  CUSTOM: OrderLineARR__c attrId 11nWC0000D8nZGdYQM
  CUSTOM: COLAApplied__c attrId 11nWC0000D8nZGyYQM
  CUSTOM: COLACalculatedPrice__c attrId 11nWC0000D8nZGsYQM
  CUSTOM: IsCOLAOverridden__c attrId 11nWC0000D8nZHMYQ2
  CUSTOM: System_Type__c attrId 11nWC0000D8nZGqYQM
  CUSTOM: Sales_Support_Notes__c attrId 11nWC0000D8nZGnYQM
  CUSTOM: Partner_Margin_Detail__c attrId 11nWC0000D8nZH8YQM
  CUSTOM: YearAfterStartDate__c attrId 11nWC0000D8nZGaYQM
  CUSTOM: COLACalculatedPrice2__c attrId 11nWC0000D8nZGrYQM
  CUSTOM: Serial_Number__c attrId 11nWC0000D8nZGoYQM
  CUSTOM: GSA__c attrId 11nWC0000D8nZGeYQM
  CUSTOM: Pre_Partner_Price__c attrId 11nWC0000D8nZHCYQ2
  CUSTOM: Product_Description__c attrId 11nWC0000D8nZHLYQ2
  CUSTOM: COLA_Solution_Category__c attrId 11nWC0000D8nZHEYQ2
  CUSTOM: Has_Attribute_Adjustment__c attrId 11nWC0000D8nZH4YQM
  CUSTOM: Is_Partner_Price_Overridden__c attrId 11nWC0000D8nZH6YQM
  CUSTOM: Hardware_ID__c attrId 11nWC0000D8nZGgYQM
  CUSTOM: Attribute_Multiplier_Pct__c attrId 11nWC0000D8nZH1YQM
  CUSTOM: QuoteLine_NARR__c attrId 11nWC0000D8nZHJYQ2
  CUSTOM: COLAExplainer__c attrId 11nWC0000D8nZHFYQ2
  CUSTOM: Attribute_Price_Mode__c attrId 11nWC0000D8nZH3YQM
  CUSTOM: LPAR_System_Name__c attrId 11nWC0000D8nZGkYQM
  CUSTOM: MaintType4__c attrId 11nWC0000D8nZHPYQ2
  CUSTOM: Hostname__c attrId 11nWC0000D8nZGhYQM
  CUSTOM: Source_List_Price__c attrId 11nWC0000D8z80gYQA
  CUSTOM: Prior_Discretionary_Discount__c attrId 11nWC0000D90pbNYQQ
  CUSTOM: Prior_Partner_Discount__c attrId 11nWC0000D90pbOYQQ
  CUSTOM: CancelNetUnitPrice__c attrId 11nWC0000D9vxSXYQY
