"sf__Id","sf__Error",ProductClassificationId,AttributeDefinitionId,AttributeCategoryId,Name,CurrencyIsoCode,Description,ValueDescription,HelpText,IsHidden,IsReadOnly,IsRequired,Status,Sequence,AttributeNameOverride,DefaultValue,DisplayType,IsPriceImpacting,MinimumValue,MaximumValue,MinimumCharacterCount,MaximumCharacterCount,StepValue,GearsetExternalId__c
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","11Bct0000051QqGEAU","0tjct00000003m5AAA","0v3ct00000002DDAAY","Server Type","USD","Server Type","","","false","false","true","Active","","Server Type","","","false","","","","","","AA2ctlh700000CWC11"
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","11Bct0000051QqHEAU","0tjct00000003m5AAA","0v3ct00000002DDAAY","Server Type","USD","Server Type","","","false","false","true","Active","","Server Type","","","false","","","","","","AA2ftlh700000CWC11"
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","11Bct0000051QqHEAU","0tjct00000003m0AAA","0v3ct00000002DDAAY","Operating System","USD","Operating System","","","false","false","true","Active","","Operating System","","","false","","","","","","AA2gtlh700000CWC11"
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","11Bct0000051QqIEAU","0tjct00000003m5AAA","0v3ct00000002DDAAY","Server Type","USD","Server Type","","","false","false","true","Active","","Server Type","","","false","","","","","","AA2jtlh700000CWC11"
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","11Bct0000051QqIEAU","0tjct00000003m0AAA","0v3ct00000002DDAAY","Operating System","USD","Operating System","","","false","false","true","Active","","Operating System","","","false","","","","","","AA2ktlh700000CWC11"
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","11Bct0000051QqJEAU","0tjct00000003m6AAA","0v3ct00000002DEAAY","Unit Type","USD","Unit Type","","","false","false","true","Active","","Unit Type","","","false","","","","","","AA2mtlh700000CWC11"
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","11Bct0000051QqJEAU","0tjct00000003lzAAA","0v3ct00000002DEAAY","Number of Units","USD","Unit Type, Number of Units, Server Type, PGroup","","","false","false","false","Active","","Number of Units","","","false","","","","","","AA2ntlh700000CWC11"
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","11Bct0000051QqJEAU","0tjct00000003m5AAA","0v3ct00000002DDAAY","Server Type","USD","Server Type","","","false","false","true","Active","","Server Type","","","false","","","","","","AA2otlh700000CWC11"
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","11Bct0000051QqKEAU","0tjct00000003m6AAA","0v3ct00000002DEAAY","Unit Type","USD","Unit Type","","","false","false","true","Active","","Unit Type","","","false","","","","","","AA2qtlh700000CWC11"
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","11Bct0000051QqKEAU","0tjct00000003lzAAA","0v3ct00000002DEAAY","Number of Units","USD","Unit Type, Number of Units, Server Type, Operating System","","","false","false","false","Active","","Number of Units","","","false","","","","","","AA2rtlh700000CWC11"
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","11Bct0000051QqKEAU","0tjct00000003m5AAA","0v3ct00000002DDAAY","Server Type","USD","Server Type","","","false","false","true","Active","","Server Type","","","false","","","","","","AA2stlh700000CWC11"
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","11Bct0000051QqKEAU","0tjct00000003m0AAA","0v3ct00000002DDAAY","Operating System","USD","Operating System","","","false","false","true","Active","","Operating System","","","false","","","","","","AA2ttlh700000CWC11"
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","11Bct0000051QqLEAU","0tjct00000003m6AAA","0v3ct00000002DEAAY","Unit Type","USD","Unit Type","","","false","false","true","Active","","Unit Type","","","false","","","","","","AA2utlh700000CWC11"
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","11Bct0000051QqLEAU","0tjct00000003lzAAA","0v3ct00000002DEAAY","Number of Units","USD","Unit Type, Number of Units, Server Type, Operating System, Clustered","","","false","false","false","Active","","Number of Units","","","false","","","","","","AA2vtlh700000CWC11"
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","11Bct0000051QqLEAU","0tjct00000003m5AAA","0v3ct00000002DDAAY","Server Type","USD","Server Type","","","false","false","true","Active","","Server Type","","","false","","","","","","AA2wtlh700000CWC11"
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","11Bct0000051QqLEAU","0tjct00000003m0AAA","0v3ct00000002DDAAY","Operating System","USD","Operating System","","","false","false","true","Active","","Operating System","","","false","","","","","","AA2xtlh700000CWC11"
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","11Bct0000051QqMEAU","0tjct00000003m6AAA","0v3ct00000002DEAAY","Unit Type","USD","Unit Type","","","false","false","true","Active","","Unit Type","","","false","","","","","","AA2ztlh700000CWC11"
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","11Bct0000051QqMEAU","0tjct00000003lzAAA","0v3ct00000002DEAAY","Number of Units","USD","Unit Type, Number of Units, Server Type, Clustered","","","false","false","false","Active","","Number of Units","","","false","","","","","","AA20ulh700000CWC11"
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","11Bct0000051QqMEAU","0tjct00000003m5AAA","0v3ct00000002DDAAY","Server Type","USD","Server Type","","","false","false","true","Active","","Server Type","","","false","","","","","","AA21ulh700000CWC11"
