"Sequence","Name","ApiName","Status","Description","EffectiveFromDate","EffectiveToDate","CurrencyIsoCode","CriteriaExpressionType","CriteriaHumanReadable","ValidationMessage","RawJSON","SourceUAT_Id"
"1","Autoadd DPEENM when DPEEXS on New quote","autoaddDpeenmWhenDpeexsOnNewQuote","Active","","2026-04-01T19:52:00.000+0000","","USD","All","[0] ItemProductCode ? FIM-FIM-RSS-DPEEXS","","{""usageSubType"":""Transaction"",""sequence"":1,""criteriaExpressionType"":""All"",""apiName"":""autoaddDpeenmWhenDpeexsOnNewQuote"",""endDate"":null,""criteria"":[{""sourceDataType"":""String"",""conditionExpression"":null,""sourceValues"":[""FIM-FIM-RSS-DPEEXS""],""sourceContextTagName"":""ItemProductCode"",""sourceInformation"":[{""type"":""Tag"",""name"":""ProductBasedOn"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""Product"",""values"":{""values"":[""FIM-FIM-RSS-DPEEXS""]}},{""type"":""Enum"",""name"":""ProductType"",""values"":{""values"":[""Static""]}},{""type"":""Tag"",""name"":""ProductName"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ItemPath"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ParentPRCPath"",""values"":{""values"":[null]}}],""sourceOperator"":""Equals"",""conditions"":[],""criteriaIndex"":1}],""scope"":""Transaction"",""name"":""Autoadd DPEENM when DPEEXS on New quote"",""description"":null,""actions"":[{""targetValues"":[""01tWC00000DD1BRYA1""],""targetInformation"":[{""type"":""Tag"",""name"":""ProductBasedOn"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""Product"",""values"":{""values"":[""01tWC00000DD1BRYA1""]}},{""type"":""Enum"",""name"":""ProductType"",""values"":{""values"":[""Static""]}},{""type"":""Tag"",""name"":""ProductName"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ItemPath"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ParentPRCPath"",""values"":{""values"":[null]}}],""targetDataType"":null,""message"":null,""targetOperator"":""Equals"",""actionType"":""AutoAdd"",""sequence"":1,""actionParameters"":[],""targetContextTagName"":""Product"",""messageType"":null,""name"":""RuleAction0"",""behaviorTypeLock"":null,""actionParametersExpression"":null}],""startDate"":""2026-04-01T19:52:00"",""status"":""Active""}","14OWC0000021tR72AI"
"1","Year 2 Maintenance Sku added to Tripwire Enterprise for Desktops Perpetual","year2MaintenanceSkuAddedToTripwireEnterpriseForDesktopsPerpetual","Active","","2026-04-01T21:45:00.000+0000","","USD","All","[0] ItemProductCode ? FIM-FIM-NRPS-TRIPEN AND [0] QuoteTypeText__c ? Renewal","","{""usageSubType"":""Transaction"",""sequence"":1,""criteriaExpressionType"":""All"",""apiName"":""year2MaintenanceSkuAddedToTripwireEnterpriseForDesktopsPerpetual"",""endDate"":null,""criteria"":[{""sourceDataType"":""String"",""conditionExpression"":null,""sourceValues"":[""FIM-FIM-NRPS-TRIPEN""],""sourceContextTagName"":""ItemProductCode"",""sourceInformation"":[{""type"":""Tag"",""name"":""ProductBasedOn"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""Product"",""values"":{""values"":[""FIM-FIM-NRPS-TRIPEN""]}},{""type"":""Enum"",""name"":""ProductType"",""values"":{""values"":[""Static""]}},{""type"":""Tag"",""name"":""ProductName"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ItemPath"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ParentPRCPath"",""values"":{""values"":[null]}}],""sourceOperator"":""Equals"",""conditions"":[],""criteriaIndex"":1},{""sourceDataType"":""String"",""conditionExpression"":null,""sourceValues"":[""Renewal""],""sourceContextTagName"":""QuoteTypeText__c"",""sourceInformation"":[{""type"":""Tag"",""name"":""ProductBasedOn"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""Product"",""values"":{""values"":[""Renewal""]}},{""type"":""Enum"",""name"":""ProductType"",""values"":{""values"":[""Static""]}},{""type"":""Tag"",""name"":""ProductName"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ItemPath"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ParentPRCPath"",""values"":{""values"":[null]}}],""sourceOperator"":""Equals"",""conditions"":[],""criteriaIndex"":2}],""scope"":""Transaction"",""name"":""Year 2 Maintenance Sku added to Tripwire Enterprise for Desktops Perpetual"",""description"":null,""actions"":[{""targetValues"":[""01tWC00000DD1hnYAD""],""targetInformation"":[{""type"":""Tag"",""name"":""ProductBasedOn"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""Product"",""values"":{""values"":[""01tWC00000DD1hnYAD""]}},{""type"":""Enum"",""name"":""ProductType"",""values"":{""values"":[""Static""]}},{""type"":""Tag"",""name"":""ProductName"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ItemPath"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ParentPRCPath"",""values"":{""values"":[null]}}],""targetDataType"":null,""message"":""FIM-FIM-RRM-TRIENT needs to be added to Perpetual licenses for Year 2!"",""targetOperator"":""Equals"",""actionType"":""AutoAdd"",""sequence"":1,""actionParameters"":[],""targetContextTagName"":""Product"",""messageType"":""Info"",""name"":""RuleAction0"",""behaviorTypeLock"":null,""actionParametersExpression"":null}],""startDate"":""2026-04-01T21:45:00"",""status"":""Active""}","14OWC0000022HtF2AU"
"10","A customer can not own WebDocs Document Management and WebForms SMB","aCustomerCanNotOwnWebdocsDocumentManagementAndWebformsSmb","Active","","2026-01-19T19:04:00.000+0000","","USD","All","[0] ItemProductCode ? DM-WFM-NRPS-WEBFSL","","{""usageSubType"":""Transaction"",""sequence"":10,""criteriaExpressionType"":""All"",""apiName"":""aCustomerCanNotOwnWebdocsDocumentManagementAndWebformsSmb"",""endDate"":null,""criteria"":[{""sourceDataType"":""String"",""conditionExpression"":null,""sourceValues"":[""DM-WFM-NRPS-WEBFSL""],""sourceContextTagName"":""ItemProductCode"",""sourceInformation"":[{""type"":""Tag"",""name"":""ProductBasedOn"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""Product"",""values"":{""values"":[""DM-WFM-NRPS-WEBFSL""]}},{""type"":""Enum"",""name"":""ProductType"",""values"":{""values"":[""Static""]}},{""type"":""Tag"",""name"":""ProductName"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ItemPath"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ParentPRCPath"",""values"":{""values"":[null]}}],""sourceOperator"":""Equals"",""conditions"":[],""criteriaIndex"":1}],""scope"":""Transaction"",""name"":""A customer can not own WebDocs Document Management and WebForms SMB"",""description"":"""",""actions"":[{""targetValues"":[""01tWC00000DD1wjYAD""],""targetInformation"":[{""type"":""Tag"",""name"":""ProductBasedOn"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""Product"",""values"":{""values"":[""01tWC00000DD1wjYAD""]}},{""type"":""Enum"",""name"":""ProductType"",""values"":{""values"":[""Static""]}},{""type"":""Tag"",""name"":""ProductName"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ItemPath"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ParentPRCPath"",""values"":{""values"":[null]}}],""targetDataType"":null,""message"":""A customer can not own WebDocs Document Management with this Sku!"",""targetOperator"":""Equals"",""actionType"":""Requires"",""sequence"":1,""actionParameters"":[],""targetContextTagName"":""Product"",""messageType"":""Error"",""name"":""RuleAction0"",""behaviorTypeLock"":null,""actionParametersExpression"":null}],""startDate"":""2026-01-19T19:04:00"",""status"":""Active""}","14OWC000001rzcf2AA"
"10","Can only be purchased alongside Intermapper Server Freeware","canOnlyBePurchasedAlongsideIntermapperServerFreeware","Active","","2026-01-19T19:04:00.000+0000","","USD","All","[0] ItemProductCode ? NW-INT-NRPS-RAPFP","","{""usageSubType"":""Transaction"",""sequence"":10,""criteriaExpressionType"":""All"",""apiName"":""canOnlyBePurchasedAlongsideIntermapperServerFreeware"",""endDate"":null,""criteria"":[{""sourceDataType"":""String"",""conditionExpression"":null,""sourceValues"":[""NW-INT-NRPS-RAPFP""],""sourceContextTagName"":""ItemProductCode"",""sourceInformation"":[{""type"":""Tag"",""name"":""ProductBasedOn"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""Product"",""values"":{""values"":[""NW-INT-NRPS-RAPFP""]}},{""type"":""Enum"",""name"":""ProductType"",""values"":{""values"":[""Static""]}},{""type"":""Tag"",""name"":""ProductName"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ItemPath"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ParentPRCPath"",""values"":{""values"":[null]}}],""sourceOperator"":""Equals"",""conditions"":[],""criteriaIndex"":1}],""scope"":""Transaction"",""name"":""Can only be purchased alongside Intermapper Server Freeware"",""description"":"""",""actions"":[{""targetValues"":[""01tWC00000DCwWCYA1""],""targetInformation"":[{""type"":""Tag"",""name"":""ProductBasedOn"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""Product"",""values"":{""values"":[""01tWC00000DCwWCYA1""]}},{""type"":""Enum"",""name"":""ProductType"",""values"":{""values"":[""Static""]}},{""type"":""Tag"",""name"":""ProductName"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ItemPath"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ParentPRCPath"",""values"":{""values"":[null]}}],""targetDataType"":null,""message"":""Can only be purchased alongside Intermapper Server!"",""targetOperator"":""Equals"",""actionType"":""Requires"",""sequence"":1,""actionParameters"":[],""targetContextTagName"":""Product"",""messageType"":""Error"",""name"":""RuleAction0"",""behaviorTypeLock"":null,""actionParametersExpression"":null}],""startDate"":""2026-01-19T19:04:00"",""status"":""Active""}","14OWC000001rzPm2AI"
"10","Can only be sold to customers with GoAnywhere Gateway","canOnlyBeSoldToCustomersWithGoanywhereGateway","Active","Data Export/400 - Legacy","2026-01-19T19:04:00.000+0000","","USD","All","[0] ItemProductCode ? GOA-GAM-NRPS-GOBP","","{""usageSubType"":""Transaction"",""sequence"":10,""criteriaExpressionType"":""All"",""apiName"":""canOnlyBeSoldToCustomersWithGoanywhereGateway"",""endDate"":null,""criteria"":[{""sourceDataType"":""String"",""conditionExpression"":null,""sourceValues"":[""GOA-GAM-NRPS-GOBP""],""sourceContextTagName"":""ItemProductCode"",""sourceInformation"":[{""type"":""Tag"",""name"":""ProductBasedOn"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""Product"",""values"":{""values"":[""GOA-GAM-NRPS-GOBP""]}},{""type"":""Enum"",""name"":""ProductType"",""values"":{""values"":[""Static""]}},{""type"":""Tag"",""name"":""ProductName"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ItemPath"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ParentPRCPath"",""values"":{""values"":[null]}}],""sourceOperator"":""Equals"",""conditions"":[],""criteriaIndex"":1}],""scope"":""Transaction"",""name"":""Can only be sold to customers with GoAnywhere Gateway"",""description"":""Data Export/400 - Legacy"",""actions"":[{""targetValues"":[""01tWC00000DD1NKYA1""],""targetInformation"":[{""type"":""Tag"",""name"":""ProductBasedOn"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""Product"",""values"":{""values"":[""01tWC00000DD1NKYA1""]}},{""type"":""Enum"",""name"":""ProductType"",""values"":{""values"":[""Static""]}},{""type"":""Tag"",""name"":""ProductName"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ItemPath"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ParentPRCPath"",""values"":{""values"":[null]}}],""targetDataType"":null,""message"":""Can only be sold to customers with GoAnywhere Gateway!"",""targetOperator"":""Equals"",""actionType"":""Requires"",""sequence"":1,""actionParameters"":[],""targetContextTagName"":""Product"",""messageType"":""Error"",""name"":""RuleAction0"",""behaviorTypeLock"":null,""actionParametersExpression"":null}],""startDate"":""2026-01-19T19:04:00"",""status"":""Active""}","14OWC000001rzeH2AQ"
"10","Can only be sold to customers with GoAnywhere Gateway_2","canOnlyBeSoldToCustomersWithGoanywhereGateway_2","Active","GoAnywhere Gateway Load Balancer","2026-01-19T19:04:00.000+0000","","USD","All","[0] ItemProductCode ? GOA-GAM-RSS-GOBS_LIC","","{""usageSubType"":""Transaction"",""sequence"":10,""criteriaExpressionType"":""All"",""apiName"":""canOnlyBeSoldToCustomersWithGoanywhereGateway_2"",""endDate"":null,""criteria"":[{""sourceDataType"":""String"",""conditionExpression"":null,""sourceValues"":[""GOA-GAM-RSS-GOBS_LIC""],""sourceContextTagName"":""ItemProductCode"",""sourceInformation"":[{""type"":""Tag"",""name"":""ProductBasedOn"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""Product"",""values"":{""values"":[""GOA-GAM-RSS-GOBS_LIC""]}},{""type"":""Enum"",""name"":""ProductType"",""values"":{""values"":[""Static""]}},{""type"":""Tag"",""name"":""ProductName"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ItemPath"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ParentPRCPath"",""values"":{""values"":[null]}}],""sourceOperator"":""Equals"",""conditions"":[],""criteriaIndex"":1}],""scope"":""Transaction"",""name"":""Can only be sold to customers with GoAnywhere Gateway_2"",""description"":""GoAnywhere Gateway Load Balancer"",""actions"":[{""targetValues"":[""01tWC00000DD1NKYA1""],""targetInformation"":[{""type"":""Tag"",""name"":""ProductBasedOn"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""Product"",""values"":{""values"":[""01tWC00000DD1NKYA1""]}},{""type"":""Enum"",""name"":""ProductType"",""values"":{""values"":[""Static""]}},{""type"":""Tag"",""name"":""ProductName"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ItemPath"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ParentPRCPath"",""values"":{""values"":[null]}}],""targetDataType"":null,""message"":""Can only be sold to customers with GoAnywhere Gateway!"",""targetOperator"":""Equals"",""actionType"":""Requires"",""sequence"":1,""actionParameters"":[],""targetContextTagName"":""Product"",""messageType"":""Error"",""name"":""RuleAction0"",""behaviorTypeLock"":null,""actionParametersExpression"":null}],""startDate"":""2026-01-19T19:04:00"",""status"":""Active""}","14OWC000001rzft2AA"
"10","Customer must already own or be purchasing DeliverNow Base RJ07315","customerMustAlreadyOwnOrBePurchasingDelivernowBaseRj07315","Active","Automate Intelligent Capture
(DM-DLN-RSS-DELIIS)","2026-01-19T19:04:00.000+0000","","USD","All","[0] ItemProductCode ? DM-DLN-RSS-DELIIS","","{""usageSubType"":""Transaction"",""sequence"":10,""criteriaExpressionType"":""All"",""apiName"":""customerMustAlreadyOwnOrBePurchasingDelivernowBaseRj07315"",""endDate"":null,""criteria"":[{""sourceDataType"":""String"",""conditionExpression"":null,""sourceValues"":[""DM-DLN-RSS-DELIIS""],""sourceContextTagName"":""ItemProductCode"",""sourceInformation"":[{""type"":""Tag"",""name"":""ProductBasedOn"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""Product"",""values"":{""values"":[""DM-DLN-RSS-DELIIS""]}},{""type"":""Enum"",""name"":""ProductType"",""values"":{""values"":[""Static""]}},{""type"":""Tag"",""name"":""ProductName"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ItemPath"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ParentPRCPath"",""values"":{""values"":[null]}}],""sourceOperator"":""Equals"",""conditions"":[],""criteriaIndex"":1}],""scope"":""Transaction"",""name"":""Customer must already own or be purchasing DeliverNow Base RJ07315"",""description"":""Automate Intelligent Capture\n(DM-DLN-RSS-DELIIS)"",""actions"":[{""targetValues"":[""01tWC00000DD1B9YAL""],""targetInformation"":[{""type"":""Tag"",""name"":""ProductBasedOn"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""Product"",""values"":{""values"":[""01tWC00000DD1B9YAL""]}},{""type"":""Enum"",""name"":""ProductType"",""values"":{""values"":[""Static""]}},{""type"":""Tag"",""name"":""ProductName"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ItemPath"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ParentPRCPath"",""values"":{""values"":[null]}}],""targetDataType"":null,""message"":""Customer must already own or purchase alongside Automate Administration License Fee"",""targetOperator"":""Equals"",""actionType"":""Requires"",""sequence"":1,""actionParameters"":[],""targetContextTagName"":""Product"",""messageType"":""Warning"",""name"":""RuleAction0"",""behaviorTypeLock"":null,""actionParametersExpression"":null}],""startDate"":""2026-01-19T19:04:00"",""status"":""Active""}","14OWC000001rznx2AA"
"10","Customer must already own or be purchasing DeliverNow Base RJ07315_2","customerMustAlreadyOwnOrBePurchasingDelivernowBaseRj07315_2","Active","Lvl1: Message Management Suite
(DM-DLN-RSS-DELIIS_LIC)","2026-01-19T19:04:00.000+0000","","USD","All","[0] ItemProductCode ? DM-DLN-RSS-DELIIS_LIC","","{""usageSubType"":""Transaction"",""sequence"":10,""criteriaExpressionType"":""All"",""apiName"":""customerMustAlreadyOwnOrBePurchasingDelivernowBaseRj07315_2"",""endDate"":null,""criteria"":[{""sourceDataType"":""String"",""conditionExpression"":null,""sourceValues"":[""DM-DLN-RSS-DELIIS_LIC""],""sourceContextTagName"":""ItemProductCode"",""sourceInformation"":[{""type"":""Tag"",""name"":""ProductBasedOn"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""Product"",""values"":{""values"":[""DM-DLN-RSS-DELIIS_LIC""]}},{""type"":""Enum"",""name"":""ProductType"",""values"":{""values"":[""Static""]}},{""type"":""Tag"",""name"":""ProductName"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ItemPath"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ParentPRCPath"",""values"":{""values"":[null]}}],""sourceOperator"":""Equals"",""conditions"":[],""criteriaIndex"":1}],""scope"":""Transaction"",""name"":""Customer must already own or be purchasing DeliverNow Base RJ07315_2"",""description"":""Lvl1: Message Management Suite\n(DM-DLN-RSS-DELIIS_LIC)"",""actions"":[{""targetValues"":[""01tWC00000DD1B9YAL""],""targetInformation"":[{""type"":""Tag"",""name"":""ProductBasedOn"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""Product"",""values"":{""values"":[""01tWC00000DD1B9YAL""]}},{""type"":""Enum"",""name"":""ProductType"",""values"":{""values"":[""Static""]}},{""type"":""Tag"",""name"":""ProductName"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ItemPath"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ParentPRCPath"",""values"":{""values"":[null]}}],""targetDataType"":null,""message"":""Customer must already own or be purchasing DeliverNow Base (RJ07315)."",""targetOperator"":""Equals"",""actionType"":""Requires"",""sequence"":1,""actionParameters"":[],""targetContextTagName"":""Product"",""messageType"":""Warning"",""name"":""RuleAction0"",""behaviorTypeLock"":null,""actionParametersExpression"":null}],""startDate"":""2026-01-19T19:04:00"",""status"":""Active""}","14OWC000001rzpZ2AQ"
"10","Customer must already own or be purchasing DeliverNow Base RJ07315_3","customerMustAlreadyOwnOrBePurchasingDelivernowBaseRj07315_3","Active","DM-DLN-RSS-DELISH
(Automate Intelligent Capture)","2026-01-19T19:04:00.000+0000","","USD","All","[0] ItemProductCode ? DM-DLN-RSS-DELISH","","{""usageSubType"":""Transaction"",""sequence"":10,""criteriaExpressionType"":""All"",""apiName"":""customerMustAlreadyOwnOrBePurchasingDelivernowBaseRj07315_3"",""endDate"":null,""criteria"":[{""sourceDataType"":""String"",""conditionExpression"":null,""sourceValues"":[""DM-DLN-RSS-DELISH""],""sourceContextTagName"":""ItemProductCode"",""sourceInformation"":[{""type"":""Tag"",""name"":""ProductBasedOn"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""Product"",""values"":{""values"":[""DM-DLN-RSS-DELISH""]}},{""type"":""Enum"",""name"":""ProductType"",""values"":{""values"":[""Static""]}},{""type"":""Tag"",""name"":""ProductName"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ItemPath"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ParentPRCPath"",""values"":{""values"":[null]}}],""sourceOperator"":""Equals"",""conditions"":[],""criteriaIndex"":1}],""scope"":""Transaction"",""name"":""Customer must already own or be purchasing DeliverNow Base RJ07315_3"",""description"":""DM-DLN-RSS-DELISH\n(Automate Intelligent Capture)"",""actions"":[{""targetValues"":[""01tWC00000DD1B9YAL""],""targetInformation"":[{""type"":""Tag"",""name"":""ProductBasedOn"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""Product"",""values"":{""values"":[""01tWC00000DD1B9YAL""]}},{""type"":""Enum"",""name"":""ProductType"",""values"":{""values"":[""Static""]}},{""type"":""Tag"",""name"":""ProductName"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ItemPath"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ParentPRCPath"",""values"":{""values"":[null]}}],""targetDataType"":null,""message"":""Customer must already own or be purchasing DeliverNow Base (Automate Intelligent Capture)"",""targetOperator"":""Equals"",""actionType"":""Requires"",""sequence"":1,""actionParameters"":[],""targetContextTagName"":""Product"",""messageType"":""Warning"",""name"":""RuleAction0"",""behaviorTypeLock"":null,""actionParametersExpression"":null}],""startDate"":""2026-01-19T19:04:00"",""status"":""Active""}","14OWC000001rxvv2AA"
"10","Customer must already own or be purchasing DeliverNow Base RJ07315_4","customerMustAlreadyOwnOrBePurchasingDelivernowBaseRj07315_4","Active","Lvl1: Message Management Suite
(DM-DLN-RSS-DELISH_LIC)","2026-01-19T19:04:00.000+0000","","USD","All","[0] ItemProductCode ? DM-DLN-RSS-DELISH_LIC","","{""usageSubType"":""Transaction"",""sequence"":10,""criteriaExpressionType"":""All"",""apiName"":""customerMustAlreadyOwnOrBePurchasingDelivernowBaseRj07315_4"",""endDate"":null,""criteria"":[{""sourceDataType"":""String"",""conditionExpression"":null,""sourceValues"":[""DM-DLN-RSS-DELISH_LIC""],""sourceContextTagName"":""ItemProductCode"",""sourceInformation"":[{""type"":""Tag"",""name"":""ProductBasedOn"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""Product"",""values"":{""values"":[""DM-DLN-RSS-DELISH_LIC""]}},{""type"":""Enum"",""name"":""ProductType"",""values"":{""values"":[""Static""]}},{""type"":""Tag"",""name"":""ProductName"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ItemPath"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ParentPRCPath"",""values"":{""values"":[null]}}],""sourceOperator"":""Equals"",""conditions"":[],""criteriaIndex"":1}],""scope"":""Transaction"",""name"":""Customer must already own or be purchasing DeliverNow Base RJ07315_4"",""description"":""Lvl1: Message Management Suite\n(DM-DLN-RSS-DELISH_LIC)"",""actions"":[{""targetValues"":[""01tWC00000DD1B9YAL""],""targetInformation"":[{""type"":""Tag"",""name"":""ProductBasedOn"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""Product"",""values"":{""values"":[""01tWC00000DD1B9YAL""]}},{""type"":""Enum"",""name"":""ProductType"",""values"":{""values"":[""Static""]}},{""type"":""Tag"",""name"":""ProductName"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ItemPath"",""values"":{""values"":[null]}},{""type"":""Tag"",""name"":""ParentPRCPath"",""values"":{""values"":[null]}}],""targetDataType"":null,""message"":""Customer must already own or be purchasing DeliverNow Base (Automate Intelligent Capture)"",""targetOperator"":""Equals"",""actionType"":""Requires"",""sequence"":1,""actionParameters"":[],""targetContextTagName"":""Product"",""messageType"":""Warning"",""name"":""RuleAction0"",""behaviorTypeLock"":null,""actionParametersExpression"":null}],""startDate"":""2026-01-19T19:04:00"",""status"":""Active""}","14OWC000001rzrB2AQ"
