fk_field,target_object,uat_id,mergebuild_id,natural_key
BasedOnId,ProductClassification,11BWC0000037mB32AI,11Bct0000051QpKEAU,PS_STYPE_ONLY
BasedOnId,ProductClassification,11BWC0000037mB42AI,11Bct0000051QpLEAU,FEAT_UTYPE_NUMUNITS
BasedOnId,ProductClassification,11BWC0000037mB52AI,11BaZ000008qwmwUAA,FEAT_ONLY
BasedOnId,ProductClassification,11BWC0000037mB62AI,11Bct0000051QpMEAU,UTYPE_NUMUNITS
BasedOnId,ProductClassification,11BWC0000037mB72AI,11Bct0000051QpNEAU,PS_UTYPE
BasedOnId,ProductClassification,11BWC0000037mB82AI,11Bct0000051QpOEAU,PS_UTYPE_NUMUNITS
BasedOnId,ProductClassification,11BWC0000037mBE2AY,11BaZ000008qwn5UAA,UTYPE_ONLY
BasedOnId,ProductClassification,11BWC0000037mBF2AY,11Bct0000051QpTEAU,STYPE_ONLY
BasedOnId,ProductClassification,11BWC0000037mBh2AI,11Bct0000051QpvEAE,FEAT_DTYPE
BasedOnId,ProductClassification,11BWC0000037mBt2AI,11Bct0000051Qq7EAE,PS_FEAT
BasedOnId,ProductClassification,11BWC0000037mBu2AI,11Bct0000051Qq8EAE,PS_FEAT_UTYPE_NUMUNITS
BasedOnId,ProductClassification,11BWC0000037mCR2AY,11Bct0000051QqfEAE,PS_PTIER_UTYPE
BasedOnId,ProductClassification,11BWC0000037mCY2AY,11Bct0000051QqmEAE,PS_DTYPE
BasedOnId,ProductClassification,11BWC0000037mCb2AI,11Bct0000051QqpEAE,PS_FEAT_PTIER_UTYPE
BillingPolicyId,BillingPolicy,1BPWC0000002ooj4AA,1BPaZ0000000wlZWAQ,Billing Policy
TaxPolicyId,TaxPolicy,1TpWC0000000cmr0AA,1TpaZ00000005nhSAA,Fortra Tax Policy
RecordTypeId,RecordType,012WC000001afSIYAY,012ct00000Idwo9AAB,Technical_Product
Practice__c,pse__Practice__c,aD0WC0000004UCP0A2,aAuct000000FmcDCAS,Defensive Security
Practice__c,pse__Practice__c,aD0WC0000004UE10AM,aAuct000000FmcECAS,Offensive Security
Practice__c,pse__Practice__c,aD0WC0000004lun0AA,aAuct000000FmdpCAC,Cloud Data Protection
Practice__c,pse__Practice__c,aD0WC0000004lwP0AQ,aAuct000000FmdqCAC,Data Protection
Practice__c,pse__Practice__c,aD0WC0000004ly10AA,aAuct000000FmdrCAC,Email Security
Practice__c,pse__Practice__c,aD0WC0000004lzd0AA,aAuct000000FmdsCAC,File Integrity Monitoring
Practice__c,pse__Practice__c,aD0WC0000004m2r0AA,aAuct000000FmdtCAC,Human Risk Management
Practice__c,pse__Practice__c,aD0WC0000004m4T0AQ,aAuct000000FmduCAC,Vulnerability Management
Practice__c,pse__Practice__c,aD0WC0000004m650AA,aAuct000000FmdvCAC,Globalscape
Practice__c,pse__Practice__c,aD0WC0000004m7h0AA,aAuct000000FmdwCAC,GoAnywhere
Practice__c,pse__Practice__c,aD0WC0000004m9J0AQ,aAuct000000FmdxCAC,Business Intelligence
Practice__c,pse__Practice__c,aD0WC0000004mAv0AI,aAuct000000FmdyCAC,Cybersecurity
Practice__c,pse__Practice__c,aD0WC0000004mCX0AY,aAuct000000FmdzCAC,Doc Management
Practice__c,pse__Practice__c,aD0WC0000004mFl0AI,aAuct000000Fme0CAC,Systems Management
Practice__c,pse__Practice__c,aD0WC0000004mHN0AY,aAuct000000Fme1CAC,Capacity Management
Practice__c,pse__Practice__c,aD0WC0000004mIz0AI,aAuct000000Fme2CAC,Core IGA
Practice__c,pse__Practice__c,aD0WC0000004mKb0AI,aAuct000000Fme3CAC,Network Monitoring
Practice__c,pse__Practice__c,aD0WC0000004mMD0AY,aAuct000000Fme4CAC,Powertech Identity & Access Manager (BoKS)
Practice__c,pse__Practice__c,aD0WC0000004mNp0AI,aAuct000000Fme5CAC,Robotic Process Automation
