status	chars	ext	relpath	note
ok	395	xlsx	QuotesToReprice.xlsx	
ok	1854	docx	Sales and Marketing/Attribution Questions from Marketing (1).docx	
ok	1208	docx	Sales and Marketing/Attribution Requirements and Questions Oct 2025.docx	
ok	5386	pptx	Sales and Marketing/For nov 18 mtg_SFDC Lead Flow_questions.pptx	
ok	2798	docx	Sales and Marketing/Lead Flow Requirements from Mktg - LoB.docx	
ok	1254	docx	Sales and Marketing/Lead Flow Scenarios.docx	
ok	21417	pptx	Sales and Marketing/Unified Pipeline 2026.pptx	
ok	282909	xlsx	Sales and Marketing/Territory Routing/FortraTerritories2026_18_02.xlsx	
ok	24020	pdf	Sales and Marketing/Territory Routing/Territory Assignment - Updated.pdf	
ok	4844	docx	Sales and Marketing/Territory Routing/Territory Assignment Process.docx	
ok	3088	drawio	Sales and Marketing/Territory Routing/Archive/SF_TerritoryRouting.drawio	
skip-binary	0	jpg	Sales and Marketing/Territory Routing/Archive/SF_TerritoryRouting.jpg	image - read with vision tool
ok	70	vsdx	Sales and Marketing/Territory Routing/Archive/SF_TerritoryRouting.vsdx	
ok	497	drawio	Sales and Marketing/New Account Flow Updates/SalesInquiryDUNSProposedChanges.drawio	
ok	5489	pdf	Sales and Marketing/New Account Flow Updates/SalesInquiryDUNSProposedChanges.pdf	
ok	596	vsdx	Sales and Marketing/New Account Flow Updates/SalesInquiryDUNSProposedChanges.vsdx	
skip-binary	0	mp4	Cross Team Meetings/Current Payment Deposit Process-20250520_130128-Meeting Recording.mp4	video recording (no transcript tooling)
ok	25263	docx	Cross Team Meetings/Current Payment Deposit Process.docx	
ok	471180	csv	Support and Portal/Fortra GlobalScape  InstantKB_Articles.csv	
ok	1822	xlsx	Support and Portal/Globalscape KB Article.xlsx	
skip-binary	0	zip	Support and Portal/kb_globalscape_com202508081526.zip	archive - inspect separately
ok	12419	docx	Contracts and Legal Documents/Alert Logic Solution Specific Schedule (20 MAY 24).docx	
ok	11839	docx	Contracts and Legal Documents/Digital Guardian Cloud Services Schedule (04 DEC 24) (1).docx	
ok	9939	docx	Contracts and Legal Documents/Digital Guardian Managed Services Schedule (04 DEC 24).docx	
ok	5910	docx	Contracts and Legal Documents/Digital Guardian Secure Collaboration Encryption Services Schedule.docx	
ok	29933	docx	Contracts and Legal Documents/Fortra Client DPA July with Sig Blocks 2024.docx	
ok	6185	docx	Contracts and Legal Documents/Fortra Evaluation Agreement (Nov 2022) (1).docx	
ok	23219	docx	Contracts and Legal Documents/Fortra LLC - Offensive Security Solutions EULA Template V.110422.docx	
ok	42740	docx	Contracts and Legal Documents/Fortra Master Solutions Agreement with Sig Blocks 09_04_24 (7).docx	
ok	8518	docx	Contracts and Legal Documents/NDA - Fortra (Int'l) Mutual Feb 2025 (Security Requests).docx	
ok	9847	docx	Contracts and Legal Documents/NDA - Fortra (UK) Mutual License Restrictions (Nov. 2024) (1).docx	
ok	8070	docx	Contracts and Legal Documents/NDA - Fortra (UK) Mutual Nov 2022.docx	
ok	9913	docx	Contracts and Legal Documents/NDA - Fortra Mutual & License Restrictions (Nov 2022).docx	
ok	7462	docx	Contracts and Legal Documents/NDA - Fortra Mutual (Nov 2022)-Spanish.docx	
ok	8425	docx	Contracts and Legal Documents/NDA - Fortra Mutual April 2025 (Security requests).docx	
ok	7948	docx	Contracts and Legal Documents/NDA - Fortra Mutual Nov 2022 (2).docx	
ok	8831	docx	Contracts and Legal Documents/OST Solution Addendum CLEAN 110722.docx	
ok	8971	docx	Contracts and Legal Documents/Schedule SFTaaS (Globalscape Arcus GoAnywhere MFTaaS)_final-clean-Mar21.docx	
ok	29290	docx	Contracts and Legal Documents/Solution Specific Schedule - Core, Cobalt, and OST.docx	
ok	1992	docx	Contracts and Legal Documents/Solution Specific Schedule - Digital Defense and Beyond Security.docx	
ok	3028	docx	Contracts and Legal Documents/Solution Specific Schedule - Terranova.docx	
ok	145	docx	Contracts and Legal Documents/Solution Specific Schedule -Agari, Phishlabs, and Clearswift.docx	
ok	10740	docx	Contracts and Legal Documents/Tripwire Managed Services Schedule (7 July 23).docx	
ok	4659	docx	Contracts and Legal Documents/Tripwire Professional Services Schedule (7 July 23).docx	
ok	6452	docx	Contracts and Legal Documents/Updated End Use Statement - 110722 (1).docx	
ok	5195	xlsx	BSI Discovery Info/D365EntityJunctions.xlsx	
ok	6686	xlsx	BSI Discovery Info/FortraUATRoleChanges.xlsx	
ok	585	txt	BSI Discovery Info/SamplePDFs/InvoiceQuoteDescriptions.txt	
ok	42201	pdf	BSI Discovery Info/SamplePDFs/Q-0000319257.pdf	
ok	69575	pdf	BSI Discovery Info/SamplePDFs/Q-0000319668.pdf	
ok	34552	pdf	BSI Discovery Info/SamplePDFs/Q-0000400631.pdf	
ok	271822	pdf	BSI Discovery Info/SamplePDFs/Q-0000429097.pdf	
ok	6823	pdf	BSI Discovery Info/SamplePDFs/Q-0000445897.pdf	
ok	10409	pdf	BSI Discovery Info/SamplePDFs/Q-0000455841.pdf	
ok	12340	pdf	BSI Discovery Info/SamplePDFs/Q-0000456763.pdf	
ok	40984	pdf	BSI Discovery Info/SamplePDFs/V0000212838.pdf	
ok	30225	pdf	BSI Discovery Info/SamplePDFs/V0000215067.pdf	
ok	26511	pdf	BSI Discovery Info/SamplePDFs/V0000274389.pdf	
ok	3259	pdf	BSI Discovery Info/SamplePDFs/V0000285819.pdf	
ok	6673	pdf	BSI Discovery Info/SamplePDFs/V0000304240.pdf	
ok	7194	pdf	BSI Discovery Info/SamplePDFs/V0000304602.pdf	
ok	7916	pdf	BSI Discovery Info/SamplePDFs/V0000304974.pdf	
skip-binary	0	png	BSI Discovery Info/UATScreenshots/Activity Section on Campaign Object.png	image - read with vision tool
skip-binary	0	png	BSI Discovery Info/UATScreenshots/Marketing Product Field on Campaign Creation Pop Up.png	image - read with vision tool
skip-binary	0	png	BSI Discovery Info/UATScreenshots/Marketing Product Field on Campaign.png	image - read with vision tool
skip-binary	0	png	BSI Discovery Info/UATScreenshots/Marketing Product to Product of Interest.png	image - read with vision tool
skip-binary	0	png	BSI Discovery Info/UATScreenshots/Planning Section on Campaign Object.png	image - read with vision tool
skip-binary	0	png	BSI Discovery Info/UATScreenshots/Products of Interest Field and List Not Matching.png	image - read with vision tool
skip-binary	0	png	BSI Discovery Info/UATScreenshots/Products of Interest New Button 2.png	image - read with vision tool
skip-binary	0	png	BSI Discovery Info/UATScreenshots/Products of Interest New Button.png	image - read with vision tool
skip-binary	0	png	BSI Discovery Info/UATScreenshots/Related Opportunities on Campaign Object.png	image - read with vision tool
skip-binary	0	png	BSI Discovery Info/UATScreenshots/Related Tab on Campaign Object.png	image - read with vision tool
skip-binary	0	png	BSI Discovery Info/UATScreenshots/Related Tab on Inquiry Object.png	image - read with vision tool
skip-binary	0	png	BSI Discovery Info/UATScreenshots/Unit Field Populating Based on POI Field.png	image - read with vision tool
skip-binary	0	png	BSI Discovery Info/UATScreenshots/View All Campaign Members Link.png	image - read with vision tool
ok	16369	pdf	BSI Discovery Info/TripwireInterimPhaseWork/Salesforce • TE License — LAC Research Notes.pdf	
ok	18894	pdf	BSI Discovery Info/TripwireInterimPhaseWork/Salesforce • TE License — User Configurable TE License Management.pdf	
ok	4884	pdf	BSI Discovery Info/TripwireInterimPhaseWork/Tripwire Salesforce Required Fields for Support-Download Maintenance.pdf	
ok	33332	rdl	BSI Discovery Info/D365 SSRS reports/hs_OrderConfirmation_CRM.rdl	
ok	30349	rdl	BSI Discovery Info/D365 SSRS reports/hs_po_CreditSummary_CRM.rdl	
ok	34471	rdl	BSI Discovery Info/D365 SSRS reports/hs_po_InvoiceDetailCRM.rdl	
ok	30584	rdl	BSI Discovery Info/D365 SSRS reports/hs_po_InvoiceSummary_CRM.rdl	
ok	36759	rdl	BSI Discovery Info/D365 SSRS reports/hs_po_QuoteDetail.rdl	
