
===== SHEET: Data to Load to UAT  (36r x 24c) =====
													Channel Originated					Fortra Originated
Unit 0.00	Solution Group 1.00 (Optional)	Solution Category 2.00 (Optional)	Solution 3.00 (optional)	Account Name in D365	Partner Type	Direct/Indirect	Tier	D365 Account ID	D-U-N-S Number	Model Type (Guaranteed Margin or Discount)	Is Active (Yes or No/Blank)	Is Default  (Yes or No/Blank)	Software Percentage	New Maintenace Percentage	Renewal Maintenace Percertage	Subscription Percentage	Service Percentage	Software Percentage	New Maintenace Percentage	Renewal Maintenace Percertage	Subscription Percentage	Service Percentage	Effective Start Date
Cyber				Optiv Security	Reseller	Direct	Diamond	00194792	019466684	Guaranteed Margin	Y	Y	20	20	20	20	15	12	12	12	12	15	3/25/2019
Cyber				Softcat PLC	Reseller	Indirect	Authorized	00170878	220717420	Guaranteed Margin	Y	Y	0	0	0	0	0	0	0	0	0	0	7/3/2019
Cyber				Frontier Technology LLC DBA Microage	Reseller	Indirect	Gold	00017068	043082283	Guaranteed Margin													4/1/2026
Cyber		Terranova		Decens OY	MSP	Direct	MSP	00247714	540559254	Discount													3/4/2026
Cyber				Aspire Technologies	Reseller	Indirect	Authorized	000283027	833932580	Guaranteed Margin	Y	Y	0	0	0	0	0	0	0	0	0	0	3/31/2026
Cyber		Terranova		TML Informatique Inc	Reseller	Indirect	Authorized	000301988	203141791	Guaranteed Margin	Y	Y	0	0	0	0	0	0	0	0	0	0	6/3/2024
Cyber				M. Tech Holdings	Distributor			000323663	659208987	Discount	Y	Y	40	40	20	40	18	5	5	5	5	0	2/3/2025
Cyber		Fortra VM		SharkmanSix LLC	MSP	Direct	MSP	00442951	134386792	Discount	Y	Y	0	0	0	25	10	0	0	0	0	0	1/1/2025
Cyber		Terranova		GOSECURE INC	Reseller	Direct	Bronze	00249873	253721591	Discount	y	Y	0	0	0	25	10	0	0	0	0	0	4/5/2022
Cyber				Adistec Corporation	Distributor			00492795	130391183	Guaranteed Margin	Y	Y	10	0	0	10	3.5	10	5	0	10	3.5	10/20/2025
Cyber				Securum Tecnologías de Información S. de R.L. de C.V	Reseller	Direct	Gold	00497893	812768636	Discount	y	Y	15	15	15	15	15	7	7	7	7	15	12/23/2025
Cyber		Terranova		The TSL Group (Trinidad Systems Limited)	Reseller	Direct	Bronze	00254259	857244248	Discount	y	Y	0	0	0	25	10	0	0	0	0	0	3/8/2023
Cyber				GuidePoint Security	Reseller	Direct	Diamond	00216558	005644870	Guaranteed Margin	Y	Y	20	20	20	20	15	12	12	12	12	15	12/1/2023
Cyber				BorderLAN, Inc.	Reseller	Direct/Indirect	Gold	00469245	012550629	Guaranteed Margin	Y	Y	15	15	15	15	15	7	7	7	7	15	8/7/2025
Cyber				Chillisoft	Distributor			00226173	591490669	Guaranteed Margin	Y	Y	10	10	10	10	5	5	5	5	5	5	2/26/2026
Cyber				Chillisoft	Distributor			00226173	591490669	Discount	Y	N	40	40	20	40	15						2/26/2026
Cyber	Offensive Security			Chillisoft	Distributor			00226173	591490669	Discount	Y	N	0	0	0	30	15						2/26/2026
Cyber			Phishlabs	Chillisoft	Distributor			00226173	591490669	Discount	Y	N	0	0	0	30	15						2/26/2026
Cyber				Computer Gross S.P.A.	Distributor			00183330	630487130	Guaranteed Margin	Y	N	10	10	10	10	5	5	5	5	5	5	1/1/2025
Cyber				Computer Gross S.P.A.	Distributor			00183330	630487130	Discount	Y	Y	40	40	20	40	15						1/1/2025
Cyber	Offensive Security			Computer Gross S.P.A.	Distributor			00183330	630487130	Discount	Y	Y	0	0	0	30	15						1/1/2025
Cyber			Phishlabs	Computer Gross S.P.A.	Distributor			00183330	630487130	Discount	Y	Y	0	0	0	30	15						1/1/2025
Cyber				Detech Bilisim A.S.	Distributor			00170787	505208471	Guaranteed Margin	Y	N	10	10	10	10	5	5	5	5	5	5	3/1/2023
Cyber				Detech Bilisim A.S.	Distributor			00170787	505208471	Discount	Y	Y	40	40	20	40	15						3/1/2023
Cyber	Offensive Security			Detech Bilisim A.S.	Distributor			00170787	505208471	Discount	Y	Y	0	0	0	30	15						3/1/2023
Cyber			Phishlabs	Detech Bilisim A.S.	Distributor			00170787	505208471	Discount	Y	Y	0	0	0	30	15						3/1/2023
Cyber				Climb Channel Solutions - US	Distributor			00181554	004798299	Guaranteed Margin	Y	Y	10	10	10	10	5	5	5	5	5	5	6/10/2024
Cyber				Climb Channel Solutions - US	Distributor			00181554	004798299	Discount	Y	N	40	40	20	40	15						6/10/2024
Cyber	Offensive Security			Climb Channel Solutions - US	Distributor			00181554	004798299	Discount	Y	N	0	0	0	30	15						6/10/2024
Cyber			Phishlabs	Climb Channel Solutions - US	Distributor			00181554	004798299	Discount	Y	N	0	0	0	30	15						6/10/2024
Cyber				Infinigate Holding AG	Distributor			000338188	480532614	Guaranteed Margin	Y	Y	10	10	10	10	5	5	5	5	5	5	8/14/2024
Cyber				Infinigate Holding AG	Distributor			000338188	480532614	Discount	Y	N	40	40	20	40	15						8/14/2024
Cyber	Offensive Security			Infinigate Holding AG	Distributor			000338188	480532614	Discount	Y	N	0	0	0	30	15						8/14/2024
Cyber			Phishlabs	Infinigate Holding AG	Distributor			000338188	480532614	Discount	Y	N	0	0	0	30	15						8/14/2024

===== SHEET: Notes (3r x 1c) =====
Red fields are required.
DUNS Number  can be found here in D365:
