
===== SHEET: Sheet1 (2394r x 53c) =====
dnb_dunsnumber	exchangerate	hs_account	hs_accountname	hs_contracttermenddate	hs_contracttermstartdate	hs_historicalexchangerate	hs_initialmaintenancediscount	hs_managedservicescommission	hs_managedservicesdiscount	hs_name	hs_newmaintenancecommission	hs_newsubscriptioncommission	hs_nonoriginatinginitialmaintenancediscount	hs_nonoriginatingmanagedservicesdiscount	hs_nonoriginatingprofservicesdiscount	hs_nonoriginatingrenewmaintenancediscount	hs_nonoriginatingsoftwarediscount	hs_nonoriginatingsubscriptiondiscount	hs_notes	hs_otherreferralsdiscount	hs_partnerdiscountclassification	hs_partnerdiscountclassificationname	hs_partnerdiscountid	hs_primarycertifiedcontact	hs_primarycertifiedcontactname	hs_productbrand	hs_productbrandname	hs_productcertification	hs_productcertificationname	hs_quotacommitment	hs_quotacommitment_base	hs_renewalmaintenancecommission	hs_renewalmaintenancediscount	hs_secondarycertifiedcontact	hs_secondarycertifiedcontactname	hs_servicescommission	hs_servicesdiscount	hs_softwarecommission	hs_softwarediscount	hs_softwareproductmaster	hs_softwareproductmastername	hs_specialinitialmaintenance	hs_specialinitialmaintenance_base	hs_specialservices	hs_specialservices_base	hs_specialsoftware	hs_specialsoftware_base	hs_specialsubscription	hs_specialsubscription_base	hs_subscriptiondiscount	ownerid	owneridname
499295848		4b848bf9-45cd-ec11-a7b5-0022480b276d	COMPUTER 2000 Bulgaria Ltd.	2025-12-31 00:00:00	2024-09-27 00:00:00		40						5		0	5	5	5					707d7c1d-087f-ef11-ac21-000d3a3049a9			ca31255c-b4bf-ee11-9079-6045bdf0559f	Digital Guardian	0	No				20				18		40											40	7eafd7c0-be97-eb11-b1ac-000d3a3769cd	Depa Patel
499295848		4b848bf9-45cd-ec11-a7b5-0022480b276d	COMPUTER 2000 Bulgaria Ltd.	2025-12-31 00:00:00	2024-09-27 00:00:00		40		0				5	0	0	5	5	5					0bd05401-107f-ef11-ac21-000d3a3049a9			ce31255c-b4bf-ee11-9079-6045bdf0559f	Boldon James	0	No				20				18		40											40	7eafd7c0-be97-eb11-b1ac-000d3a3769cd	Depa Patel
499295848		4b848bf9-45cd-ec11-a7b5-0022480b276d	COMPUTER 2000 Bulgaria Ltd.	2025-12-31 00:00:00	2024-09-27 00:00:00		5		0				40		18	20	40	40					85258027-107f-ef11-ac21-000d3a3049a9			cc31255c-b4bf-ee11-9079-6045bdf0559f	Titus	0	No				5				0		5											5	7eafd7c0-be97-eb11-b1ac-000d3a3769cd	Depa Patel
499295848		4b848bf9-45cd-ec11-a7b5-0022480b276d	COMPUTER 2000 Bulgaria Ltd.	2025-12-31 00:00:00	2024-09-27 00:00:00		40		0				5	0	0	5	5	5					42a0e447-107f-ef11-ac21-000d3a3049a9			d031255c-b4bf-ee11-9079-6045bdf0559f	Vera	0	No				20				18		40											40	7eafd7c0-be97-eb11-b1ac-000d3a3769cd	Depa Patel
499885767		393a5c3f-2cba-eb11-811e-005056840efe	NSS SA	2025-12-31 00:00:00	2024-09-27 00:00:00		40						5	0	0	5	5	5					f0b63c62-117f-ef11-ac21-000d3a3049a9			ce31255c-b4bf-ee11-9079-6045bdf0559f	Boldon James	0	No				20				18		40											40	7eafd7c0-be97-eb11-b1ac-000d3a3769cd	Depa Patel
499885767		393a5c3f-2cba-eb11-811e-005056840efe	NSS SA	2025-12-31 00:00:00	2024-09-27 00:00:00		40		0				5	0	0	5	5	5					fed45b90-117f-ef11-ac21-000d3a3049a9			cc31255c-b4bf-ee11-9079-6045bdf0559f	Titus	0	No				20				18		40											40	7eafd7c0-be97-eb11-b1ac-000d3a3769cd	Depa Patel
499885767		393a5c3f-2cba-eb11-811e-005056840efe	NSS SA	2025-12-31 00:00:00	2024-09-27 00:00:00		40		0				5	0	0	5	5	5					f6222db5-117f-ef11-ac21-000d3a3049a9			d031255c-b4bf-ee11-9079-6045bdf0559f	Vera	0	No				20				18		40											40	7eafd7c0-be97-eb11-b1ac-000d3a3769cd	Depa Patel
499885767		393a5c3f-2cba-eb11-811e-005056840efe	NSS SA	2025-12-31 00:00:00	2024-09-27 00:00:00		40						5		0	5	5	5					50dd38ff-117f-ef11-ac21-000d3a3049a9			676916ac-2a36-ee11-bdf4-000d3a1c08e1	Agari	0	No				30				18		40											40	7eafd7c0-be97-eb11-b1ac-000d3a3769cd	Depa Patel
499885767		393a5c3f-2cba-eb11-811e-005056840efe	NSS SA	2025-12-31 00:00:00	2024-09-27 00:00:00		40					10	5	0	0	5	5	5	Distributors will receive a 10% discount for Terranova Security Professional Services.				509ffd39-127f-ef11-ac21-000d3a3049a9			793f1549-1b0c-ed11-82e5-00224827a0b1	Terranova Security	0	No				30			10	18	10	40											40	7eafd7c0-be97-eb11-b1ac-000d3a3769cd	Depa Patel
499885767		393a5c3f-2cba-eb11-811e-005056840efe	NSS SA	2025-12-31 00:00:00	2024-09-27 00:00:00		40						5	0	0	5	5	5					1b7b9045-187f-ef11-ac21-000d3a3049a9			ca31255c-b4bf-ee11-9079-6045bdf0559f	Digital Guardian	0	No				20				18		40											40	7eafd7c0-be97-eb11-b1ac-000d3a3769cd	Depa Patel
