
===== SHEET: Products (8874r x 23c) =====
Product SKU	Name	Software Product Master	GP Item Class	Tax Code	Price	Legacy Product?	Bundle?	Unit Label	Is Tiered Pricing	Experlogix Series	Family Unit (Software Product Family) (Product)	Solution Group Family (Software Product Family) (Product)	Product Brand Family (Software Product Family) (Product)	Product Family (Software Product Family) (Product)	Software Product Family	Product SKU (Software Product Family) (Product)	In Bundles	Required With Items	Approval Discount Fraction	Hardware	Regional Discounts	Term Length Discounts
HC00000	Hardware Change Fee		CHANGE FEE	DC010500	0	No					Non-Specific	Other	Fortra	Fortra Maintenance	Fortra Maintenance	F4TRAMAINT			0.25	HADR50		No
TEST	TEST CHANGE FEE		CHANGE FEE	DC010500	0	No					Non-Specific	Other	Fortra	Fortra Maintenance	Fortra Maintenance	F4TRAMAINT			0.25	HADR50		No
AM02101	AutoMate License Upgrade Fee		CHANGE FEE	DC010500	0	No					CIA	Automation	Automate	Automate Maintenance	Automate Maintenance	F4AUTOMMAINT			0.25	None		No
LN02101	GoAnywhere License Upgrade Fee		CHANGE FEE	DC010500	0	No					CIA	Managed File Transfer	Managed File Transfer	GoAnywhere Maintenance	GoAnywhere Maintenance	F4GOAMAINT			0.25	GoAnywhere		No
JM02101	JAMS License Upgrade Fee		CHANGE FEE	DC010500	0	No					CIA	Automation	Workload Automation	Workload Automation Maintenance	Workload Automation Maintenance	F4WORKLOADAUTOMATION			0.25	JAMS		No
DD00900	DDI New Maintenance - New Standard Maintenance		NEW MAINT	SC100221	0	No	No				CIA	Infrastructure Protection	Digital Defense	Digital Defense Maintenance	Digital Defense Maintenance	F4DDMAINTENANCE			0.25	None		No
DG09016	DG NDLP Appliance 1500 - Maintenance	DG NDLP Appliance 1500	NEW MAINT	SW054003	14900	No	No		No	Subscriptions No Rules	CIA	Data Protection	Digital Guardian DLP	Network DLP	DG NDLP Appliance 1500	F4DGNDLPAPPLIANCE1500174			0.25	None		No
DG09018	DG NDLP Appliance 750 - Maintenance	DG NDLP Appliance 750	NEW MAINT	SW054003	9900	No	No		No	Subscriptions No Rules	CIA	Data Protection	Digital Guardian DLP	Network DLP	DG NDLP Appliance 750	F4DGNDLPAPPLIANCE750176			0.25	None		No
DG07000	Digitual Guardian Maintenance - New Maintenance	DG - Maintenance	NEW MAINT	SC100221	3.3	No	No		No		CIA	Data Protection	Digital Guardian DLP	Data Protection Platform	DG - Maintenance	F4DG-MAINTENANCE193			0.25	None		No
DC00900	Titus Maintenance - New Maintenance	DCS Essentials	NEW MAINT	SC100221	16.5	No	No		No		CIA	Data Protection	Data Classification	Data Classification Suite	DCS Essentials	F4FORTRADCSSUITE232			0.25	None		No
DC00902	Boldon James Maintenance - New Maintenance	Classifier Essentials	NEW MAINT	SC100221	27.5	No	No		No		CIA	Data Protection	Data Classification	Classifier Suite	Classifier Essentials	F4CLASSIFIERENTERPRISESUITE242			0.25	None		No
LN03050	GoAnywhere Support+ Perpetual	Support +	NEW MAINT	SC100221	0	Yes	No			New Software No Rules	CIA	Managed File Transfer	Managed File Transfer	GoAnywhere Maintenance	GoAnywhere Support +	F4GOASUPPORTPLUS			0.25	GoAnywhere		No
BS00001	New Maintenance - New Standard Maintenance		NEW MAINT	SC100221	0.2	No	No				CIA	Infrastructure Protection	Beyond Security	Beyond Security Maintenance	Beyond Security Maintenance	F4BEYONDSECMAINT			0.25	BS		No
AM06600	DO NOT USE - AutoMate New Standard Maintenance		NEW MAINT	SC100221	0	No					CIA	Automation	Automate	Automate Maintenance	Automate Maintenance	F4AUTOMMAINT			0.25	None		No
AM06650	DO NOT USE - AutoMate Maintenance Plus, AutoMate Professional Edition (per License)	Maintenance Add Ons - AutoMate Pro	NEW MAINT	SC100221	0	No					CIA	Automation	Automate	Automate Desktop	Maintenance Add Ons - Automate Pro	F4MAINTADDONSAUTOMPR			0.25	None		No
AM06651	DO NOT USE - AutoMate Maintenance Plus, AutoMate Premium Edition (per Installation)	Maintenance Add Ons - Automate	NEW MAINT	SC100221	0	No					CIA	Automation	Automate	Automate Maintenance	Maintenance Add Ons - Automate	F4MAINTADDONSAUTOM			0.25	None		No
SB03200	New Standard Maintenance		NEW MAINT	SC100221	0	No					CIA	Automation	Workload Automation	Workload Automation Maintenance	Workload Automation Maintenance	F4WORKLOADAUTOMATION			0.25	JAMS		No
