
===== SHEET: PhishLabs (268r x 10c) =====
Sku	ProductID	Name	Tier Name	Min Qty	Max Qty	Type	Base Price	Price Model	Multiplier (times revenue/assets/users/employees)
PL0146		Counterfeit Intelligence	$10B - $50B Assets	10000000000	49999999999	Financial	25000	Total Price	0
PL0146		Counterfeit Intelligence	$10B - $50B Revenue	10000000000	49999999999	Non-Financial	25000	Total Price	0
PL0146		Counterfeit Intelligence	$50B - $250B Assets	50000000000	249999999999	Financial	30000	Total Price	0
PL0146		Counterfeit Intelligence	$50B - $250B Revenue	50000000000	249999999999	Non-Financial	30000	Total Price	0
PL0146		Counterfeit Intelligence	$5B - $10B Assets	5000000000	9999999999	Financial	20000	Total Price	0
PL0146		Counterfeit Intelligence	$5B - $10B Revenue	5000000000	9999999999	Non-Financial	20000	Total Price	0
PL0146		Counterfeit Intelligence	Less than $5B Assets	0	4999999999	Financial	20000	Total Price	0
PL0146		Counterfeit Intelligence	Less than $5B Revenue	0	4999999999	Non-Financial	20000	Total Price	0
PL0146		Counterfeit Intelligence	Over $250B Assets	250000000000	999999999999	Financial	35000	Total Price	0
PL0146		Counterfeit Intelligence	Over $250B Revenue	250000000000	999999999999	Non-Financial	35000	Total Price	0
PL0144		Credential Baiting	Over 5,000 incidents - Min	5000	999999999	Non-Financial	40000	Total Price	0
PL0144		Credential Baiting	100 - 1,000 incidents - Min	100	999	Financial	10000	Total Price	0
PL0144		Credential Baiting	Less than 100 incidents - Min	0	99	Financial	5000	Total Price	0
PL0144		Credential Baiting	Less than 100 incidents - Min	0	99	Non-Financial	5000	Total Price	0
PL0144		Credential Baiting	Over 5,000 incidents - Min	5000	999999999	Financial	40000	Total Price	0
PL0144		Credential Baiting	1,000 - 5,000 incidents - Min	1000	4999	Non-Financial	20000	Total Price	0
PL0144		Credential Baiting	1,000 - 5,000 incidents - Min	1000	4999	Financial	20000	Total Price	0
PL0144		Credential Baiting	100 - 1,000 incidents - Min	100	999	Non-Financial	10000	Total Price	0
PL0100		Credential Theft	100 - 1,000 incidents - Min	100	999	Non-Financial	17500	Calculated	1e-06
PL0100		Credential Theft	Less than 100 incidents - Min	0	99	Non-Financial	12500	Calculated	1e-06
PL0100		Credential Theft	Over 5,000 incidents - Min	5000	NULL	Non-Financial	127500	Calculated	1e-06
PL0100		Credential Theft	Less than 100 incidents - Min	0	99	Financial	12500	Calculated	3e-07
PL0100		Credential Theft	100 - 1,000 incidents - Min	100	999	Financial	17500	Calculated	3e-07
PL0100		Credential Theft	1,000 - 5,000 incidents - Min	1000	4999	Financial	40000	Calculated	3e-07
PL0100		Credential Theft	Over 5,000 incidents - Min	5000	NULL	Financial	127500	Calculated	3e-07
PL0100		Credential Theft	1,000 - 5,000 incidents - Min	1000	4999	Non-Financial	40000	Calculated	1e-06
PL0145		Credential Theft Intelligence	1,000 - 5,000 incidents - Min	1000	4999	Non-Financial	30000	Total Price	0
PL0145		Credential Theft Intelligence	1,000 - 5,000 incidents - Min	1000	4999	Financial	30000	Total Price	0
PL0145		Credential Theft Intelligence	100 - 1,000 incidents - Min	100	999	Financial	25000	Total Price	0
PL0145		Credential Theft Intelligence	Less than 100 incidents - Min	0	99	Non-Financial	20000	Total Price	0
PL0145		Credential Theft Intelligence	Less than 100 incidents - Min	0	99	Financial	20000	Total Price	0
PL0145		Credential Theft Intelligence	Over 5,000 incidents - Min	5000	999999999	Financial	35000	Total Price	0
PL0145		Credential Theft Intelligence	Over 5,000 incidents - Min	5000	999999999	Non-Financial	35000	Total Price	0
PL0145		Credential Theft Intelligence	100 - 1,000 incidents - Min	100	999	Non-Financial	25000	Total Price	0
PL0109		Crimeware	$5B - $10B Revenue	5000000000	9999999999	Non-Financial	9750	Calculated	5e-07
PL0109		Crimeware	Less than $5B Revenue	0	4999999999	Non-Financial	8500	Calculated	5e-07
PL0109		Crimeware	$10B - $50B Assets	10000000000	49999999999	Financial	9750	Calculated	1e-07
PL0109		Crimeware	$50B - $250B Assets	50000000000	249999999999	Financial	13500	Calculated	1e-07
PL0109		Crimeware	Over $250B Assets	250000000000	NULL	Financial	19750	Calculated	1e-07
PL0109		Crimeware	$5B - $10B Assets	5000000000	9999999999	Financial	8500	Calculated	1e-07
PL0109		Crimeware	Less than $5B Assets	0	4999999999	Financial	8500	Calculated	1e-07
PL0109		Crimeware	$10B - $50B Revenue	10000000000	49999999999	Non-Financial	13500	Calculated	5e-07
PL0109		Crimeware	$50B - $250B Revenue	50000000000	249999999999	Non-Financial	19750	Calculated	5e-07
PL0109		Crimeware	Over $250B Revenue	250000000000	NULL	Non-Financial	19750	Calculated	5e-07
PL0125		Dark Web Brand Monitoring (Includes 5 Brands/Keywords)	$10B - $50B Revenue	10000000000	49999999999	Non-Financial	17000	Calculated	1e-06
