
===== SHEET: Quote (166r x 21c) =====
Still in Use	BSI Notes	API Name	Label	Type	Length	Precision	Scale	Required	Unique	External ID	Default Value	Formula	Help Text	Reference To	Relationship Name	Picklist Values	Createable	Updateable	Deprecated	Custom
Yes	Used by Avalara Tax SFDC package	AVA_SFCPQ__SalesTaxAmount__c	Sales Tax Amount	currency	0	14	2	No	No	No			Avalara Sales Tax Amount				Yes	Yes	No	Yes
No	Just a formula to pull text from lookup	AccountName__c	AccountName	string	1300	0	0	No	No	No		SBQQ__Account__r.Name					No	No	No	Yes
No		Current_Date__c	Current Date	date	0	0	0	No	No	No		TODAY()					No	No	No	Yes
No	Way to markup all quote line proces. Should be handled by standard RCA functionality	Custom_Markup__c	Custom Markup	percent	0	18	2	No	No	No			This add the (%) markup to the entire quote				Yes	Yes	No	Yes
Maybe	These are used by teh quote approval workflow. Different product catagories have different approval thresholds.  These are globalscape specific and probably not needed for the Fortra Approval Matrix	Discount_CuteFTP_M_S__c	Discount CuteFTP M&S	percent	0	18	3	No	No	No			Maximum discount applied to a CuteFTP M&S product				No	No	No	Yes
Maybe	These are used by teh quote approval workflow. Different product catagories have different approval thresholds.  These are globalscape specific and probably not needed for the Fortra Approval Matrix	Discount_CuteFTP__c	Discount CuteFTP	percent	0	18	3	No	No	No			CuteFTP product group Max discount applied				No	No	No	Yes
Maybe	These are used by teh quote approval workflow. Different product catagories have different approval thresholds.  These are globalscape specific and probably not needed for the Fortra Approval Matrix	Discount_EFTArcus__c	Discount EFTArcus	percent	0	18	3	No	No	No			EFT Arcus product group Max discount applied				No	No	No	Yes
Maybe	These are used by teh quote approval workflow. Different product catagories have different approval thresholds.  These are globalscape specific and probably not needed for the Fortra Approval Matrix	Discount_EFTLicenses__c	Discount EFTLicenses	percent	0	18	3	No	No	No			EFT Licenses product group Max discount applied				No	No	No	Yes
Maybe	These are used by teh quote approval workflow. Different product catagories have different approval thresholds.  These are globalscape specific and probably not needed for the Fortra Approval Matrix	Discount_EFTMandS__c	Discount EFTM&S	percent	0	18	3	No	No	No			EFT M&S product group Max discount applied				No	No	No	Yes
Maybe	These are used by teh quote approval workflow. Different product catagories have different approval thresholds.  These are globalscape specific and probably not needed for the Fortra Approval Matrix	Discount_EFT_Kenetix__c	Discount EFT Kenetix	percent	0	18	3	No	No	No			Kenetix product group Max discount applied				No	No	No	Yes
Maybe	These are used by teh quote approval workflow. Different product catagories have different approval thresholds.  These are globalscape specific and probably not needed for the Fortra Approval Matrix	Discount_EFT_Tier__c	Discount EFT Tier	percent	0	18	3	No	No	No			Max Discount applied to EFT Tier bundle				No	No	No	Yes
Maybe	These are used by teh quote approval workflow. Different product catagories have different approval thresholds.  These are globalscape specific and probably not needed for the Fortra Approval Matrix	Discount_ProServices__c	Discount ProServices	percent	0	18	3	No	No	No			ProServices product group Max discount applied				No	No	No	Yes
