
===== SHEET: Contract (83r x 21c) =====
Still in Use	BSI Notes	API Name	Label	Type	Length	Precision	Scale	Required	Unique	External ID	Default Value	Formula	Help Text	Reference To	Relationship Name	Picklist Values	Createable	Updateable	Deprecated	Custom
Yes		AccountId	Account ID	reference	18	0	0	Yes	No	No				Account	Account		No	No	No	No
Yes		ActivatedById	Activated By ID	reference	18	0	0	No	No	No				User	ActivatedBy		No	No	No	No
Yes		ActivatedDate	Activated Date	datetime	0	0	0	No	No	No							No	No	No	No
No		ActivityMetricId	Activity Metric ID	reference	18	0	0	No	No	No				ActivityMetric	ActivityMetric		No	No	No	No
Yes		BillingAddress	Billing Address	address	0	0	0	No	No	No							No	No	No	No
Yes		BillingCity	Billing City	string	40	0	0	No	No	No							No	No	No	No
Yes		BillingCountry	Billing Country	string	80	0	0	No	No	No							No	No	No	No
Yes		BillingGeocodeAccuracy	Billing Geocode Accuracy	picklist	40	0	0	No	No	No						Address, Near Address, Block, Street, Extended Zip, Zip, Neighborhood, City, County, State, Unknown	No	No	No	No
Yes		BillingLatitude	Billing Latitude	double	0	18	15	No	No	No							No	No	No	No
Yes		BillingLongitude	Billing Longitude	double	0	18	15	No	No	No							No	No	No	No
Yes		BillingPostalCode	Billing Zip/Postal Code	string	20	0	0	No	No	No							No	No	No	No
Yes		BillingState	Billing State/Province	string	80	0	0	No	No	No							No	No	No	No
Yes		BillingStreet	Billing Street	textarea	255	0	0	No	No	No							No	No	No	No
Yes	Flags that the contract was co-termed to a previously existing contracts so that the next renewal will include all items from both contracts.  This may work differetnly in RCA	Co_termed_Contract__c	Co-termed Contract	boolean	0	0	0	Yes	No	No	False						No	No	No	Yes
No		CompanySignedDate	Company Signed Date	date	0	0	0	No	No	No							No	No	No	No
No		CompanySignedId	Company Signed By ID	reference	18	0	0	No	No	No				User	CompanySigned		No	No	No	No
Yes		ContractNumber	Contract Number	string	30	0	0	Yes	No	No							No	No	No	No
No		ContractOne__c	ContractOne	double	0	18	0	No	No	No		1					No	No	No	Yes
Yes		ContractTerm	Contract Term	int	0	0	0	No	No	No							No	No	No	No
Yes		CustomerSignedDate	Customer Signed Date	date	0	0	0	No	No	No							No	No	No	No
Yes		CustomerSignedId	Customer Signed By ID	reference	18	0	0	No	No	No				Contact	CustomerSigned		No	No	No	No
Yes		CustomerSignedTitle	Customer Signed Title	string	40	0	0	No	No	No							No	No	No	No
Yes		Description	Description	textarea	32000	0	0	No	No	No							No	No	No	No
Yes		EndDate	Contract End Date	date	0	0	0	No	No	No							No	No	No	No
Yes	Shows expected amount of next renewal, acconting for any uplift/COLA	Expected_Ren_Amount__c	Expected Ren Amount	currency	0	18	2	No	No	No							No	No	No	Yes
No		Expiring_InMonth__c	Expiring InMonth	string	1300	0	0	No	No	No		TEXT ( YEAR (  SBQQ__ExpirationDate__c )) + "-" + TEXT ( MONTH (SBQQ__ExpirationDate__c))					No	No	No	Yes
Yes		LastApprovedDate	Last Approved Date	datetime	0	0	0	No	No	No							No	No	No	No
No	Show if order on contract was reversed.  Probably not needed with RCA	Last_Invoice_Reversed__c	Last Invoice Reversed	boolean	0	0	0	Yes	No	No		SBQQ__Order__r.Is_Reversed__c					No	No	No	Yes
No		Last_Invoice__c	Last Invoice	double	0	18	0	No	No	No		SBQQ__Order__r.gsOrderID__c					No	No	No	Yes
no		Last_MS_Amount__c	Last MS Amount	currency	0	18	2	No	No	No		SBQQ__Order__r.New_Maintenance__c  +  SBQQ__Order__r.New_SaaSEftCloud__c	Value of Maintenance and Cloud subscriptions from the past order				No	No	No	Yes
No		Last_PO__c	Last PO	string	1300	0	0	No	No	No		SBQQ__Order__r.PoNumber					No	No	No	Yes
No		Master_Contract_Label__c	Master Contract Label	string	1300	0	0	No	No	No		ContractNumber  + ' (' + TEXT(MONTH(StartDate)) + '/' +  TEXT(DAY(StartDate)) + '/' + TEXT(YEAR(StartDate))  + ' - ' + TEXT(MONTH(EndDate)) + '/' +  TEXT(DAY(EndDate)) + '/' + TEXT(YEAR(EndDate)) + ')'					No	No	No	Yes
No		OwnerExpirationNotice	Owner Expiration Notice	picklist	40	0	0	No	No	No						15 Days, 30 Days, 45 Days, 60 Days, 90 Days, 120 Days	No	No	No	No
Yes	Assigns renewal specialist who will be assigned to the renewal opp when it is created from this contract	Ren_Opportunity_Owner__c	Ren Opportunity Owner	string	1300	0	0	No	No	No		SBQQ__RenewalOpportunity__r.Owner.FirstName & " " &  SBQQ__RenewalOpportunity__r.Owner.LastName					No	No	No	Yes
No		Renewal_Amount__c	Renewal Amount	currency	0	18	2	No	No	No		Expected_Ren_Amount__c	Renewal Opportunity Amount				No	No	No	Yes
No		Renewal_Close_Date__c	Renewal Close Date	date	0	0	0	No	No	No		SBQQ__RenewalOpportunity__r.CloseDate	Close Date of the renewal opportunity for the contract				No	No	No	Yes
No		Renewal_Segment__c	Renewal Segment	string	1300	0	0	No	No	No		TEXT( Account.Renewal_Segment__c )	Renewal Segment from Account				No	No	No	Yes
Yes	Shows the status of the renewal for this contract. Initial Stage is "Open" then updates based on the renewal opp once generated.	Renewal_Status__c	Renewal Status	string	1300	0	0	No	No	No		IF(  Co_termed_Contract__c _x000D_ , "Co-termed" _x000D_ , IF( SBQQ__RenewalOpportunity__r.IsWon && SBQQ__RenewalOpportunity__r.IsClosed _x000D_ , "Renewed" _x000D_ , IF( NOT(SBQQ__RenewalOpportunity__r.IsWon) && SBQQ__RenewalOpportunity__r.IsClosed _x000D_ , "Lost" _x000D_ , "Open")))					No	No	No	Yes
No		Renewal_Type__c	Renewal Type	picklist	255	0	0	No	No	No						Direct, Channel, InHouse, SAM, RAM, INT, SMB, Arcus	No	No	No	Yes
Yes	These are used by Salesforce (Steelbrick CPQ). I assume similar things exist in RCA, but these are only needed of RCA needs them.	SBQQ__ActiveContract__c	Active Contract	double	0	18	0	No	No	No		IF(AND(ISPICKVAL(StatusCode,'Activated'), OR(AND(Not(SBQQ__Evergreen__c), EndDate >= TODAY()), SBQQ__Evergreen__c)),1,0)	Determines if this contract is in effect.				No	No	No	Yes
Yes	These are used by Salesforce (Steelbrick CPQ). I assume similar things exist in RCA, but these are only needed of RCA needs them.	SBQQ__AmendmentOpportunityRecordTypeId__c	Amendment Opportunity Record Type Id	string	18	0	0	No	No	No			Record Type of the Amendment Opportunity, unless otherwise specified.				No	No	No	Yes
