
===== SHEET: Tripwire Enterprise (181r x 9c) =====
製品番号 SKU	数量 Qty	製品名 Description	定価 TWKK List Price (External- Distributor list price)	50% Discount from List (Distributor Buy Price)	55% Discount from List (Distributor Buy Price)	60% Discount from List (Distributor Buy Price)	65% of Distributor Buy Price (target based upon 2013 results)	Yen Transfer Price
TEサーバー (Consoles)
172000-00-JA	1	Tripwire Enterprise Console – License (per instance)	1712368.0000000002	856184.0000000001	770565.6000000001	684947.2000000002	556519.6000000001	557000
172000-01-JA	1	Tripwire Enterprise Console - Basic Support	359632.00000000006	179816.00000000003	161834.40000000002	143852.80000000002	116880.40000000002	117000
172000-03-JA	1	Tripwire Enterprise Console - Basic Support Renewal	346788	173394	156054.6	138715.2	112706.1	113000
エージェント（Nodes）
172110-00-JA	1-100	Tripwire Enterprise for File Systems - License	220528.00000000003	110264.00000000001	99237.60000000002	88211.20000000001	71671.6	72000
172110-00-JA	101-250	Tripwire Enterprise for File Systems - License	172256.00000000003	86128.00000000001	77515.20000000001	68902.40000000001	55983.20000000001	56000
172110-00-JA	251-500	Tripwire Enterprise for File Systems - License	146832	73416	66074.40000000001	58732.8	47720.4	48000
172110-00-JA	501-1000	Tripwire Enterprise for File Systems - License	113120.00000000001	56560.00000000001	50904.00000000001	45248.00000000001	36764.00000000001	37000
172110-00-JA	1001+	Tripwire Enterprise for File Systems - License	78624.00000000001	39312.00000000001	35380.80000000001	31449.600000000006	25552.800000000007	26000
172110-01-JA	1-100	Tripwire Enterprise for File Systems - Basic Support	46368.00000000001	23184.000000000004	20865.600000000002	18547.200000000004	15069.600000000002	15000
172110-01-JA	101-250	Tripwire Enterprise for File Systems - Basic Support	36176	18088	16279.2	14470.400000000001	11757.2	12000
172110-01-JA	251-500	Tripwire Enterprise for File Systems - Basic Support	30800.000000000004	15400.000000000002	13860.000000000002	12320.000000000002	10010.000000000002	10000
172110-01-JA	501-1000	Tripwire Enterprise for File Systems - Basic Support	23632.000000000004	11816.000000000002	10634.400000000001	9452.800000000001	7680.4000000000015	8000
172110-01-JA	1001+	Tripwire Enterprise for File Systems - Basic Support	16464	8232	7408.8	6585.6	5350.8	5000
172110-03-JA	1-100	Tripwire Enterprise for File Systems - Renewal Basic Support	44712	22356	20120.4	17884.8	14531.4	15000
172110-03-JA	101-250	Tripwire Enterprise for File Systems - Renewal Basic Support	34884	17442	15697.800000000001	13953.6	11337.300000000001	11000
172110-03-JA	251-500	Tripwire Enterprise for File Systems - Renewal Basic Support	29700.000000000004	14850.000000000002	13365.000000000002	11880.000000000002	9652.500000000002	10000
172110-03-JA	501-1000	Tripwire Enterprise for File Systems - Renewal Basic Support	22788	11394	10254.6	9115.2	7406.1	7000
172110-03-JA	1001+	Tripwire Enterprise for File Systems - Renewal Basic Support	15876.000000000002	7938.000000000001	7144.200000000001	6350.4000000000015	5159.700000000001	5000
172105-00-JA	1-100	Tripwire Enterprise for Desktops - License	24416.000000000004	12208.000000000002	10987.200000000003	9766.400000000001	7935.200000000002	8000
172105-00-JA	101-250	Tripwire Enterprise for Desktops - License	20160.000000000004	10080.000000000002	9072.000000000002	8064.000000000002	6552.000000000002	7000
172105-00-JA	251-500	Tripwire Enterprise for Desktops - License	14560.000000000002	7280.000000000001	6552.000000000001	5824.000000000001	4732.000000000001	5000
172105-00-JA	501-1000	Tripwire Enterprise for Desktops - License	12096.000000000002	6048.000000000001	5443.200000000001	4838.400000000001	3931.2000000000007	4000
172105-00-JA	1001+	Tripwire Enterprise for Desktops - License	9632.000000000002	4816.000000000001	4334.400000000001	3852.800000000001	3130.4000000000005	3000
172105-01-JA	1-100	Tripwire Enterprise for Desktops - Basic Support	5152.000000000001	2576.0000000000005	2318.4000000000005	2060.8000000000006	1674.4000000000003	2000
172105-01-JA	101-250	Tripwire Enterprise for Desktops - Basic Support	4144	2072	1864.8	1657.6000000000001	1346.8	1000
