
===== SHEET: Products with GP Class - Joyce (1224r x 17c) =====
(Do Not Modify) Product	(Do Not Modify) Row Checksum	(Do Not Modify) Modified On	Name	Product SKU	Product Brand	Solution Category	Product Type	GP Item Class	Tax Code	Status	Product Structure	Description	List Price	List Price (Base)	Legacy Product?	Currency
eadad224-89b3-ed11-83fd-6045bdd9c53a	PYn6nLcg9AgcKD2ZnW4F20FnbAQBBtB4CNS55ZgKQZyHC0Y3PRYGuf95ee6qzDKY8V4Oj/fAaRMjAiKDoBLCdg==	2023-08-28 04:22:48	Setup Fee - DRP	PL0130	PhishLabs	Brand Protection	Services	SERV SUP	SC070321	Active	Product		0	0	No	US Dollar
eddad224-89b3-ed11-83fd-6045bdd9c53a	iGcu/qKrLS2LIJP4PJpdG+uvQu4ptzbXI5yKMNATaDPIY/tYV/sA+Lq2xzmpZQ9RWe7DBsPjvf/5qlEjykm0oQ==	2023-08-28 04:22:48	Setup Fee - Email Security	PL0131	PhishLabs	Brand Protection	Services	SERV SUP	SC070321	Active	Product		0	0	No	US Dollar
5324afb2-89b3-ed11-83fd-6045bdf0559f	x4pnyy/LkaiqSjmiCZciYFxtjulcBDDfND1Yt34eKDt8Cj8SZYesLU8Tv2eCAWw4p0H6nCLe29BN0m30xqhAXQ==	2023-08-28 04:22:48	Setup Fee	PL0132	PhishLabs	Brand Protection	Services	SERV SUP	SC070321	Active	Product		0	0	No	US Dollar
fadad224-89b3-ed11-83fd-6045bdd9c53a	cJLXh31DEK5sPl+K5JckDMDWbg2kXp0H+WQNfuq9LJnobWQlycYzVoIlOdRVip1u5eQxVjb0+SLe5hSOFFzG5w==	2024-09-18 21:17:51	Phishing Simulations	PL0138	PhishLabs	Brand Protection	Subscription	SERV RECUR	SW054003	Active	Product		0	0	No	US Dollar
50f0cf2a-89b3-ed11-83fd-6045bdd9c53a	Amc9q53OsxTatTueWGhQLe8TdDGAswy8ozc0MElb1H27lZ4LWfgQno1gQ/r8jt1qg9Jw3TAzlq4yzUWagtO9yQ==	2024-09-18 21:17:51	Spearphishing Simulations	PL0140	PhishLabs	Brand Protection	Subscription	SERV RECUR	SW054003	Active	Product		0	0	No	US Dollar
45dad224-89b3-ed11-83fd-6045bdd9c53a	M+tRJergnQt0zJWwAb5s+i40A3G9EawPr5vb6PQwyX9SCyhRuX4LeZnhGYGTrA9qy4jD4VYvLrYyTQAM6KRYzg==	2024-09-18 21:17:51	Training Modules	PL0141	PhishLabs	Brand Protection	Subscription	SERV RECUR	SW054003	Active	Product		0	0	No	US Dollar
28841d8d-60fb-ee11-a1fe-7c1e5217797f	iV0yV6m9vpGgujxlBa0gc59LmxZGGB/haxj96GhTwtnsMC7up9enXlgxQfjLcdmorV8slJRFcZebfTv1g0QzSw==	2025-06-25 11:32:32	SASE Integration Service Fee	DG06079	Cloud Data Protection	Cloud Data Protection	Services	SERV SUP	SW054003	Active	Product		4125	4125	No	US Dollar
29841d8d-60fb-ee11-a1fe-7c1e5217797f	uCKDRmnft9G1qBn/HNrHNo2VJfvBr1G4fyn2dQiBQlWxWMkitcGRDlABV0DYE/pvjpsb1cy5G8Z4QrYL2z+E/g==	2025-06-25 11:32:33	SASE Quick Start Onboarding fee	DG06080	Cloud Data Protection	Cloud Data Protection	Services	SERV SUP	SW054003	Active	Product		4125	4125	No	US Dollar
25202e13-0312-ef11-9f89-7c1e520cedd4	/a5wYXgkAl8dlRIy/WpeSIYvabmnyDdI0qnK9UjFfMSzkB85hOx70+DhYjL3mPttu6IqXB9PGfZnypVo1oiiFQ==	2025-06-25 11:31:46	Boldon James 30 day training extension	DC00601	Boldon James	Data Protection	Services	SERVICES	SC070321	Active	Product		550	550	No	US Dollar
ad573715-0312-ef11-9f89-000d3a1d6066	03S1eY1NTWKsEwNcHf1mP2xJG5wo71y53k/QK7ZhVYi0S0YBTnGkLQGtIMc/2DFJ2MzE9qlfkDOoH/HkBphkaw==	2025-06-25 01:27:35	Boldon James Service Delivery Certification Exam	DC00602	Boldon James	Data Protection	Services	SERVICES	SC130121	Active	Product		550	550	No	US Dollar
ae573715-0312-ef11-9f89-000d3a1d6066	9mRFwPkh/ZlR3ibwd4sDTQRer8dH8cAVeAiTznkGdEPzS4Gm+XJarQp/k/+yg/0LBLLo+9tx0+dBoAmL4hPN0w==	2025-06-25 01:27:36	Boldon James Foundation Training (Customer) Private & exam-up to 12	DC00603	Boldon James	Data Protection	Services	SERVICES	SC070321	Active	Product		19000	19000	No	US Dollar
1f7e2619-0312-ef11-9f89-7c1e520cedd4	b6pMIZtuGUT80VnUtrGp6MEmH4vhiYJ0VX5YvlRSQmo+pXHMniKz5BDzbz7HJKERL4mZdTMhoGcUUGbPEKtnqg==	2025-06-25 11:31:47	Boldon James Foundation Training (Customer) Private & exam-up to 5	DC00604	Boldon James	Data Protection	Services	SERVICES	SC070321	Active	Product		9000	9000	No	US Dollar
207e2619-0312-ef11-9f89-7c1e520cedd4	api0JWnEdtStARnVE7fmrAGQHebA1cb/RcRgIFo5OGg+BimK8WKATSO637wf1gsJumCmGauxRmJyHilk+UH6IQ==	2025-06-25 11:31:49	Boldon James Foundation Training (Customer) Public & certification exam	DC00605	Boldon James	Data Protection	Services	SERVICES	SC070321	Active	Product		2000	2000	No	US Dollar
217e2619-0312-ef11-9f89-7c1e520cedd4	x1De13P6h9K04FJYpzhODOtpYVrl+/PXMJBKzV+hZPoudmhUe/MkpuaKGeEPgbW+tQPhPqpYM3OytYlU68c7LQ==	2025-06-25 11:31:50	Boldon James Service Delivery Partner Training Private & certification exam (up to 5)	DC00606	Boldon James	Data Protection	Services	SERVICES	SC070321	Active	Product		4000	4000	No	US Dollar
227e2619-0312-ef11-9f89-7c1e520cedd4	MLsZG6a2r0jHe0xYmBsXvE1OeU+imA0dtKwpkHQeKXs3z+HzxBCW9/UmhJS92Pz2B+Sp6tlcKz49EfsNhymzxw==	2025-06-25 11:31:51	Boldon James Service Delivery Partner Training Public & certification exam	DC00607	Boldon James	Data Protection	Services	SERVICES	SC070321	Active	Product		1500	1500	No	US Dollar
237e2619-0312-ef11-9f89-7c1e520cedd4	jce14hhBSQJ+qzgJZhK5ZAN/8OwCaZBrDh5CPQo80ng+1PySvy8edsgxyw+6UsbfwMBIMh4m/K4fWE5s3fmJJg==	2025-06-25 11:31:53	Boldon James Foundation Training Self-Study & certification exam	DC00608	Boldon James	Data Protection	Services	SERVICES	SC070321	Active	Product		1500	1500	No	US Dollar
257e2619-0312-ef11-9f89-7c1e520cedd4	MfpNl8MckjdqYNHYdR2RrDlC0TEGb3zzb9a9jWMzPc1sNsgw9tX/LxMlICxQiFKDKvai/XP8xoMkxQ6Zp2yPJw==	2025-06-25 11:31:55	DC - Boldon James - Business - On Prem Setup - DAC	DC00610	Boldon James	Data Protection	Services	SERV SUP	DC010500	Active	Product		48000	48000	No	US Dollar
267e2619-0312-ef11-9f89-7c1e520cedd4	qEUhQsiIuH2+oGsX3mkKDD7mVXJcbnEQfFXVzvSOGNc/DcFLkOZUV/90PBEUTgMO5U8zHKoWENrJy5q3XFv76A==	2025-06-25 11:31:56	DC - Boldon James - Business - On Prem Setup - DAR	DC00611	Boldon James	Data Protection	Services	SERV SUP	DC010500	Active	Product		72000	72000	No	US Dollar
277e2619-0312-ef11-9f89-7c1e520cedd4	9fE0PIglrWkt8/REo2iqYdCYc3e9DbL6ROv0iuoqhQgO03/5hdvwdU0MtjkLlXstNV+SahCIs1DUrgADzuprqg==	2025-06-25 11:31:57	DC - Boldon James - Core - On-Prem Setup - DAC	DC00612	Boldon James	Data Protection	Services	SERV SUP	DC010500	Active	Product		12000	12000	No	US Dollar
c0eb5b1e-0312-ef11-9f89-00224821ce28	Kh7hOGVa2JhWXK7RquBkvmDjZnZrDKe2qaoBNTVF8X0hNqRFRqRWpsbLRoEAkJv091NR7aN06xXKBqdMQav9zw==	2025-06-25 01:36:30	DC - Boldon James - Core - On-Prem Setup - DAR	DC00613	Boldon James	Data Protection	Services	SERV SUP	DC010500	Active	Product		24000	24000	No	US Dollar
c1eb5b1e-0312-ef11-9f89-00224821ce28	xb+c4lrXhMY9adRGGoloeQER6LdvhDS+OnWo2cYeQzTtCE4Qk9UgddOIb2MIQ+7q54zy4U4CT6z0LxiOvUWYBQ==	2025-06-25 01:36:32	DC - Boldon James - Enterprise - On Prem Setup	DC00614	Boldon James	Data Protection	Services	SERV SUP	DC010500	Active	Product		148000	148000	No	US Dollar
a86a9418-0312-ef11-9f89-000d3a1631b1	QWA/bBlF31SBQGibsHk0BdpSLU/BCmLroG1d+exZGgJoVMD0pC8kOaU0gpqvGZUQ+n5/Ux4bMHreBxP4WG8C4g==	2025-06-25 01:10:58	DP - 12 Calendar Month Resident	DC00647	Boldon James	Data Protection	Services	SERV RECUR	SC070321	Active	Product		360000	360000	No	US Dollar
a96a9418-0312-ef11-9f89-000d3a1631b1	k1mvNInQfzOx1oMeqRzN5bCR8ZdiaW1rrmSYMI47GZAoE/d8F2irMzXB7yEGG49BqS8dL+qhqpVDk7bPGusNXQ==	2025-06-25 01:10:59	DP - 3 Calendar Month Resident	DC00648	Boldon James	Data Protection	Services	SERV RECUR	SC070321	Active	Product		120000	120000	No	US Dollar
aa6a9418-0312-ef11-9f89-000d3a1631b1	AahByRlkqi7bVl1PxFexQ/E6BCO3zlYhc1Hs6+vpE4I4sawiBFhkIBrGpiBU0zGTRgRq54799B76RtG61D/19A==	2025-06-25 01:11:00	DP - 6 Calendar Month Resident	DC00649	Boldon James	Data Protection	Services	SERV RECUR	SC070321	Active	Product		216000	216000	No	US Dollar
287e2619-0312-ef11-9f89-7c1e520cedd4	3vnmzo8mKDfb5My77gE0NDrJkxHp4SfgrLmy/BbFRohB2/0ORDyftCI7Q8+1midMrXa1GRCtm2mmfDDPt3mTVQ==	2025-06-25 11:31:58	DP Professional Services - 24 Hours	DC00650	Boldon James	Data Protection	Services	SERVICES	SC130121	Active	Product		6100	6100	No	US Dollar
9e6a9418-0312-ef11-9f89-000d3a1631b1	yyHaD5eGSlf1ebbXo4eVl5HVyigt8TJEJIDM0bTL6WDfYOaenyGk3otikiAfJ7kJwnR2oAdQSy4KfaOfHHGyfA==	2025-06-25 01:10:49	DP Professional Services - 24 Hours - Postpaid	DC00651	Boldon James	Data Protection	Services	SERVICES	SC130121	Active	Product		7500	7500	No	US Dollar
9f6a9418-0312-ef11-9f89-000d3a1631b1	tKBVg6ly7GZzTBSe868FX1rU99DK89ry8RiVby6lGDVWIe17h94z+Nr2gg3Cs+t+U8n6dcFPyvxmIOMp9mEqNw==	2025-06-25 01:10:50	DP Professional Services - 40 Hours	DC00652	Boldon James	Data Protection	Services	SERVICES	SC130121	Active	Product		10000	10000	No	US Dollar
a06a9418-0312-ef11-9f89-000d3a1631b1	P3KA1+vnJGxdGo7dhG1BNTXrWAxPEils9xOAoW2dDnAhl4/PnwdR0wl1SVPDEYwb+f1doSStQXsV2vHMj/Bcfw==	2025-06-25 01:10:51	DP Professional Services - 40 Hours - Postpaid	DC00653	Boldon James	Data Protection	Services	SERVICES	SC130121	Active	Product		12000	12000	No	US Dollar
