
===== SHEET: Sheet1 (124r x 6c) =====
Experlogix Rule Name	Type	Rule Description	Experlogix Code: Premise	Experlogix Code: Conclusion	AutoFix
AM_AM00090Req	ERROR	IF AM00090 is selected, then AM00093 AND (AM00103 OR AM00105 OR AM00106 OR AM00111 OR AM00151 ) need to also be selected	S:AM00090 NOT ( S:AM00093 AND ( S:AM00103 OR S:AM00105 OR S:AM00106 OR S:AM00111 OR S:AM00151 ) )	C:AMSoftwareLegac	3
AM_AM00091Req	ERROR	IF AM00091 is selected, then AM00094 AND (AM00105 OR AM00106 OR AM00111 OR AM00112 OR AM00151 ) need to also be selecteded	S:AM00091 NOT ( S:AM00094 AND ( S:AM00105 OR S:AM00106 OR S:AM00111 OR S:AM00112 OR S:AM00151 ) )	C:AMSoftwareLegac	3
AM_AM00092Req	ERROR	IF AM00092 is selected, then AM00095 AND (AM00105 OR AM00106 OR AM00111 OR AM00113 OR AM00151 ) need to also be selected	S:AM00092 NOT ( S:AM00095 AND ( S:AM00105 OR S:AM00106 OR S:AM00111 OR S:AM00113 OR S:AM00151 ) )	C:AMSoftwareLegac	3
AM_AM00740Req	ERROR	IF AM00740 is selected, then AM00743 AND (AM00753 OR AM00755 OR AM00756 OR AM00761 OR AM00801 ) need to also be selected	S:AM00740 NOT ( S:AM00743 AND ( S:AM00753 OR S:AM00755 OR S:AM00756 OR S:AM00761 OR S:AM00801 ) )	C:AMSubsLegacy	2
AM_AM00741Req	ERROR	IF AM00741 is selected, then AM00744 AND (AM00762 OR AM00755 OR AM00756 OR AM00761 OR AM00801 ) need to also be selected	S:AM00741 NOT ( S:AM00744 AND ( S:AM00762 OR S:AM00755 OR S:AM00756 OR S:AM00761 OR S:AM00801 ) )	C:AMSubsLegacy	2
AM_AM00742Req	ERROR	IF AM00742 is selected, then AM00745 AND (AM00763 OR AM00755 OR AM00756 OR AM00761 OR AM00801 ) need to also be selected	S:AM00742 NOT ( S:AM00745 AND ( S:AM00763 OR S:AM00755 OR S:AM00756 OR S:AM00761 OR S:AM00801 ) )	C:AMSubsLegacy	2
AM_AMProfessionalReq	ERROR	IF (AM00058 OR AM00059 OR AM00060 OR AM00061 OR AM00062 OR AM00063 OR AM00064 OR AM00065 OR AM00066 OR AM00067 OR AM00068 OR AM00069 OR AM00200 OR AM00201) is selected Then AM00051 OR AM00052 OR AM00054 OR AM00050 OR AM00053 OR AM00055 need to be selected or already owned by the customer	( S:AM00058 OR S:AM00059 OR S:AM00060 OR S:AM00061 OR S:AM00062 OR S:AM00063 OR S:AM00064 OR S:AM00065 OR S:AM00066 OR S:AM00067 OR S:AM00068 OR S:AM00069 OR S:AM00200 OR S:AM00201 ) NOT ( F:AMProfOwned OR S:AM00051 OR S:AM00052 OR S:AM00054 OR S:AM00050 OR S:AM00053 OR S:AM00055 )	S:AM00058 S:AM00059 S:AM00060 S:AM00061 S:AM00062 S:AM00063 S:AM00064 S:AM00065 S:AM00066 S:AM00067 S:AM00068 S:AM00069 S:AM00200 S:AM00201	3
AM_BPAEntCrossgrade	ALLOW	IF AM00090 is selected or already owned by the customer, AM00102 displays as an option	F:AMBPAOwned	S:AM00102	3
AM_BPAEnterpriseRequired	ERROR	IF (AM00099 OR AM00100 OR AM00101) is selected THEN AM00098 OR M_AM00102 need to be selected or already owned by the customer	( S:AM00099 OR S:AM00100 OR S:AM00101 ) NOT ( S:AM00098 OR F:AMBPAEntOwned OR S:M_AM00102 )	S:AM00099 S:AM00100 S:AM00101	2
AM_BPAEntMaintPlus	ALLOW	IF AM00098, AM00101, OR AM00102 are selected or already owned by the customer, AM02003 displays as an option	S:AM00098 OR S:AM00101 OR S:AM00102 OR F:Rule_AM_BPAEntMaintPlus	S:AM02003	2
