
===== SHEET: Sheet1 (62r x 8c) =====
Name	Base Product	Bundle Product SKU	Line Product	Line Product SKU	Bundle Price Multiplier	Product Relationship	Allow Removal
LN08026_LN02004	GoAnywhere Starter Bundle with Gateway - Perpetual	LN08026	GoAnywhere MFT Starter QuickStart Services	LN02004	1	Required Item	With Approval
LN09043_LN02004	GoAnywhere Starter Bundle with Gateway - Subscription	LN09043	GoAnywhere MFT Starter QuickStart Services	LN02004	1	Required Item	With Approval
LN08045_LN02004	GoAnywhere Starter Bundle with Gateway and Threat Protection – Perpetual	LN08045	GoAnywhere MFT Starter QuickStart Services	LN02004	1	Required Item	With Approval
LN08045_LN09073	GoAnywhere Starter Bundle with Gateway and Threat Protection – Perpetual	LN08045	Clearswift ICAP QuickStart - GoAnywhere	LN09073	1	Required Item	With Approval
LN09065_LN02004	GoAnywhere Starter Bundle with Gateway and Threat Protection - Subscription	LN09065	GoAnywhere MFT Starter QuickStart Services	LN02004	1	Required Item	With Approval
LN09065_LN09073	GoAnywhere Starter Bundle with Gateway and Threat Protection - Subscription	LN09065	Clearswift ICAP QuickStart - GoAnywhere	LN09073	1	Required Item	With Approval
LN08044_LN02005	GoAnywhere Premium Bundle with Threat Protection – Perpetual	LN08044	GoAnywhere MFT Premium QuickStart Services	LN02005	1	Required Item	With Approval
LN08044_LN09073	GoAnywhere Premium Bundle with Threat Protection – Perpetual	LN08044	Clearswift ICAP QuickStart - GoAnywhere	LN09073	1	Required Item	With Approval
LN08044_LN02030	GoAnywhere Premium Bundle with Threat Protection – Perpetual	LN08044	GoAnywhere MFT Expert Certification(up to 5) – Private ILT (Includes Fundamentals, Administrator, & Automation)	LN02030	1	Required Item	With Approval
LN09064_LN02005	GoAnywhere Premium Bundle with Threat Protection - Subscription	LN09064	GoAnywhere MFT Premium QuickStart Services	LN02005	1	Required Item	With Approval
LN09064_LN09073	GoAnywhere Premium Bundle with Threat Protection - Subscription	LN09064	Clearswift ICAP QuickStart - GoAnywhere	LN09073	1	Required Item	With Approval
LN09064_LN02030	GoAnywhere Premium Bundle with Threat Protection - Subscription	LN09064	GoAnywhere MFT Expert Certification(up to 5) – Private ILT (Includes Fundamentals, Administrator, & Automation)	LN02030	1	Required Item	With Approval
LN08028_LN02003	GoAnywhere Core Server Bundle with Gateway - Perpetual	LN08028	GoAnywhere MFT Core QuickStart Services	LN02003	1	Required Item	With Approval
LN09045_LN02003	GoAnywhere Core Server Bundle with Gateway - Subscription	LN09045	GoAnywhere MFT Core QuickStart Services	LN02003	1	Required Item	With Approval
LN08046_LN02003	GoAnywhere Core Server Bundle with Gateway and Threat Protection - Perpetual	LN08046	GoAnywhere MFT Core QuickStart Services	LN02003	1	Required Item	With Approval
LN08046_LN09073	GoAnywhere Core Server Bundle with Gateway and Threat Protection - Perpetual	LN08046	Clearswift ICAP QuickStart - GoAnywhere	LN09073	1	Required Item	With Approval
LN09067_LN02003	GoAnywhere Core Server Bundle with Gateway and Threat Protection - Subscription	LN09067	GoAnywhere MFT Core QuickStart Services	LN02003	1	Required Item	With Approval
LN09067_LN09073	GoAnywhere Core Server Bundle with Gateway and Threat Protection - Subscription	LN09067	Clearswift ICAP QuickStart - GoAnywhere	LN09073	1	Required Item	With Approval
LN09047_LN02004	GoAnywhere Collaboration Bundle with Gateway - Subscription	LN09047	GoAnywhere MFT Starter QuickStart Services	LN02004	1	Required Item	With Approval
LN08047_LN02004	GoAnywhere Collaboration Bundle with Gateway and Threat Protection - Perpetual	LN08047	GoAnywhere MFT Starter QuickStart Services	LN02004	1	Required Item	With Approval
LN08047_LN09073	GoAnywhere Collaboration Bundle with Gateway and Threat Protection - Perpetual	LN08047	Clearswift ICAP QuickStart - GoAnywhere	LN09073	1	Required Item	With Approval
LN09068_LN02004	GoAnywhere Collaboration Bundle with Gateway and Threat Protection – Subscription	LN09068	GoAnywhere MFT Starter QuickStart Services	LN02004	1	Required Item	With Approval
LN09068_LN09073	GoAnywhere Collaboration Bundle with Gateway and Threat Protection – Subscription	LN09068	Clearswift ICAP QuickStart - GoAnywhere	LN09073	1	Required Item	With Approval
DG03007_DG06101	Endpoint DGMC Subscription - SaaS On Prem	DG03007	Fortra Cares - Digital Guardian	DG06101	1	Required Item	With Approval
DG09008_DG06103	DG Data Protection Platform for DLP - SaaS	DG09008	Fortra Cares - Digital Guardian	DG06101	1	Required Item	With Approval
DG02005_DG06101	Endpoint DLP Subscription - SaaS - SMB	DG02005	Fortra Cares - Digital Guardian	DG06101	1	Required Item	With Approval
