
===== SHEET: Products (9441r x 23c) =====
Product SKU	Name	Software Product Master	GP Item Class	Tax Code	Price	Legacy Product?	Bundle?	Unit Label	Is Tiered Pricing	Experlogix Series	Family Unit (Software Product Family) (Product)	Solution Group Family (Software Product Family) (Product)	Product Brand Family (Software Product Family) (Product)	Product Family (Software Product Family) (Product)	Software Product Family	Product SKU (Software Product Family) (Product)	In Bundles	Required With Items	Approval Discount Fraction	Hardware	Regional Discounts	Term Length Discounts
IM05700	Server Change Fee - Under 100 Devices		CHANGE FEE	DC010500	50	No					CORE	Network Monitoring	InterMapper	Intermapper Maintenance	Intermapper Maintenance	F4INTERMAPPERMAINT			0.25	0		No
IM05701	Server Change Fee - 100 - 1,000 Devices		CHANGE FEE	DC010500	100	No					CORE	Network Monitoring	InterMapper	Intermapper Maintenance	Intermapper Maintenance	F4INTERMAPPERMAINT			0.25	0		No
IM05702	Server Change Fee - Over 1,000 Devices		CHANGE FEE	DC010500	250	No					CORE	Network Monitoring	InterMapper	Intermapper Maintenance	Intermapper Maintenance	F4INTERMAPPERMAINT			0.25	0		No
BI02101	SEQUEL License Upgrade Fee		CHANGE FEE	DC010500	0	No					CORE	Business Intelligence	Sequel	SEQUEL Maintenance	SEQUEL Maintenance	F4SEQUELMAINT			0.25	HADR50		No
BI02103	Showcase License Upgrade Fee		CHANGE FEE	DC010500	0	No					CORE	Business Intelligence	ShowCase	ShowCase Maintenance	ShowCase Maintenance	F4SCMAINT			0.25	HADR50		No
PT02101	PowerTech License Upgrade Fee		CHANGE FEE	DC010500	0	No					CORE	Cybersecurity	Powertech	Powertech Maintenance	Powertech Maintenance	F4PTMAINT			0.25	0		No
TG02101	Tango License Upgrade Fee - Lgacy		CHANGE FEE	DC010500	0	Yes					CORE	Systems Management	Tango	Tango04 Maintenance	Tango04 Maintenance	F4TANGO04MAINT			0.25	HADR50		No
SS02101	Safestone License Upgrade Fee		CHANGE FEE	DC010500	0	No					CORE	Cybersecurity	Safestone	Safestone Maintenance	Safestone Maintenance	F4SSMAINT			0.25	HADR50		No
RB02101	Robot License Upgrade Fee		CHANGE FEE	DC010500	0	No					CORE	Systems Management	Robot	Robot Maintenance	Robot Maintenance	F4RBTMAINT			0.25	HADR50		No
BW02101	Bytware License Upgrade Fee		CHANGE FEE	DC010500	0	No					CORE	Systems Management	Bytware	Bytware Maintenance	Bytware Maintenance	F4BYTWAREMAINT			0.25	HADR50		No
CC02101	CCSS License Upgrade Fee		CHANGE FEE	DC010500	0	No					CORE	Systems Management	CCSS	CCSS Maintenance	CCSS Maintenance	F4CCSSMAINT			0.25	HADR50		No
HC02101	Halcyon License Upgrade Fee		CHANGE FEE	DC010500	0	No					CORE	Systems Management	Halcyon	Halcyon Maintenance	Halcyon Maintenance	F4HALCYONMAINT			0.25	HADR50		No
TQ02101	TeamQuest License Upgrade Fee		CHANGE FEE	DC010500	0	No					CORE	Capacity Management	Capacity Management	TeamQuest Maintenance	TeamQuest Maintenance	F4TQMAINT			0.25	None		No
TQG2101	TeamQuest - GSA - License Upgrade Fee		CHANGE FEE	DC010500	0	No					CORE	Capacity Management	Capacity Management	TeamQuest Maintenance	TeamQuest Maintenance	F4TQMAINT			0.25	None		No
TN02101	Tango License Upgrade Fee		CHANGE FEE	DC010500	0	No					CORE	Systems Management	Tango	Tango04 Maintenance	Tango04 Maintenance	F4TANGO04MAINT			0.25	HADR50		No
FT02101	BoKS License Upgrade Fee		CHANGE FEE	DC010500	0	No					CORE	Identity & Access Management	BoKS	BoKs Maintenance	BoKs Maintenance	F4BOKSMAINTENANCE			0.25	HADR50		No
PT12101	PowerTechX License Upgrade Fee		CHANGE FEE	DC010500	0	No					CORE	Cybersecurity	Powertech	Powertech Maintenance	Powertech Maintenance	F4PTMAINT			0.25	0		No
MP02101	MPG License Upgrade Fee	Robot Services	CHANGE FEE	DC010500	0	No					CORE	Systems Management	Robot	Robot Maintenance	Robot Maintenance	F4RBTMAINT			0.25	HADR50		No
IG02101	IGA License Upgrade Fee		CHANGE FEE	DC010500	0	No					CORE	Identity & Access Management	Core IGA	Core IGA Maintenance	Core IGA Maintenance	F4COREIGAMAINT			0.25	None		No
IM05800	InterMapper New Standard Maintenance		NEW MAINT	SC100221	0	No					CORE	Network Monitoring	InterMapper	Intermapper Maintenance	Intermapper Maintenance	F4INTERMAPPERMAINT			0.25	0		No
IM05850	Maintenance Plus - Level 1 (1 - 200 Devices)	GoAnywhere	NEW MAINT	SC100221	250	No					CORE	Network Monitoring	InterMapper	Intermapper Maintenance	Maintenance Plus - InterMapper	F4MAINTPLUSINTERMAPP	1	0	0.25	0		No
IM05851	Maintenance Plus - Level 2 (201 - 1000 Devices)	GoAnywhere	NEW MAINT	SC100221	500	No					CORE	Network Monitoring	InterMapper	Intermapper Maintenance	Maintenance Plus - InterMapper	F4MAINTPLUSINTERMAPP	1	0	0.25	0		No
IM05852	Maintenance Plus - Level 3 (1001 - 5000 Devices )	GoAnywhere	NEW MAINT	SC100221	750	No					CORE	Network Monitoring	InterMapper	Intermapper Maintenance	Maintenance Plus - InterMapper	F4MAINTPLUSINTERMAPP			0.25	0		No
IM05853	Maintenance Plus - Level 4 (5001 or More Devices)	GoAnywhere	NEW MAINT	SC100221	1500	No					CORE	Network Monitoring	InterMapper	Intermapper Maintenance	Maintenance Plus - InterMapper	F4MAINTPLUSINTERMAPP			0.25	0		No
RJ07200	RJS - New Standard Maintenance		NEW MAINT	SC100221	0	No					CORE	Document Management	Doc Management	Doc Management Maintenance	Doc Management Maintenance	F4DOCMNGTMAINT			0.25	HADR50		No
