
===== SHEET: BSS-22410 (15129r x 18c) =====
	BSS-22410
	As of 2025-06-04 10:45:55 Pacific Standard Time/PST • Generated by Jillian Jones
	Filtered By
	Show: All products
	Price Book: Price Book Name  ↑	Product Family  ↑	SubCategory  ↑		Product Name	Product Code	Product Description	Product Model	Pricing Method	List Price	Term Discount Level	Term Discount Schedule: Schedule Name	Default Quantity	Option Selection Method	Active	IsRenewalProduct
	Renewals Price Book	Licenses	EFT Continuum Servers		EFT 8 Continuum	HSEFT-N-CNM	EFT 8 Continuum		List	0			1	Click	True	False
					EFT 8 Continuum [Non-Prod]	HSEFT-N-CNM-NP	EFT 8 Continuum [Non-Prod]		List	0			1	Click	True	False
			EFT Bundles		EFT SMB Tier 1	GSEFT-N-S-T1			List	1307.2			1	Click	False	False
					EFT SMB Tier 2	GSEFT-N-S-T2			List	3625.13			1	Click	False	False
					EFT SMB Tier 1 [Standby]	GSEFT-N-S-T1-SB			List	653.65			1	Click	False	False
					EFT SMB Tier 2 [Standby]	GSEFT-N-S-T2-SB			List	1812.61			1	Click	False	False
					EFT SMB Tier 3 [Standby]	GSEFT-N-S-T3-SB			List	3927.16			1	Click	False	False
					EFT SMB Tier 1 [Dev]	GSEFT-N-S-T1-DV			List	431.42			1	Click	False	False
					EFT SMB Tier 2 [Dev]	GSEFT-N-S-T2-DV			List	1195.61			1	Click	False	False
					EFT SMB Tier 3 [Dev]	GSEFT-N-S-T3-DV			List	2591.57			1	Click	False	False
					EFT Enterprise Tier 2	GSEFT-N-E-T2			List	51183.57			1	Click	False	False
					EFT Enterprise Tier 1 [Standby]	GSEFT-N-E-T1-SB			List	12358.33			1	Click	False	False
					EFT Enterprise Tier 2 [Standby]	GSEFT-N-E-T2-SB			List	25591.78			1	Click	False	False
					EFT Enterprise Tier 3 [Standby]	GSEFT-N-E-T3-SB			List	34192.04			1	Click	False	False
					EFT Enterprise Tier 2 [Dev]	GSEFT-N-E-T2-DV			List	16882.12			1	Click	False	False
					EFT Enterprise Tier 3 [Dev]	GSEFT-N-E-T3-DV			List	22533.57			1	Click	False	False
					EFT HA Promo Bundle	GSEFT-HA-N-1			List	15995			1	Click	False	False
					EFT HA Promo Bundle 2	GSEFT-HA-N-2			List	19995			1	Click	False	False
					EFT HA Promo Bundle 3	GSEFT-HA-N-3			List	27995			1	Click	False	False
					Cisco UCM SFTP Backup	GSUCM-N			List	1307.2			1	Click	False	False
					EFT SMB Tier 3	GSEFT-N-S-T3			List	7854.32			1	Click	True	False
					EFT Enterprise Tier 1	GSEFT-N-E-T1			List	24716.66			1	Click	True	False
					EFT Enterprise Tier 3	GSEFT-N-E-T3			List	68384.18			1	Click	True	False
					EFT Enterprise Tier 1 [Dev]	GSEFT-N-E-T1-DV			List	8149.77			1	Click	True	False
					Core Server Bundle	HSEFT-B-CSB	Core Server Bundle		List	9450			1	Click	True	False
			EFT Enterprise Bundles		EFT Enterprise with 2 Years M&S - Tier 1	GSEFT-EN-SX2-T1			List	34795			1	Click	False	False
					EFT Enterprise with 2 Years M&S - Tier 2	GSEFT-EN-SX2-T2			List	70995			1	Click	False	False
					EFT Enterprise with 2 Years M&S - Tier 3	GSEFT-EN-SX2-T3			List	109995			1	Click	False	False
					EFT Enterprise with 3 Years M&S - Tier 1	GSEFT-EN-SX3-T1			List	37995			1	Click	False	False
					EFT Enterprise with 3 Years M&S - Tier 2	GSEFT-EN-SX3-T2			List	77995			1	Click	False	False
					EFT Enterprise with 3 Years M&S - Tier 3	GSEFT-EN-SX3-T3			List	119995			1	Click	False	False
					EFT Enterprise with 2 Years 24x7 M&S - Tier 1	GSEFT-EN-PX2-T1			List	39995			1	Click	False	False
					EFT Enterprise with 2 Years 24x7 M&S - Tier 2	GSEFT-EN-PX2-T2			List	79995			1	Click	False	False
					EFT Enterprise with 2 Years 24x7 M&S - Tier 3	GSEFT-EN-PX2-T3			List	124995			1	Click	False	False
					EFT Enterprise with 3 Years 24x7 M&S - Tier 1	GSEFT-EN-PX3-T1			List	44995			1	Click	False	False
					EFT Enterprise with 3 Years 24x7 M&S - Tier 2	GSEFT-EN-PX3-T2			List	89995			1	Click	False	False
					EFT Enterprise with 3 Years 24x7 M&S - Tier 3	GSEFT-EN-PX3-T3			List	139995			1	Click	False	False
					EFT Enterprise with 2 Years M&S - Tier 1 [Non-Prod]	GSEFT-EN-SX2-T1-NP	EFT Enterprise with 2 Years M&S - Tier 1 [Non-Prod]		List	17397.5			1	Click	False	False
					EFT Enterprise with 2 Years M&S - Tier 2 [Non-Prod]	GSEFT-EN-SX2-T2-NP	EFT Enterprise with 2 Years M&S - Tier 2 [Non-Prod]		List	35497.5			1	Click	False	False
					EFT Enterprise with 2 Years M&S - Tier 3 [Non-Prod]	GSEFT-EN-SX2-T3-NP	EFT Enterprise with 2 Years M&S - Tier 3 [Non-Prod]		List	54997.5			1	Click	False	False
					EFT Enterprise with 3 Years M&S - Tier 1 [Non-Prod]	GSEFT-EN-SX3-T1-NP	EFT Enterprise with 3 Years M&S - Tier 1 [Non-Prod]		List	18997.5			1	Click	False	False
					EFT Enterprise with 3 Years M&S - Tier 2 [Non-Prod]	GSEFT-EN-SX3-T2-NP	EFT Enterprise with 3 Years M&S - Tier 2 [Non-Prod]		List	38997.5			1	Click	False	False
					EFT Enterprise with 3 Years M&S - Tier 3 [Non-Prod]	GSEFT-EN-SX3-T3-NP	EFT Enterprise with 3 Years M&S - Tier 3 [Non-Prod]		List	59997.5			1	Click	False	False
					EFT Enterprise with 2 Years 24x7 M&S - Tier 1 [Non-Prod]	GSEFT-EN-PX2-T1-NP	EFT Enterprise with 2 Years 24x7 M&S - Tier 1 [Non-Prod]		List	19997.5			1	Click	False	False
					EFT Enterprise with 2 Years 24x7 M&S - Tier 2 [Non-Prod]	GSEFT-EN-PX2-T2-NP	EFT Enterprise with 2 Years 24x7 M&S - Tier 2 [Non-Prod]		List	39997.5			1	Click	False	False
					EFT Enterprise with 2 Years 24x7 M&S - Tier 3 [Non-Prod]	GSEFT-EN-PX2-T3-NP	EFT Enterprise with 2 Years 24x7 M&S - Tier 3 [Non-Prod]		List	62497.5			1	Click	False	False
					EFT Enterprise with 3 Years 24x7 M&S - Tier 1 [Non-Prod]	GSEFT-EN-PX3-T1-NP	EFT Enterprise with 3 Years 24x7 M&S - Tier 1 [Non-Prod]		List	22497.5			1	Click	False	False
					EFT Enterprise with 3 Years 24x7 M&S - Tier 2 [Non-Prod]	GSEFT-EN-PX3-T2-NP	EFT Enterprise with 3 Years 24x7 M&S - Tier 2 [Non-Prod]		List	44997.5			1	Click	False	False
					EFT Enterprise with 3 Years 24x7 M&S - Tier 3 [Non-Prod]	GSEFT-EN-PX3-T3-NP	EFT Enterprise with 3 Years 24x7 M&S - Tier 3 [Non-Prod]		List	69997.5			1	Click	False	False
