
===== SHEET: Sheet1 (59r x 3c) =====
SchemaName	TableName	Record Count
dbo	InstantKB_Alerts	0
dbo	InstantKB_ArticleCategories	1319
dbo	InstantKB_ArticleCommentRatings	421
dbo	InstantKB_ArticleComments	0
dbo	InstantKB_ArticleCustomFields	1517
dbo	InstantKB_ArticleRatings	18640
dbo	InstantKB_ArticleRead	27396895
dbo	InstantKB_ArticleRelatedArticles	0
dbo	InstantKB_ArticleRelatedLinks	4
dbo	InstantKB_ArticleRoles	10466
dbo	InstantKB_Articles	867
dbo	InstantKB_ArticleVersions	4287
dbo	InstantKB_Attachments	85
dbo	InstantKB_AttachmentTypes	167
dbo	InstantKB_Categories	45
dbo	InstantKB_CategoryRoles	308
dbo	InstantKB_Channels	6
dbo	InstantKB_DataViews	18
dbo	InstantKB_Departments	2
dbo	InstantKB_DepartmentWorkTimes	0
dbo	InstantKB_EmailHistory	0
dbo	InstantKB_Glossary	0
dbo	InstantKB_Holidays	0
dbo	InstantKB_Levels	15
dbo	InstantKB_LogEntries	471750
dbo	InstantKB_Notes	1
dbo	InstantKB_Notifications	0
dbo	InstantKB_PermissionSets	5
dbo	InstantKB_PermissionSetsRoles	8
dbo	InstantKB_PermissionSetsTabs	49
dbo	InstantKB_Priorities	16
dbo	InstantKB_Rules	0
dbo	InstantKB_Settings	11
dbo	InstantKB_SLAs	0
dbo	InstantKB_StaffPermissionSets	2
dbo	InstantKB_StaffPermissionSetsTabs	10
dbo	InstantKB_StandardReplies	0
dbo	InstantKB_Status	25
dbo	InstantKB_TabRoles	36
dbo	InstantKB_Tabs	6
dbo	InstantKB_TicketCategories	0
dbo	InstantKB_TicketCustomFields	0
dbo	InstantKB_TicketNotes	0
dbo	InstantKB_TicketReplies	0
dbo	InstantKB_Tickets	0
dbo	InstantKB_TicketUsers	0
dbo	InstantKB_TroubleshooterSteps	0
dbo	InstantKB_Types	30
dbo	InstantKB_UserDepartments	144
dbo	InstantKB_UserLevels	5
dbo	InstantKB_UserLists	6
dbo	InstantKB_Users	504
dbo	InstantKB_UserUserLists	1
dbo	InstantKB_WhosOn	123
dbo	InstantKB_WorkFlowDepartments	5
dbo	InstantKB_WorkFlows	6
dbo	InstantKB_WorkFlowSteps	25
dbo	InstantKB_WorkFlowStepsNextSteps	0
