class,live_lines,repo_path,repo_lines,drift
AttributeVolumePricingPrehook,894,force-app/main/default/classes/AttributeVolumePricingPrehook.cls,894,MATCH
COLAUpliftHandler,494,force-app/main/default/classes/COLAUpliftHandler.cls,494,MATCH
COLAUpliftPrehook,1467,force-app/main/default/classes/COLAUpliftPrehook.cls,1467,MATCH
CancelLineCreditPosthook,724,force-app/main/default/classes/CancelLineCreditPosthook.cls,724,MATCH
CurrencyCodeExtractor,50,force-app/main/default/classes/CurrencyCodeExtractor.cls,50,MATCH
CurrencySelectionService,55,force-app/main/default/classes/CurrencySelectionService.cls,55,MATCH
DatedConversionRateLookup,104,force-app/main/default/classes/DatedConversionRateLookup.cls,104,MATCH
Fortra_CurrencyConversionService,247,force-app/main/default/classes/Fortra_CurrencyConversionService.cls,247,MATCH
HardwareAttributePricingPrehook,959,force-app/main/default/classes/HardwareAttributePricingPrehook.cls,959,MATCH
MaintenanceOrderDecompositionService,965,force-app/main/default/classes/MaintenanceOrderDecompositionService.cls,965,MATCH
OrderCommercialNetService,108,force-app/main/default/classes/OrderCommercialNetService.cls,108,MATCH
OrderRepriceInvocable,151,force-app/main/default/classes/OrderRepriceInvocable.cls,151,MATCH
PartnerNetPricePosthook,2562,force-app/main/default/classes/PartnerNetPricePosthook.cls,2562,MATCH
PartnerPricingPrehook,1645,force-app/main/default/classes/PartnerPricingPrehook.cls,1645,MATCH
PartnerPricingPrehookV2,1133,force-app/main/default/classes/PartnerPricingPrehookV2.cls,1133,MATCH
PartnerPricingService,448,force-app/main/default/classes/PartnerPricingService.cls,448,MATCH
PartnerPricingServiceV2,208,force-app/main/default/classes/PartnerPricingServiceV2.cls,208,MATCH
PowerOrderSplittingService,485,force-app/main/default/classes/PowerOrderSplittingService.cls,485,MATCH
PricingPrehookTestFixtures,129,force-app/main/default/classes/PricingPrehookTestFixtures.cls,129,MATCH
QLDescriptionGeneratorPrehook,862,force-app/main/default/classes/QLDescriptionGeneratorPrehook.cls,862,MATCH
QuoteCurrencyChangeService,101,force-app/main/default/classes/QuoteCurrencyChangeService.cls,101,MATCH
QuoteCurrencyChangeService_Fixed,129,force-app/main/default/classes/QuoteCurrencyChangeService_Fixed.cls,129,MATCH
QuoteMigrationService,607,force-app/main/default/classes/QuoteMigrationService.cls,607,MATCH
QuotePriceStampQueueable,14,force-app/main/default/classes/QuotePriceStampQueueable.cls,14,MATCH
RegionalServicesPricingPrehook,435,force-app/main/default/classes/RegionalServicesPricingPrehook.cls,435,MATCH
RenewalAssetQuantityHandler,235,force-app/main/default/classes/RenewalAssetQuantityHandler.cls,235,MATCH
RenewalAssetQuantityQueueable,15,force-app/main/default/classes/RenewalAssetQuantityQueueable.cls,15,MATCH
RenewalMaintenanceAutoAddHandler,183,force-app/main/default/classes/RenewalMaintenanceAutoAddHandler.cls,183,MATCH
RenewalMaintenanceFlip,104,force-app/main/default/classes/RenewalMaintenanceFlip.cls,104,MATCH
RenewalMaintenancePricingService,486,force-app/main/default/classes/RenewalMaintenancePricingService.cls,486,MATCH
SourceListPricePrehook,15,force-app/main/default/classes/SourceListPricePrehook.cls,15,MATCH
SourceListPriceResolver,22,force-app/main/default/classes/SourceListPriceResolver.cls,22,MATCH
