LineNumber	Product2.Name	Product2Id	Fortra_Product_Type__c	Quantity	UnitPrice	ListPrice	Base_Price__c	NetUnitPrice	NetTotalPrice	TotalPrice	Subtotal	TotalLineAmount	PricingTerm	PricingTermCount	PricingTermUnit	StartDate	EndDate	Pre_Partner_Price__c	PrehookRSNetUnitPrice__c	PartnerDiscountPercent	Partner_Discount_Percent__c	COLACalculatedPrice__c	COLA_Uplift_Percent__c	CancelNetUnitPrice__c
2504517	EFT 8 Continuum	01tWC00000DD1DyYAL	Subscription	1		0		0	0	0	0	0	1	1	Annual	2026-01-01	2026-12-31							
2504518	EFT 8 Continuum-NewMaintenance	01tWC00000DD1DwYAL	New Maintenance	2	0	0				0	0					2026-01-01	2026-12-31			0	0			
2504519	Remote Automation Agent - Yearly	01tWC00000DD1XPYA1	Subscription	2		0		0	0	0	0	0	1	1	Annual	2026-01-01	2026-12-31							
2504520	Advanced Authentication Modes - Yearly	01tWC00000DD11ZYAT	Subscription	2		124		0	0	0	0	0	1	1	Annual	2026-01-01	2026-12-31							
2504521	Audit & Reporting - Yearly	01tWC00000DD13eYAD	Subscription	2		1663		0	0	0	0	0	1	1	Annual	2026-01-01	2026-12-31							
2504522	AS2 Client/Server - Yearly	01tWC00000DD13PYAT	Subscription	2		7623		0	0	0	0	0	1	1	Annual	2026-01-01	2026-12-31							
2504523	Advanced Workflow Engine - Yearly	01tWC00000DD11rYAD	Subscription	2		46		0	0	0	0	0	1	1	Annual	2026-01-01	2026-12-31							
2504524	Enterprise Actions - Yearly	01tWC00000DD1HNYA1	Subscription	2		1525		0	0	0	0	0	1	1	Annual	2026-01-01	2026-12-31							
2504525	Folder Monitor - Yearly	01tWC00000DD1JmYAL	Subscription	2		1525		0	0	0	0	0	1	1	Annual	2026-01-01	2026-12-31							
2504526	Transfer Actions - Yearly	01tWC00000DCxmGYAT	Subscription	2		8907		0	0	0	0	0	1	1	Annual	2026-01-01	2026-12-31							
2504527	FTPS Server - Yearly	01tWC00000DD1LdYAL	Subscription	2		1512.5		0	0	0	0	0	1	1	Annual	2026-01-01	2026-12-31							
2504528	HTTPS Server (includes Web client) - Yearly	01tWC00000DD1PzYAL	Subscription	2		3465		0	0	0	0	0	1	1	Annual	2026-01-01	2026-12-31							
2504529	PGP Actions - Yearly	01tWC00000DD1UrYAL	Subscription	2		1525		0	0	0	0	0	1	1	Annual	2026-01-01	2026-12-31							
2504530	Regulatory Compliance - Yearly	01tWC00000DD1XJYA1	Subscription	2		3465		0	0	0	0	0	1	1	Annual	2026-01-01	2026-12-31							
2504531	SFTP Server - Yearly	01tWC00000DD1kaYAD	Subscription	2		3465		0	0	0	0	0	1	1	Annual	2026-01-01	2026-12-31							
2504532	Scheduler - Yearly	01tWC00000DD1e0YAD	Subscription	2		3125		0	0	0	0	0	1	1	Annual	2026-01-01	2026-12-31							
2504533	Workspaces - Yearly	01tWC00000DD1yDYAT	Subscription	2		0		0	0	0	0	0	1	1	Annual	2026-01-01	2026-12-31							
2504534	Arcus Hosting	01tWC00000DD11IYAT	Subscription	1		3000		0	0	0	0	0	1	1	Annual	2026-01-01	2026-12-31							
2504535	EFT 8 Continuum-NewMaintenance	01tWC00000DD1DwYAL	New Maintenance	1	0	0				0	0					2026-01-01	2026-12-31			0	0			
2504536	Remote Automation Agent - Yearly	01tWC00000DD1XPYA1	Subscription	1		0		0	0	0	0	0	1	1	Annual	2026-01-01	2026-12-31							
2504537	EFT 8 Continuum	01tWC00000DD1DyYAL	Subscription	2		0		0	0	0	0	0	1	1	Annual	2026-01-01	2026-12-31							
2504538	Advanced Authentication Modes - Yearly	01tWC00000DD11ZYAT	Subscription	1		124		0	0	0	0	0	1	1	Annual	2026-01-01	2026-12-31							
2504539	Audit & Reporting - Yearly	01tWC00000DD13eYAD	Subscription	1		1663		0	0	0	0	0	1	1	Annual	2026-01-01	2026-12-31							
2504540	AS2 Client/Server - Yearly	01tWC00000DD13PYAT	Subscription	1		7623		0	0	0	0	0	1	1	Annual	2026-01-01	2026-12-31							
2504541	Advanced Workflow Engine - Yearly	01tWC00000DD11rYAD	Subscription	1		46		0	0	0	0	0	1	1	Annual	2026-01-01	2026-12-31							
2504542	Enterprise Actions - Yearly	01tWC00000DD1HNYA1	Subscription	1		1525		0	0	0	0	0	1	1	Annual	2026-01-01	2026-12-31							
2504543	Folder Monitor - Yearly	01tWC00000DD1JmYAL	Subscription	1		1525		0	0	0	0	0	1	1	Annual	2026-01-01	2026-12-31							
2504544	Transfer Actions - Yearly	01tWC00000DCxmGYAT	Subscription	1		8907		0	0	0	0	0	1	1	Annual	2026-01-01	2026-12-31							
2504545	FTPS Server - Yearly	01tWC00000DD1LdYAL	Subscription	1		1512.5		0	0	0	0	0	1	1	Annual	2026-01-01	2026-12-31							
2504546	HTTPS Server (includes Web client) - Yearly	01tWC00000DD1PzYAL	Subscription	1		3465		0	0	0	0	0	1	1	Annual	2026-01-01	2026-12-31							
2504547	PGP Actions - Yearly	01tWC00000DD1UrYAL	Subscription	1		1525		0	0	0	0	0	1	1	Annual	2026-01-01	2026-12-31							
