scenario	quote	phase	isSuccess	errors
S1	0Q0WC000003IIT0	reprice1	True	
S1	0Q0WC000003IIT0	reprice2	True	
S2_S11	0Q0WC000003GMu5	reprice1	True	
S2_S11	0Q0WC000003GMu5	reprice2	True	
S3	0Q0WC000003IKkv	reprice1	True	
S3	0Q0WC000003IKkv	reprice2	True	
S4	0Q0WC0000028bsk	reprice1	True	
S4	0Q0WC0000028bsk	reprice2	True	
S5	0Q0WC000003IKeT	reprice1	True	
S5	0Q0WC000003IKeT	reprice2	True	
S6	0Q0WC0000035dGj	reprice1	True	
S6	0Q0WC0000035dGj	reprice2	True	
S7	0Q0WC0000039bwH	reprice1	True	
S7	0Q0WC0000039bwH	reprice2	True	
S9	0Q0WC000003Fr77	reprice1	True	
S9	0Q0WC000003Fr77	reprice2	True	
S10	0Q0WC000003ICoz	reprice1	True	
S10	0Q0WC000003ICoz	reprice2	True	
S11b	0Q0WC000003FcrF	reprice1	True	
S11b	0Q0WC000003FcrF	reprice2	True	
S12	0Q0WC000002RK6g	reprice1	True	
S12	0Q0WC000002RK6g	reprice2	True	
S13	0Q0WC000003FapR	reprice1	True	
S13	0Q0WC000003FapR	reprice2	True	
S14	0Q0WC0000028HhT	reprice1	True	
S14	0Q0WC0000028HhT	reprice2	True	
