LineNumber	Product2.Name	Product2Id	Fortra_Product_Type__c	Quantity	UnitPrice	ListPrice	Base_Price__c	NetUnitPrice	NetTotalPrice	TotalPrice	Subtotal	TotalLineAmount	PricingTerm	PricingTermCount	PricingTermUnit	StartDate	EndDate	Pre_Partner_Price__c	PrehookRSNetUnitPrice__c	PartnerDiscountPercent	Partner_Discount_Percent__c	COLACalculatedPrice__c	COLA_Uplift_Percent__c	CancelNetUnitPrice__c
2504788	EFT 8 Continuum-NewMaintenance	01tWC00000DD1DwYAL	New Maintenance	1	0	0			0	0	0					2027-02-01	2028-01-31					0	7.85	
2504789	Advanced Authentication Modes-NewMaintenance	01tWC00000DD11XYAT	New Maintenance	1	0	0			0	0	0					2027-02-01	2028-01-31					0	7.85	
2504790	Audit & Reporting-NewMaintenance	01tWC00000DD13ZYAT	New Maintenance	1	0	0			0	0	0					2027-02-01	2028-01-31					0	7.85	
2504791	Advanced Workflow Engine-NewMaintenance	01tWC00000DD11pYAD	New Maintenance	1	0	0			0	0	0					2027-02-01	2028-01-31					0	7.85	
2504792	Cloud Connector Actions-NewMaintenance	01tWC00000DD17SYAT	New Maintenance	1	0	0			0	0	0					2027-02-01	2028-01-31					0	7.85	
2504793	Enterprise Actions-NewMaintenance	01tWC00000DD1HLYA1	New Maintenance	1	0	0			0	0	0					2027-02-01	2028-01-31					0	7.85	
2504794	Folder Monitor-NewMaintenance	01tWC00000DD13cYAD	New Maintenance	1	0	0			0	0	0					2027-02-01	2028-01-31					0	7.85	
2504795	Transfer Actions-NewMaintenance	01tWC00000DCxmEYAT	New Maintenance	1	0	0			0	0	0					2027-02-01	2028-01-31					0	7.85	
2504796	FTPS Server-NewMaintenance	01tWC00000DD1LbYAL	New Maintenance	1	0	0			0	0	0					2027-02-01	2028-01-31					0	7.85	
2504797	Multi-site Gateway-NewMaintenance	01tWC00000DD1RgYAL	New Maintenance	1	0	0			0	0	0					2027-02-01	2028-01-31					0	7.85	
2504798	HTTPS Server (includes Web client)-NewMaintenance	01tWC00000DD1PxYAL	New Maintenance	1	0	0			0	0	0					2027-02-01	2028-01-31					0	7.85	
2504799	PGP Actions-NewMaintenance	01tWC00000DD1UpYAL	New Maintenance	1	0	0			0	0	0					2027-02-01	2028-01-31					0	7.85	
2504800	Regulatory Compliance-NewMaintenance	01tWC00000DD1XHYA1	New Maintenance	1	0	0			0	0	0					2027-02-01	2028-01-31					0	7.85	
2504801	Secure Forms-NewMaintenance	01tWC00000DD1ebYAD	New Maintenance	1	0	0			0	0	0					2027-02-01	2028-01-31					0	7.85	
2504802	SFTP Server-NewMaintenance	01tWC00000DD1kYYAT	New Maintenance	1	0	0			0	0	0					2027-02-01	2028-01-31					0	7.85	
2504803	Scheduler-NewMaintenance	01tWC00000DD1dyYAD	New Maintenance	1	0	0			0	0	0					2027-02-01	2028-01-31					0	7.85	
2504804	Workspaces-NewMaintenance	01tWC00000DD1yAYAT	New Maintenance	1	0	0			0	0	0					2027-02-01	2028-01-31					0	7.85	
4092022	Globalscape Legacy SKU - Other	01tWC00000EBPrMYAX		1	16791.71	0		16791.71	16791.71	16791.71	16791.71	16791.71		0		2027-02-01	2028-01-31							
