LineNumber	Product2.Name	Product2Id	Fortra_Product_Type__c	Quantity	UnitPrice	ListPrice	Base_Price__c	NetUnitPrice	NetTotalPrice	TotalPrice	Subtotal	TotalLineAmount	PricingTerm	PricingTermCount	PricingTermUnit	StartDate	EndDate	Pre_Partner_Price__c	PrehookRSNetUnitPrice__c	PartnerDiscountPercent	Partner_Discount_Percent__c	COLACalculatedPrice__c	COLA_Uplift_Percent__c	CancelNetUnitPrice__c
4040228	GoAnywhere Starter Bundle	01tWC00000DD1OpYAL	Perpetual	1	35679	35679	35679	35679	35679	35679	35679	35679		0		2023-08-01	2024-08-31	35679						
4040229	GoAnywhere-NewMaintenance	01tWC00000DD1LlYAL	New Maintenance	1	2843.75	0				2843.75	2843.75					2023-08-01	2024-08-31							
4040230	GoAnywhere Services	01tWC00000DD10PYAT	Services	20	250	3750	250	250	5000	5000	5000	5000		0				250						
4040231	GoAnywhere Advanced Workflows and Reporting	01tWC00000DD1M8YAL	Perpetual	1	26450	26450	26450	26450	26450	26450	26450	26450		0		2023-08-01	2024-08-31	26450						
4040232	GoAnywhere SFTP Server	01tWC00000DD1OhYAL	Perpetual	1	0	4025		0	0	0	0	0		0		2023-08-01	2024-08-31							
4040233	GoAnywhere FTP Client & Server	01tWC00000DD1NCYA1	Perpetual	1	0	0		0	0	0	0	0		0		2023-08-01	2024-08-31							
4040234	GoAnywhere QuickStart Services	01tWC00000DD1OLYA1	Services	1	8500	2000	8500	8500	8500	8500	8500	8500		0				8500						
4040235	GoAnywhere Starter Bundle	01tWC00000DD1OpYAL	Perpetual	1	35679	35679	35679	35679	35679	35679	35679	35679		0		2023-08-01	2024-08-31	35679						
4040236	GoAnywhere FTPS Server	01tWC00000DD1NGYA1	Perpetual	1	0	4025		0	0	0	0	0		0		2023-08-01	2024-08-31							
4040237	GoAnywhere-NewMaintenance	01tWC00000DD1LlYAL	New Maintenance	1	1421.86	0				1421.86	1421.86					2023-08-01	2024-08-31							
4040238	GoAnywhere Secure Folders	01tWC00000DD1ONYA1	Perpetual	1	0	7475		0	0	0	0	0		0		2023-08-01	2024-08-31							
4040239	GoAnywhere Advanced Workflows and Reporting	01tWC00000DD1M8YAL	Perpetual	1	26450	26450	26450	26450	26450	26450	26450	26450		0		2023-08-01	2024-08-31	26450						
4040240	GoAnywhere Starter Bundle	01tWC00000DD1OpYAL	Perpetual	1	35679	35679	35679	35679	35679	35679	35679	35679		0		2023-08-01	2024-08-31	35679						
4040241	GoAnywhere SFTP Server	01tWC00000DD1OhYAL	Perpetual	1	0	4025		0	0	0	0	0		0		2023-08-01	2024-08-31							
4040242	GoAnywhere-NewMaintenance	01tWC00000DD1LlYAL	New Maintenance	1	2843.75	0				2843.75	2843.75					2023-08-01	2024-08-31							
4040243	GoAnywhere Advanced Workflows and Reporting	01tWC00000DD1M8YAL	Perpetual	1	26450	26450	26450	26450	26450	26450	26450	26450		0		2023-08-01	2024-08-31	26450						
4040244	GoAnywhere SFTP Server	01tWC00000DD1OhYAL	Perpetual	1	0	4025		0	0	0	0	0		0		2023-08-01	2024-08-31							
4040245	GoAnywhere FTP Client & Server	01tWC00000DD1NCYA1	Perpetual	1	0	0		0	0	0	0	0		0		2023-08-01	2024-08-31							
4040246	GoAnywhere FTP Client & Server	01tWC00000DD1NCYA1	Perpetual	1	0	0		0	0	0	0	0		0		2023-08-01	2024-08-31							
4040247	GoAnywhere FTPS Server	01tWC00000DD1NGYA1	Perpetual	1	0	4025		0	0	0	0	0		0		2023-08-01	2024-08-31							
4040248	GoAnywhere FTPS Server	01tWC00000DD1NGYA1	Perpetual	1	0	4025		0	0	0	0	0		0		2023-08-01	2024-08-31							
4040249	GoAnywhere Secure Folders	01tWC00000DD1ONYA1	Perpetual	1	0	7475		0	0	0	0	0		0		2023-08-01	2024-08-31							
4040250	GoAnywhere Secure Folders	01tWC00000DD1ONYA1	Perpetual	1	0	7475		0	0	0	0	0		0		2023-08-01	2024-08-31							
