67.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
07:53:00.0 (772306)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
07:53:00.0 (958215)|EXECUTION_STARTED
07:53:00.0 (979102)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
07:53:00.0 (1739139)|CODE_UNIT_FINISHED|Flow:Quote
07:53:00.0 (1769303)|EXECUTION_FINISHED
07:53:00.8 (8691927)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
07:53:00.8 (8709480)|EXECUTION_STARTED
07:53:00.8 (8717518)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
07:53:00.8 (8745850)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
07:53:00.8 (8804142)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
07:53:00.8 (8925818)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
07:53:00.8 (10135433)|HEAP_ALLOCATE|[95]|Bytes:3
07:53:00.8 (10222948)|HEAP_ALLOCATE|[100]|Bytes:152
07:53:00.8 (10238058)|HEAP_ALLOCATE|[417]|Bytes:408
07:53:00.8 (10248611)|HEAP_ALLOCATE|[430]|Bytes:408
07:53:00.8 (10282044)|HEAP_ALLOCATE|[317]|Bytes:6
07:53:00.8 (10301293)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
07:53:00.8 (10312135)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
07:53:00.8 (10433552)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x71c43eb3
07:53:00.8 (10461418)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
07:53:00.8 (10466738)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
07:53:00.8 (10473168)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x71c43eb3
07:53:00.8 (10483118)|STATEMENT_EXECUTE|[4]
07:53:00.8 (10501403)|HEAP_ALLOCATE|[68]|Bytes:5
07:53:00.8 (10563751)|HEAP_ALLOCATE|[74]|Bytes:5
07:53:00.8 (10569484)|HEAP_ALLOCATE|[82]|Bytes:7
07:53:00.8 (10602422)|STATEMENT_EXECUTE|[5]
07:53:00.8 (10603242)|STATEMENT_EXECUTE|[6]
07:53:00.8 (15474007)|VARIABLE_SCOPE_BEGIN|[9]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|String|false|true
07:53:00.8 (15491558)|VARIABLE_SCOPE_BEGIN|[8]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|String|false|true
07:53:00.8 (15532430)|HEAP_ALLOCATE|[6]|Bytes:5
07:53:00.8 (15539625)|HEAP_ALLOCATE|[6]|Bytes:5
07:53:00.8 (15585230)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|"Renew"
07:53:00.8 (15588558)|HEAP_ALLOCATE|[6]|Bytes:7
07:53:00.8 (15592910)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|"Renewal"
07:53:00.8 (15647652)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.QuoteRenewalTypeHandler()
07:53:00.8 (15654821)|STATEMENT_EXECUTE|[6]
07:53:00.8 (15661816)|STATEMENT_EXECUTE|[6]
07:53:00.8 (16808297)|SYSTEM_MODE_ENTER|false
07:53:00.8 (17002052)|HEAP_ALLOCATE|[6]|Bytes:5
07:53:00.8 (17014107)|SYSTEM_MODE_EXIT|false
07:53:00.8 (17039301)|METHOD_EXIT|[6]|QuoteRenewalTypeHandler
07:53:00.8 (17059379)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.applyRenewalQuoteType(List<Quote>)
07:53:00.8 (17084457)|VARIABLE_SCOPE_BEGIN|[11]|quotes|List<Quote>|true|false
