QuoteLineItemId,AttributeValue
0QLWC000002LeHR4A0,Basic
0QLWC000002LeHS4A0,Basic
0QLWC000002LfGi4AK,Basic
0QLWC000002LnkY4AS,Basic
0QLWC000002Lo2H4AS,Basic
0QLWC000002OeuP4AS,Basic
0QLWC000002OeuQ4AS,Basic
0QLWC000002PBDd4AO,Basic
0QLWC000002PGV34AO,Basic
0QLWC000002PGV44AO,Basic
0QLWC000002Phzz4AC,Standard
0QLWC000002Phzt4AC,Premium
0QLWC000002Phzu4AC,Premier
0QLWC000002Pi014AC,Premium
0QLWC000002Phzw4AC,Standard
0QLWC000002Phzy4AC,Standard
0QLWC000002QNz84AG,Basic
0QLWC000002QS4N4AW,Basic
0QLWC000002QS4O4AW,Basic
0QLWC000002QSZ04AO,Basic
0QLWC000002QSZ14AO,Basic
0QLWC000002QTGY4A4,Basic
0QLWC000002QTGZ4A4,Basic
0QLWC000002QYzO4AW,Basic
0QLWC000002QYzP4AW,Basic
0QLWC000002QWsl4AG,Basic
0QLWC000002QWsm4AG,Basic
0QLWC000002QYrK4AW,Standard
0QLWC000002QYrL4AW,Standard
0QLWC000002QaGP4A0,Basic
0QLWC000002QaGQ4A0,Basic
0QLWC000002QdKj4AK,Basic
0QLWC000002QdUP4A0,Basic
0QLWC000002QdUQ4A0,Basic
0QLWC000002Qdsb4AC,Basic
0QLWC000002Qdsc4AC,Basic
0QLWC000002QwvF4AS,Basic
0QLWC000002Qxo54AC,Basic
0QLWC000002QxrJ4AS,Basic
0QLWC000002QxrK4AS,Basic
0QLWC000002QxrL4AS,Basic
0QLWC000002Qxsv4AC,Basic
0QLWC000002Qxxl4AC,Basic
0QLWC000002Qxxm4AC,Basic
0QLWC000002QyDt4AK,Basic
0QLWC000002QyYs4AK,Basic
0QLWC000002QyYt4AK,Basic
0QLWC000002R0ag4AC,Basic
0QLWC000002R0ah4AC,Basic
0QLWC000002RJgY4AW,Basic
0QLWC000002RJgb4AG,Basic
0QLWC000002RQV84AO,Basic
0QLWC000002RREH4A4,Basic
0QLWC000002RU2T4AW,Basic
0QLWC000002RU2U4AW,Basic
0QLWC000002RY7i4AG,Basic
0QLWC000002RY7m4AG,Basic
0QLWC000002RY7n4AG,Basic
0QLWC000002RY7r4AG,Basic
