Id,Fortra_Product_Type__c,Source_List_Price__c,Base_Price__c,NetUnitPrice,Quantity
0QLWC000002Phzu4AC,Software,,,42,1
0QLWC000003DGyV4AW,Renewal Maintenance,,,,1
0QLWC000003DGyW4AW,Renewal Maintenance,,,,1
0QLWC000003DGyX4AW,Renewal Maintenance,,,,1
0QLWC000003DGyY4AW,Renewal Maintenance,,,,1
0QLWC000003DGyd4AG,Renewal Maintenance,,,,1
0QLWC000003DGye4AG,Renewal Maintenance,,,,1
0QLWC000003DGyf4AG,Renewal Maintenance,,,,1
0QLWC000003DGyg4AG,Renewal Maintenance,,,,1
0QLWC000003DGyh4AG,Renewal Maintenance,,,,1
0QLWC000003DGyi4AG,Renewal Maintenance,,,,1
0QLWC000003DGyn4AG,Renewal Maintenance,,,,1
0QLWC000003DGyo4AG,Renewal Maintenance,,,,1
0QLWC000003DGyp4AG,Renewal Maintenance,,,,1
0QLWC000003DGyq4AG,Renewal Maintenance,,,,1
0QLWC000003DH1A4AW,New Maintenance,,,,1
0QLWC000003DH1B4AW,New Maintenance,,,,1
0QLWC000003DH1E4AW,New Maintenance,,,,1
0QLWC000003DH1F4AW,New Maintenance,,,,1
0QLWC000003DH1I4AW,New Maintenance,,,,1
0QLWC000003DH424AG,Renewal Maintenance,,,,1
0QLWC000003DH434AG,Renewal Maintenance,,,,1
0QLWC000003DH444AG,Renewal Maintenance,,,,1
0QLWC000003DH454AG,Renewal Maintenance,,,,1
0QLWC000003DH464AG,Renewal Maintenance,,,,1
0QLWC000003DH474AG,Renewal Maintenance,,,,1
0QLWC000003DH484AG,Renewal Maintenance,,,,1
0QLWC000003DH494AG,Renewal Maintenance,,,,1
0QLWC000003DH4A4AW,Renewal Maintenance,,,,1
0QLWC000003DH4B4AW,Renewal Maintenance,,,,1
0QLWC000003DH4C4AW,Renewal Maintenance,,,,1
0QLWC000003DH4D4AW,Renewal Maintenance,,,,1
0QLWC000003DH4E4AW,Renewal Maintenance,,,,1
0QLWC000003DH4V4AW,Renewal Maintenance,,,,1
0QLWC000003DH4W4AW,Renewal Maintenance,,,,1
0QLWC000003DHDQ4A4,New Maintenance,,,,1
0QLWC000003DHDT4A4,New Maintenance,,,,1
0QLWC000003DHDU4A4,New Maintenance,,,,1
0QLWC000003DHDX4A4,New Maintenance,,,,1
0QLWC000003DHDZ4A4,New Maintenance,,,,1
0QLWC000003DHDb4AO,New Maintenance,,,,1
0QLWC000003DHDd4AO,New Maintenance,,,,1
0QLWC000003DHDf4AO,New Maintenance,,,,1
0QLWC000003DHDh4AO,New Maintenance,,,,1
0QLWC000003DHDj4AO,New Maintenance,,,,1
0QLWC000003DHDl4AO,New Maintenance,,,,1
0QLWC000003DHDo4AO,New Maintenance,,,,1
0QLWC000003DHDq4AO,New Maintenance,,,,1
0QLWC000003DHDt4AO,New Maintenance,,,,1
0QLWC000003DHDw4AO,New Maintenance,,,,1
0QLWC000003DHDy4AO,New Maintenance,,,,1
0QLWC000003DHE04AO,New Maintenance,,,,1
0QLWC000003DHE24AO,New Maintenance,,,,1
0QLWC000003DHE44AO,New Maintenance,,,,1
0QLWC000003DHE64AO,New Maintenance,,,,1
0QLWC000003DHcS4AW,New Maintenance,,,,1
0QLWC000003DHcY4AW,New Maintenance,,,,1
0QLWC000003DHcZ4AW,New Maintenance,,,,1
0QLWC000003DHca4AG,New Maintenance,,,,1
0QLWC000003DHcb4AG,New Maintenance,,,,1
0QLWC000003DHcc4AG,New Maintenance,,,,1
0QLWC000003DHce4AG,New Maintenance,,,,1
0QLWC000003DHck4AG,New Maintenance,,,,1
0QLWC000003DHcl4AG,New Maintenance,,,,1
0QLWC000003DHcm4AG,New Maintenance,,,,1
0QLWC000003DHcn4AG,New Maintenance,,,,1
0QLWC000003DHco4AG,New Maintenance,,,,1
0QLWC000003DHcq4AG,New Maintenance,,,,1
0QLWC000003DHcx4AG,New Maintenance,,,,1
0QLWC000003DHcz4AG,New Maintenance,,,,1
0QLWC000003DHd14AG,New Maintenance,,,,1
0QLWC000003DHd34AG,New Maintenance,,,,1
0QLWC000003DHd44AG,New Maintenance,,,,1
0QLWC000003DHea4AG,Renewal Maintenance,,,,1
0QLWC000003DHeb4AG,Renewal Maintenance,,,,1
0QLWC000003DHec4AG,Renewal Maintenance,,,,1
0QLWC000003DHed4AG,Renewal Maintenance,,,,1
0QLWC000003DHee4AG,Renewal Maintenance,,,,1
0QLWC000003DHef4AG,Renewal Maintenance,,,,1
0QLWC000003DHeg4AG,Renewal Maintenance,,,,1
0QLWC000003DHeh4AG,Renewal Maintenance,,,,1
0QLWC000003DU8L4AW,Renewal Maintenance,,,,1
0QLWC000003DU8M4AW,Renewal Maintenance,,,,1
0QLWC000003DU8N4AW,Renewal Maintenance,,,,1
0QLWC000003DU8O4AW,Renewal Maintenance,,,,1
0QLWC000003DU8P4AW,Renewal Maintenance,,,,1
0QLWC000003DU8Q4AW,Renewal Maintenance,,,,1
0QLWC000003DU9q4AG,New Maintenance,,,,2
0QLWC000003DU9r4AG,New Maintenance,,,,2
0QLWC000003DU9s4AG,New Maintenance,,,,5
0QLWC000003DU9t4AG,New Maintenance,,,,5
0QLWC000003DUA24AO,New Maintenance,,,,2
0QLWC000003DUA34AO,New Maintenance,,,,5
0QLWC000003DUA64AO,New Maintenance,,,,2
0QLWC000003DUA74AO,New Maintenance,,,,1
0QLWC000003DUA84AO,New Maintenance,,,,1
0QLWC000003DUA94AO,New Maintenance,,,,1
