67.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
07:40:37.5 (5413023)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
07:40:37.5 (5498581)|EXECUTION_STARTED
07:40:37.5 (5513914)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
07:40:37.5 (6289461)|CODE_UNIT_FINISHED|Flow:Quote
07:40:37.5 (6310700)|EXECUTION_FINISHED
07:40:37.51 (51030474)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
07:40:37.51 (51051202)|EXECUTION_STARTED
07:40:37.51 (51059923)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
07:40:37.51 (51086796)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
07:40:37.51 (51177168)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
07:40:37.51 (51333369)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
07:40:37.51 (52084988)|HEAP_ALLOCATE|[95]|Bytes:3
07:40:37.51 (52157025)|HEAP_ALLOCATE|[100]|Bytes:152
07:40:37.51 (52170821)|HEAP_ALLOCATE|[417]|Bytes:408
07:40:37.51 (52181998)|HEAP_ALLOCATE|[430]|Bytes:408
07:40:37.51 (52206712)|HEAP_ALLOCATE|[317]|Bytes:6
07:40:37.51 (52220547)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
07:40:37.51 (52284483)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
07:40:37.51 (52420543)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x73876242
