67.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
07:38:12.1 (1062046)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
07:38:12.1 (1162995)|EXECUTION_STARTED
07:38:12.1 (1209885)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
07:38:12.1 (2007022)|CODE_UNIT_FINISHED|Flow:Quote
07:38:12.1 (2043358)|EXECUTION_FINISHED
07:38:12.8 (8173684)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
07:38:12.8 (8228156)|EXECUTION_STARTED
07:38:12.8 (8251963)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
07:38:12.8 (8334515)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
07:38:12.8 (8400707)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
07:38:12.8 (8526758)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
07:38:12.8 (10036673)|HEAP_ALLOCATE|[95]|Bytes:3
07:38:12.8 (10101879)|HEAP_ALLOCATE|[100]|Bytes:152
07:38:12.8 (10119647)|HEAP_ALLOCATE|[417]|Bytes:408
07:38:12.8 (10143674)|HEAP_ALLOCATE|[430]|Bytes:408
07:38:12.8 (10177339)|HEAP_ALLOCATE|[317]|Bytes:6
07:38:12.8 (10206935)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
07:38:12.8 (10235383)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
07:38:12.8 (10513252)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x3816545a
07:38:12.8 (10570297)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
07:38:12.8 (10585385)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
07:38:12.8 (10609065)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x3816545a
07:38:12.8 (10628539)|STATEMENT_EXECUTE|[4]
07:38:12.8 (10651632)|HEAP_ALLOCATE|[68]|Bytes:5
07:38:12.8 (10682986)|HEAP_ALLOCATE|[74]|Bytes:5
07:38:12.8 (10698077)|HEAP_ALLOCATE|[82]|Bytes:7
07:38:12.8 (10739138)|STATEMENT_EXECUTE|[5]
07:38:12.8 (10742374)|STATEMENT_EXECUTE|[6]
07:38:12.8 (15670396)|VARIABLE_SCOPE_BEGIN|[9]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|String|false|true
07:38:12.8 (15715976)|VARIABLE_SCOPE_BEGIN|[8]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|String|false|true
07:38:12.8 (15801886)|HEAP_ALLOCATE|[6]|Bytes:5
07:38:12.8 (15829912)|HEAP_ALLOCATE|[6]|Bytes:5
07:38:12.8 (15889635)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|"Renew"
07:38:12.8 (15899435)|HEAP_ALLOCATE|[6]|Bytes:7
