67.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
11:37:52.0 (254841)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
11:37:52.0 (332158)|EXECUTION_STARTED
11:37:52.0 (339887)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
11:37:52.0 (1063555)|CODE_UNIT_FINISHED|Flow:Quote
11:37:52.0 (1081519)|EXECUTION_FINISHED
11:37:52.2 (2232198)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
11:37:52.2 (2245977)|EXECUTION_STARTED
11:37:52.2 (2251396)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
11:37:52.2 (2277919)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
11:37:52.2 (2342054)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:37:52.2 (2446832)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:37:52.2 (3936818)|HEAP_ALLOCATE|[95]|Bytes:3
11:37:52.2 (3980620)|HEAP_ALLOCATE|[100]|Bytes:152
11:37:52.2 (3994675)|HEAP_ALLOCATE|[417]|Bytes:408
11:37:52.2 (4005312)|HEAP_ALLOCATE|[430]|Bytes:408
11:37:52.2 (4024824)|HEAP_ALLOCATE|[317]|Bytes:6
11:37:52.2 (4041017)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:37:52.2 (4048874)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
11:37:52.2 (4107886)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x270b383d
11:37:52.2 (4129681)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:37:52.2 (4133801)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
11:37:52.2 (4167122)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x270b383d
11:37:52.2 (4173420)|STATEMENT_EXECUTE|[4]
11:37:52.2 (4192081)|HEAP_ALLOCATE|[68]|Bytes:5
11:37:52.2 (4241420)|HEAP_ALLOCATE|[74]|Bytes:5
11:37:52.2 (4246621)|HEAP_ALLOCATE|[82]|Bytes:7
11:37:52.2 (4278377)|STATEMENT_EXECUTE|[5]
11:37:52.2 (4279253)|STATEMENT_EXECUTE|[6]
11:37:52.2 (4491562)|VARIABLE_SCOPE_BEGIN|[9]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|String|false|true
11:37:52.2 (4496848)|VARIABLE_SCOPE_BEGIN|[8]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|String|false|true
11:37:52.2 (4513160)|HEAP_ALLOCATE|[6]|Bytes:5
11:37:52.2 (4516238)|HEAP_ALLOCATE|[6]|Bytes:5
11:37:52.2 (4548640)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|"Renew"
11:37:52.2 (4551519)|HEAP_ALLOCATE|[6]|Bytes:7
11:37:52.2 (4555488)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|"Renewal"
11:37:52.2 (4567522)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.QuoteRenewalTypeHandler()
11:37:52.2 (4572548)|STATEMENT_EXECUTE|[6]
11:37:52.2 (4577914)|STATEMENT_EXECUTE|[6]
11:37:52.2 (5535041)|SYSTEM_MODE_ENTER|false
11:37:52.2 (5710102)|HEAP_ALLOCATE|[6]|Bytes:5
11:37:52.2 (5720804)|SYSTEM_MODE_EXIT|false
11:37:52.2 (5736200)|METHOD_EXIT|[6]|QuoteRenewalTypeHandler
11:37:52.2 (5752578)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.applyRenewalQuoteType(List<Quote>)
11:37:52.2 (5774713)|VARIABLE_SCOPE_BEGIN|[11]|quotes|List<Quote>|true|false
