67.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,NONE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,NONE;WORKFLOW,INFO
22:10:03.1 (1100463)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
22:10:03.1 (1214154)|EXECUTION_STARTED
22:10:03.1 (1240425)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
22:10:03.1 (2159465)|CODE_UNIT_FINISHED|Flow:Quote
22:10:03.1 (2188713)|EXECUTION_FINISHED
22:10:03.8 (8939246)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
22:10:03.8 (8965722)|EXECUTION_STARTED
22:10:03.8 (8976820)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
22:10:03.8 (9010110)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
22:10:03.8 (9072841)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:10:03.8 (9246030)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:10:03.8 (10701680)|HEAP_ALLOCATE|[95]|Bytes:3
22:10:03.8 (10765436)|HEAP_ALLOCATE|[100]|Bytes:152
22:10:03.8 (10781415)|HEAP_ALLOCATE|[417]|Bytes:408
22:10:03.8 (10792271)|HEAP_ALLOCATE|[430]|Bytes:408
22:10:03.8 (10811903)|HEAP_ALLOCATE|[317]|Bytes:6
22:10:03.8 (10828790)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:10:03.8 (10845808)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
22:10:03.8 (11036906)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x778abe69
22:10:03.8 (11067488)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:10:03.8 (11073540)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
22:10:03.8 (11080312)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x778abe69
22:10:03.8 (11088473)|STATEMENT_EXECUTE|[4]
22:10:03.8 (11107976)|HEAP_ALLOCATE|[68]|Bytes:5
22:10:03.8 (11134618)|HEAP_ALLOCATE|[74]|Bytes:5
22:10:03.8 (11139981)|HEAP_ALLOCATE|[82]|Bytes:7
22:10:03.8 (11171037)|STATEMENT_EXECUTE|[5]
22:10:03.8 (11171869)|STATEMENT_EXECUTE|[6]
22:10:03.8 (16737374)|VARIABLE_SCOPE_BEGIN|[9]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|String|false|true
22:10:03.8 (16757933)|VARIABLE_SCOPE_BEGIN|[8]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|String|false|true
22:10:03.8 (16822079)|HEAP_ALLOCATE|[6]|Bytes:5
22:10:03.8 (16830255)|HEAP_ALLOCATE|[6]|Bytes:5
22:10:03.8 (16868431)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|"Renew"
22:10:03.8 (16871024)|HEAP_ALLOCATE|[6]|Bytes:7
22:10:03.8 (16874428)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|"Renewal"
22:10:03.8 (16908701)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.QuoteRenewalTypeHandler()
22:10:03.8 (16917252)|STATEMENT_EXECUTE|[6]
22:10:03.8 (16924913)|STATEMENT_EXECUTE|[6]
22:10:03.8 (18051724)|SYSTEM_MODE_ENTER|false
22:10:03.8 (18270523)|HEAP_ALLOCATE|[6]|Bytes:5
22:10:03.8 (18286016)|SYSTEM_MODE_EXIT|false
22:10:03.8 (18312366)|METHOD_EXIT|[6]|QuoteRenewalTypeHandler
22:10:03.8 (18338574)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.applyRenewalQuoteType(List<Quote>)
22:10:03.8 (18367629)|VARIABLE_SCOPE_BEGIN|[11]|quotes|List<Quote>|true|false
