AttributeValue,QuoteLineItem.Fortra_Product_Type__c
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Software
Basic,Perpetual
Basic,Perpetual
Basic,Subscription
Basic,Subscription
Basic,Subscription
Standard,Software
Premium,Software
Premier,Software
Premium,Software
Standard,Software
Standard,Software
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Subscription
Standard,Software
Standard,Software
Basic,Perpetual
Basic,Perpetual
Basic,New Maintenance
Basic,Subscription
Basic,Subscription
Basic,Perpetual
Basic,Perpetual
Basic,Subscription
Basic,New Maintenance
Basic,Perpetual
Basic,Perpetual
Basic,Perpetual
Basic,Renewal Maintenance
Basic,Perpetual
Basic,Perpetual
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Professional Service
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Perpetual
Basic,Subscription
Basic,Perpetual
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Perpetual
Basic,Subscription
Basic,Perpetual
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Perpetual
Basic,Subscription
Basic,Subscription
Basic,Perpetual
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Perpetual
Basic,Subscription
Basic,Subscription
Basic,Perpetual
Basic,Subscription
Basic,Perpetual
Basic,Perpetual
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Perpetual
Basic,Subscription
Basic,Subscription
Basic,Perpetual
Basic,Subscription
Basic,Subscription
Basic,Perpetual
Basic,Perpetual
Basic,Subscription
Basic,Subscription
Basic,Perpetual
Basic,Subscription
Basic,Subscription
Basic,Perpetual
Basic,Subscription
Basic,Subscription
Basic,Perpetual
Basic,Perpetual
Basic,Subscription
Standard,Subscription
Basic,Perpetual
Basic,Perpetual
Basic,Subscription
Basic,Perpetual
Basic,Perpetual
Basic,Perpetual
Basic,Perpetual
Basic,Perpetual
Basic,Perpetual
Basic,Subscription
Basic,Subscription
Basic,Perpetual
Basic,Subscription
Basic,Subscription
Basic,Perpetual
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Perpetual
Basic,Subscription
Basic,Subscription
Basic,Perpetual
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Perpetual
Basic,Subscription
Basic,Perpetual
Basic,Perpetual
Basic,Perpetual
Basic,Subscription
Expert,
Expert,
Expert,
Expert,
Expert,
Expert,
Basic,Perpetual
Basic,Perpetual
Basic,Perpetual
Basic,Perpetual
Basic,Perpetual
Basic,Subscription
Basic,Subscription
Basic,Perpetual
Basic,Subscription
Basic,Subscription
Basic,Perpetual
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Perpetual
Basic,Subscription
Basic,Subscription
Basic,Perpetual
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Perpetual
Basic,Subscription
Basic,Subscription
Basic,Perpetual
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,Subscription
Basic,
Basic,Subscription
Basic,
Expert,
Basic,
Standard,Subscription
Standard,
Standard,New Maintenance
Standard,
Standard,Perpetual
Professional,Renewal Maintenance
Professional,Renewal Maintenance
Professional,Renewal Maintenance
Professional,Renewal Maintenance
Professional,Renewal Maintenance
Professional,Renewal Maintenance
Professional,Renewal Maintenance
Professional,Renewal Maintenance
Professional,Renewal Maintenance
Professional,Renewal Maintenance
Professional,Renewal Maintenance
Professional,Renewal Maintenance
Professional,Renewal Maintenance
Professional,Renewal Maintenance
Professional,Renewal Maintenance
Professional,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,New Maintenance
Premier,Renewal Maintenance
Premier,New Maintenance
Premier,Renewal Maintenance
Premier,New Maintenance
Premier,New Maintenance
Premier,New Maintenance
Premier,New Maintenance
Premier,New Maintenance
Premier,New Maintenance
Premier,New Maintenance
Premier,New Maintenance
Premier,New Maintenance
Premier,New Maintenance
Premier,New Maintenance
Premier,New Maintenance
Premier,New Maintenance
Premier,New Maintenance
Premier,New Maintenance
Premier,New Maintenance
Premier,New Maintenance
Premier,New Maintenance
Premier,New Maintenance
Premier,New Maintenance
Premier,New Maintenance
Premier,New Maintenance
Premier,New Maintenance
Premier,New Maintenance
Premier,New Maintenance
Premier,New Maintenance
Premier,New Maintenance
Premier,New Maintenance
Premier,New Maintenance
Premier,New Maintenance
Premier,New Maintenance
Premier,New Maintenance
Premier,Renewal Maintenance
Premier,New Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,New Maintenance
Premier,Renewal Maintenance
Professional,New Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Standard,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Standard,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Standard,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Standard,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Standard,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Standard,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Standard,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Standard,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Standard,Renewal Maintenance
Premier,Renewal Maintenance
Standard,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Standard,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Standard,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Standard,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Standard,Renewal Maintenance
Premier,Renewal Maintenance
Standard,Renewal Maintenance
Premier,Renewal Maintenance
Standard,Renewal Maintenance
Premier,Renewal Maintenance
Standard,Renewal Maintenance
Premier,Renewal Maintenance
Standard,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Standard,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Professional,Renewal Maintenance
Premier,Renewal Maintenance
Premier,Renewal Maintenance
Professional,Renewal Maintenance
Professional,Renewal Maintenance
Professional,Renewal Maintenance
Professional,Renewal Maintenance
Professional,Renewal Maintenance
Professional,Renewal Maintenance
Professional,Renewal Maintenance
Professional,Renewal Maintenance
Professional,Renewal Maintenance
Professional,Renewal Maintenance
Professional,Renewal Maintenance
Professional,Renewal Maintenance
Professional,Renewal Maintenance
Premier,New Maintenance
Professional,Renewal Maintenance
Professional,Renewal Maintenance
Premier,New Maintenance
Professional,Renewal Maintenance
Professional,Renewal Maintenance
Professional,Renewal Maintenance
Premier,New Maintenance
Premier,New Maintenance
Professional,Renewal Maintenance
