67.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,NONE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,NONE;WORKFLOW,INFO
21:51:13.1 (1037212)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
21:51:13.1 (1159771)|EXECUTION_STARTED
21:51:13.1 (1180613)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
21:51:13.1 (1991943)|CODE_UNIT_FINISHED|Flow:Quote
21:51:13.1 (2021612)|EXECUTION_FINISHED
21:51:13.9 (9774055)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
21:51:13.9 (9790781)|EXECUTION_STARTED
21:51:13.9 (9799431)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
21:51:13.9 (9827551)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
21:51:13.9 (9879824)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
21:51:13.9 (9998045)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
21:51:13.9 (11500324)|HEAP_ALLOCATE|[95]|Bytes:3
21:51:13.9 (11547161)|HEAP_ALLOCATE|[100]|Bytes:152
21:51:13.9 (11561761)|HEAP_ALLOCATE|[417]|Bytes:408
21:51:13.9 (11572349)|HEAP_ALLOCATE|[430]|Bytes:408
21:51:13.9 (11592115)|HEAP_ALLOCATE|[317]|Bytes:6
21:51:13.9 (11612879)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
21:51:13.9 (11633070)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
21:51:13.9 (11734174)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x23c34b8d
21:51:13.9 (11773960)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
21:51:13.9 (11778503)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
21:51:13.9 (11791137)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x23c34b8d
21:51:13.9 (11799538)|STATEMENT_EXECUTE|[4]
21:51:13.9 (11817545)|HEAP_ALLOCATE|[68]|Bytes:5
21:51:13.9 (11847126)|HEAP_ALLOCATE|[74]|Bytes:5
21:51:13.9 (11852914)|HEAP_ALLOCATE|[82]|Bytes:7
21:51:13.9 (11884991)|STATEMENT_EXECUTE|[5]
21:51:13.9 (11885914)|STATEMENT_EXECUTE|[6]
21:51:13.9 (17755354)|VARIABLE_SCOPE_BEGIN|[9]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|String|false|true
21:51:13.9 (17774377)|VARIABLE_SCOPE_BEGIN|[8]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|String|false|true
21:51:13.9 (17823597)|HEAP_ALLOCATE|[6]|Bytes:5
21:51:13.9 (17830420)|HEAP_ALLOCATE|[6]|Bytes:5
21:51:13.9 (17861778)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|"Renew"
21:51:13.9 (17864093)|HEAP_ALLOCATE|[6]|Bytes:7
21:51:13.9 (17867403)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|"Renewal"
21:51:13.9 (17899993)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.QuoteRenewalTypeHandler()
21:51:13.9 (17906374)|STATEMENT_EXECUTE|[6]
21:51:13.9 (17911249)|STATEMENT_EXECUTE|[6]
21:51:13.9 (18873738)|SYSTEM_MODE_ENTER|false
21:51:13.9 (19251588)|HEAP_ALLOCATE|[6]|Bytes:5
21:51:13.9 (19266241)|SYSTEM_MODE_EXIT|false
21:51:13.9 (19288616)|METHOD_EXIT|[6]|QuoteRenewalTypeHandler
21:51:13.9 (19328438)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.applyRenewalQuoteType(List<Quote>)
21:51:13.9 (19364957)|VARIABLE_SCOPE_BEGIN|[11]|quotes|List<Quote>|true|false
