67.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,NONE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,NONE;WORKFLOW,INFO
21:51:02.1 (1197542)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
21:51:02.1 (1388332)|EXECUTION_STARTED
21:51:02.1 (1429082)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
21:51:02.1 (2312524)|CODE_UNIT_FINISHED|Flow:Quote
21:51:02.1 (2362150)|EXECUTION_FINISHED
21:51:02.10 (10346195)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
21:51:02.10 (10426073)|EXECUTION_STARTED
21:51:02.10 (10449848)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
21:51:02.10 (10507250)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
21:51:02.10 (10574380)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
21:51:02.10 (10745870)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
21:51:02.10 (12396034)|HEAP_ALLOCATE|[95]|Bytes:3
21:51:02.10 (12478169)|HEAP_ALLOCATE|[100]|Bytes:152
21:51:02.10 (12493940)|HEAP_ALLOCATE|[417]|Bytes:408
21:51:02.10 (12505556)|HEAP_ALLOCATE|[430]|Bytes:408
21:51:02.10 (12526348)|HEAP_ALLOCATE|[317]|Bytes:6
21:51:02.10 (12550537)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
21:51:02.10 (12602423)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
21:51:02.10 (12808901)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x420c4199
21:51:02.10 (12862940)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
21:51:02.10 (12874686)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
21:51:02.10 (12893596)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x420c4199
21:51:02.10 (12902612)|STATEMENT_EXECUTE|[4]
21:51:02.10 (12924584)|HEAP_ALLOCATE|[68]|Bytes:5
21:51:02.10 (12976080)|HEAP_ALLOCATE|[74]|Bytes:5
21:51:02.10 (12984235)|HEAP_ALLOCATE|[82]|Bytes:7
21:51:02.10 (13022183)|STATEMENT_EXECUTE|[5]
21:51:02.10 (13024134)|STATEMENT_EXECUTE|[6]
21:51:02.10 (18446269)|VARIABLE_SCOPE_BEGIN|[9]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|String|false|true
21:51:02.10 (18468482)|VARIABLE_SCOPE_BEGIN|[8]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|String|false|true
21:51:02.10 (18530631)|HEAP_ALLOCATE|[6]|Bytes:5
21:51:02.10 (18546562)|HEAP_ALLOCATE|[6]|Bytes:5
21:51:02.10 (18592966)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|"Renew"
21:51:02.10 (18596409)|HEAP_ALLOCATE|[6]|Bytes:7
