67.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,NONE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,NONE;WORKFLOW,INFO
21:52:37.1 (1141072)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
21:52:37.1 (1224866)|EXECUTION_STARTED
21:52:37.1 (1250104)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
21:52:37.1 (1851749)|CODE_UNIT_FINISHED|Flow:Quote
21:52:37.1 (1877146)|EXECUTION_FINISHED
21:52:37.9 (9252915)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
21:52:37.9 (9271115)|EXECUTION_STARTED
21:52:37.9 (9284068)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
21:52:37.9 (9340057)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
21:52:37.9 (9381052)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
21:52:37.9 (9503437)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
21:52:37.9 (11049430)|HEAP_ALLOCATE|[95]|Bytes:3
21:52:37.9 (11086447)|HEAP_ALLOCATE|[100]|Bytes:152
21:52:37.9 (11099378)|HEAP_ALLOCATE|[417]|Bytes:408
21:52:37.9 (11109948)|HEAP_ALLOCATE|[430]|Bytes:408
21:52:37.9 (11127615)|HEAP_ALLOCATE|[317]|Bytes:6
21:52:37.9 (11143656)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
21:52:37.9 (11161556)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
21:52:37.9 (11264313)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x3e93e09a
21:52:37.9 (11301730)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
21:52:37.9 (11305982)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
21:52:37.9 (11313380)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x3e93e09a
21:52:37.9 (11320150)|STATEMENT_EXECUTE|[4]
21:52:37.9 (11334188)|HEAP_ALLOCATE|[68]|Bytes:5
21:52:37.9 (11351839)|HEAP_ALLOCATE|[74]|Bytes:5
21:52:37.9 (11357060)|HEAP_ALLOCATE|[82]|Bytes:7
21:52:37.9 (11381561)|STATEMENT_EXECUTE|[5]
21:52:37.9 (11382600)|STATEMENT_EXECUTE|[6]
21:52:37.9 (19091213)|VARIABLE_SCOPE_BEGIN|[9]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|String|false|true
21:52:37.9 (19109527)|VARIABLE_SCOPE_BEGIN|[8]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|String|false|true
21:52:37.9 (19156406)|HEAP_ALLOCATE|[6]|Bytes:5
21:52:37.9 (19164889)|HEAP_ALLOCATE|[6]|Bytes:5
21:52:37.9 (19217356)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|"Renew"
21:52:37.9 (19222225)|HEAP_ALLOCATE|[6]|Bytes:7
21:52:37.9 (19229354)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|"Renewal"
21:52:37.9 (19264043)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.QuoteRenewalTypeHandler()
21:52:37.9 (19273906)|STATEMENT_EXECUTE|[6]
21:52:37.9 (19281718)|STATEMENT_EXECUTE|[6]
21:52:37.9 (20290377)|SYSTEM_MODE_ENTER|false
21:52:37.9 (20483124)|HEAP_ALLOCATE|[6]|Bytes:5
21:52:37.9 (20494308)|SYSTEM_MODE_EXIT|false
21:52:37.9 (20515014)|METHOD_EXIT|[6]|QuoteRenewalTypeHandler
21:52:37.9 (20551465)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.applyRenewalQuoteType(List<Quote>)
21:52:37.9 (20591185)|VARIABLE_SCOPE_BEGIN|[11]|quotes|List<Quote>|true|false
