62.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
19:59:57.0 (797320)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
19:59:57.0 (871325)|EXECUTION_STARTED
19:59:57.0 (903230)|CODE_UNIT_STARTED|[EXTERNAL]|01pWC000002WMkD|RenewalQuoteLineCleanupQueueable
19:59:57.0 (1127885)|HEAP_ALLOCATE|[95]|Bytes:3
19:59:57.0 (1206135)|HEAP_ALLOCATE|[100]|Bytes:152
19:59:57.0 (1220470)|HEAP_ALLOCATE|[417]|Bytes:408
19:59:57.0 (1232173)|HEAP_ALLOCATE|[430]|Bytes:408
19:59:57.0 (1251774)|HEAP_ALLOCATE|[317]|Bytes:6
19:59:57.0 (1291062)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
19:59:57.0 (1311957)|SYSTEM_METHOD_ENTRY|[14]|QueueableContextImpl.QueueableContextImpl()
19:59:57.0 (1316614)|STATEMENT_EXECUTE|[14]
19:59:57.0 (1420334)|SYSTEM_METHOD_EXIT|[14]|QueueableContextImpl
19:59:57.0 (1427013)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
19:59:57.0 (1429410)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
19:59:57.0 (1433694)|VARIABLE_SCOPE_BEGIN|[21]|this|System.QueueableContextImpl|true|false
19:59:57.0 (1544257)|VARIABLE_ASSIGNMENT|[21]|this|{}|0x69cca88f
19:59:57.0 (1547677)|VARIABLE_SCOPE_BEGIN|[21]|jobId|Id|false|false
19:59:57.0 (1656821)|VARIABLE_ASSIGNMENT|[21]|jobId|"707WC00002z5nHRYAY"
19:59:57.0 (4094169)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
19:59:57.0 (4126325)|METHOD_ENTRY|[5]|01pWC000002WMkD|RenewalQuoteLineCleanupQueueable.RenewalQuoteLineCleanupQueueable()
19:59:57.0 (4131373)|STATEMENT_EXECUTE|[5]
19:59:57.0 (4144326)|STATEMENT_EXECUTE|[5]
19:59:57.0 (4163874)|HEAP_ALLOCATE|[68]|Bytes:5
19:59:57.0 (4195109)|HEAP_ALLOCATE|[74]|Bytes:5
19:59:57.0 (4201807)|HEAP_ALLOCATE|[82]|Bytes:7
19:59:57.0 (5108408)|SYSTEM_MODE_ENTER|false
19:59:57.0 (5477804)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
19:59:57.0 (5494709)|SYSTEM_MODE_EXIT|false
19:59:57.0 (5514834)|METHOD_EXIT|[5]|RenewalQuoteLineCleanupQueueable
19:59:57.0 (5524739)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
19:59:57.0 (5527606)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
19:59:57.0 (5535110)|VARIABLE_SCOPE_BEGIN|[13]|this|RenewalQuoteLineCleanupQueueable|true|false
19:59:57.0 (5675739)|VARIABLE_ASSIGNMENT|[13]|this|{"quoteIds":"0x7947c19f"}|0x56d1325f
19:59:57.0 (5682704)|VARIABLE_SCOPE_BEGIN|[13]|context|System.QueueableContext|true|false
19:59:57.0 (5784722)|VARIABLE_ASSIGNMENT|[13]|context|{"jobId":"707WC00002z5nHRYAY"}|0x69cca88f
19:59:57.0 (5799377)|SYSTEM_MODE_ENTER|false
19:59:57.0 (5804721)|HEAP_ALLOCATE|[14]|Bytes:5
19:59:57.0 (5808107)|STATEMENT_EXECUTE|[13]
19:59:57.0 (5808972)|STATEMENT_EXECUTE|[14]
19:59:57.0 (8097603)|VARIABLE_SCOPE_BEGIN|[21]|RenewalQuoteLineHandler.CARRYOVER_PRODUCT_TYPES|Set<String>|true|true
19:59:57.0 (8111242)|VARIABLE_SCOPE_BEGIN|[16]|RenewalQuoteLineHandler.PRODUCT_TYPE_NEW_MAINTENANCE|String|false|true
19:59:57.0 (8115210)|VARIABLE_SCOPE_BEGIN|[18]|RenewalQuoteLineHandler.PRODUCT_TYPE_PERPETUAL|String|false|true
19:59:57.0 (8118390)|VARIABLE_SCOPE_BEGIN|[17]|RenewalQuoteLineHandler.PRODUCT_TYPE_RENEWAL_MAINTENANCE|String|false|true
19:59:57.0 (8132027)|HEAP_ALLOCATE|[14]|Bytes:31
19:59:57.0 (8138108)|HEAP_ALLOCATE|[14]|Bytes:15
19:59:57.0 (8149521)|VARIABLE_ASSIGNMENT|[14]|RenewalQuoteLineHandler.PRODUCT_TYPE_NEW_MAINTENANCE|"New Maintenance"
19:59:57.0 (8152004)|HEAP_ALLOCATE|[14]|Bytes:9
19:59:57.0 (8161405)|VARIABLE_ASSIGNMENT|[14]|RenewalQuoteLineHandler.PRODUCT_TYPE_PERPETUAL|"Perpetual"
19:59:57.0 (8168861)|HEAP_ALLOCATE|[14]|Bytes:19
19:59:57.0 (8172142)|VARIABLE_ASSIGNMENT|[14]|RenewalQuoteLineHandler.PRODUCT_TYPE_RENEWAL_MAINTENANCE|"Renewal Maintenance"
19:59:57.0 (8203536)|METHOD_ENTRY|[14]|01pWC000002VWVX|RenewalQuoteLineHandler.RenewalQuoteLineHandler()
19:59:57.0 (8208513)|STATEMENT_EXECUTE|[14]
19:59:57.0 (8217266)|STATEMENT_EXECUTE|[14]
19:59:57.0 (8226995)|HEAP_ALLOCATE|[21]|Bytes:5
19:59:57.0 (8230192)|STATEMENT_EXECUTE|[21]
19:59:57.0 (8244536)|HEAP_ALLOCATE|[21]|Bytes:4
19:59:57.0 (8274971)|SYSTEM_CONSTRUCTOR_ENTRY|[21]|<init>(Integer)
19:59:57.0 (8341841)|SYSTEM_CONSTRUCTOR_EXIT|[21]|<init>(Integer)
19:59:57.0 (8413910)|SYSTEM_METHOD_ENTRY|[21]|Set<String>.add(Object)
19:59:57.0 (8437312)|SYSTEM_METHOD_EXIT|[21]|Set<String>.add(Object)
19:59:57.0 (8443808)|SYSTEM_METHOD_ENTRY|[21]|Set<String>.add(Object)
19:59:57.0 (8447523)|SYSTEM_METHOD_EXIT|[21]|Set<String>.add(Object)
19:59:57.0 (8489601)|VARIABLE_ASSIGNMENT|[21]|RenewalQuoteLineHandler.CARRYOVER_PRODUCT_TYPES|["New Maintenance","Perpetual"]|0x4f36b150
19:59:57.0 (8508890)|METHOD_EXIT|[14]|RenewalQuoteLineHandler
19:59:57.0 (8534219)|METHOD_ENTRY|[14]|01pWC000002VWVX|RenewalQuoteLineHandler.removeNewMaintenanceCarryoverForQuotes(Set<Id>)
19:59:57.0 (8555510)|VARIABLE_SCOPE_BEGIN|[63]|quoteIds|Set<Id>|true|false
19:59:57.0 (8563122)|VARIABLE_ASSIGNMENT|[63]|quoteIds|["0Q0WC0000039Is10AE"]|0x7947c19f
19:59:57.0 (8570972)|HEAP_ALLOCATE|[64]|Bytes:5
19:59:57.0 (8573362)|STATEMENT_EXECUTE|[63]
19:59:57.0 (8574314)|STATEMENT_EXECUTE|[64]
19:59:57.0 (8687308)|HEAP_ALLOCATE|[64]|Bytes:4
19:59:57.0 (8737298)|SYSTEM_CONSTRUCTOR_ENTRY|[64]|<init>()
19:59:57.0 (8802882)|SYSTEM_CONSTRUCTOR_EXIT|[64]|<init>()
19:59:57.0 (8812184)|METHOD_ENTRY|[64]|01pWC000002VWVX|RenewalQuoteLineHandler.removeNewMaintenanceCarryoverForQuotes(Set<Id>, List<QuoteLineItem>)
19:59:57.0 (8818354)|VARIABLE_SCOPE_BEGIN|[68]|quoteIds|Set<Id>|true|false
19:59:57.0 (8826584)|VARIABLE_ASSIGNMENT|[68]|quoteIds|["0Q0WC0000039Is10AE"]|0x7947c19f
19:59:57.0 (8844564)|VARIABLE_SCOPE_BEGIN|[68]|insertedLines|List<QuoteLineItem>|true|false
19:59:57.0 (8851541)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
19:59:57.0 (8863424)|VARIABLE_ASSIGNMENT|[68]|insertedLines|[]|0x204809e6
19:59:57.0 (8871236)|HEAP_ALLOCATE|[72]|Bytes:5
19:59:57.0 (8873537)|STATEMENT_EXECUTE|[71]
19:59:57.0 (8879911)|SYSTEM_METHOD_ENTRY|[72]|Set<Id>.isEmpty()
19:59:57.0 (8891106)|SYSTEM_METHOD_EXIT|[72]|Set<Id>.isEmpty()
19:59:57.0 (8899420)|STATEMENT_EXECUTE|[72]
19:59:57.0 (8900640)|STATEMENT_EXECUTE|[76]
19:59:57.0 (8904424)|METHOD_ENTRY|[76]|01pWC000002VWVX|RenewalQuoteLineHandler.resolveRenewalQuoteIds(Set<Id>)
19:59:57.0 (8911486)|VARIABLE_SCOPE_BEGIN|[148]|quoteIds|Set<Id>|true|false
19:59:57.0 (8916493)|VARIABLE_ASSIGNMENT|[148]|quoteIds|["0Q0WC0000039Is10AE"]|0x7947c19f
19:59:57.0 (8921259)|HEAP_ALLOCATE|[149]|Bytes:5
19:59:57.0 (8923180)|STATEMENT_EXECUTE|[148]
19:59:57.0 (8924044)|STATEMENT_EXECUTE|[149]
19:59:57.0 (8929423)|HEAP_ALLOCATE|[149]|Bytes:4
19:59:57.0 (8936731)|SYSTEM_CONSTRUCTOR_ENTRY|[149]|<init>(Integer)
19:59:57.0 (8944744)|SYSTEM_CONSTRUCTOR_EXIT|[149]|<init>(Integer)
19:59:57.0 (8947442)|VARIABLE_SCOPE_BEGIN|[149]|renewalQuoteIds|Set<Id>|true|false
19:59:57.0 (8962411)|VARIABLE_ASSIGNMENT|[149]|renewalQuoteIds|[]|0x7e39a207
19:59:57.0 (8967856)|HEAP_ALLOCATE|[150]|Bytes:106
19:59:57.0 (8981664)|HEAP_ALLOCATE|[150]|Bytes:4
19:59:57.0 (8988070)|HEAP_ALLOCATE|[150]|Bytes:7
19:59:57.0 (8997476)|HEAP_ALLOCATE|[150]|Bytes:7
19:59:57.0 (10348799)|VARIABLE_SCOPE_BEGIN|[9]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|String|false|true
19:59:57.0 (10360340)|VARIABLE_SCOPE_BEGIN|[8]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|String|false|true
19:59:57.0 (10371327)|HEAP_ALLOCATE|[155]|Bytes:5
19:59:57.0 (10376694)|HEAP_ALLOCATE|[155]|Bytes:5
19:59:57.0 (10385614)|VARIABLE_ASSIGNMENT|[155]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|"Renew"
19:59:57.0 (10388042)|HEAP_ALLOCATE|[155]|Bytes:7
19:59:57.0 (10391325)|VARIABLE_ASSIGNMENT|[155]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|"Renewal"
19:59:57.0 (10418442)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.QuoteRenewalTypeHandler()
19:59:57.0 (10423764)|STATEMENT_EXECUTE|[6]
19:59:57.0 (10427989)|STATEMENT_EXECUTE|[6]
19:59:57.0 (10435611)|HEAP_ALLOCATE|[155]|Bytes:5
19:59:57.0 (10444608)|METHOD_EXIT|[6]|QuoteRenewalTypeHandler
19:59:57.0 (10456860)|HEAP_ALLOCATE|[150]|Bytes:7
19:59:57.0 (13643765)|SOQL_EXECUTE_BEGIN|[150]|Aggregations:0|SELECT Id FROM Quote WHERE (Id = :tmpVar1 AND (OriginalActionType = :tmpVar2 OR Quote_Type__c = :tmpVar3))
19:59:57.0 (13685559)|LIMIT_USAGE|[150]|SOQL|1|200
19:59:57.0 (13691326)|LIMIT_USAGE|[150]|AGGS|0|600
