Id,QuoteId,Quote.Status,Quote.QuoteTypeText__c,Quantity,NetUnitPrice,COLACalculatedPrice__c,UnitPrice,Source_List_Price__c,Base_Price__c,QuoteActionId,ProductSellingModelId,Fortra_Product_Type__c,Partner_Pricing_Source__c,ParentQuoteLineItemId,RelatedQuoteLineItemId,Prior_Partner_Discount__c,Prior_Discretionary_Discount__c
0QLWC000003HMKj4AO,0Q0WC000002PzGM0A0,Won,Renewal,400,,,133.53,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003Ha3e4AC,0Q0WC000002Q6Mv0AK,Won,Renewal,21,,,288.78,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003Ha3d4AC,0Q0WC000002Q6Mv0AK,Won,Renewal,137,,,298.58,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003Fyx34AC,0Q0WC000002QCeR0AW,Won,Renewal,1000,,,113.47,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003GHTN4A4,0Q0WC000002QDzt0AG,Won,Renewal,60,,,161.21,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003G0N84AK,0Q0WC000002QETq0AO,Won,Renewal,21457,,,38,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003G2wD4AS,0Q0WC000002QFSh0AO,Won,Renewal,92,,,20,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003FsB24AK,0Q0WC000002QFql0AG,Won,Renewal,24,,,337.9,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003G9RJ4A0,0Q0WC000002QG2U0AW,Won,New,329,,,253.31,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003GBMv4AO,0Q0WC000002QG6g0AG,Won,Renewal,1,,,4829.12,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003GDOZ4A4,0Q0WC000002QGLY0A4,Won,Renewal,604,,,31.14,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003GHzq4AG,0Q0WC000002QGXt0AO,Won,Renewal,60,,,85.2,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003GHzr4AG,0Q0WC000002QGXt0AO,Won,Renewal,40,,,118.7,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003GRHG4A4,0Q0WC000002QHKK0A4,Won,Renewal,60,,,176.73,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
