67.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
20:39:52.1 (1925533)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
20:39:52.1 (60560127)|FLOW_VALUE_ASSIGNMENT|5292dd8751a565afb8ec4982292919ebee77789-6c6a|Ramp_Segment_Duration__isVisible|false
20:39:52.1 (60640077)|FLOW_VALUE_ASSIGNMENT|5292dd8751a565afb8ec4982292919ebee77789-6c6a|Ramp_Segment_Type__isVisible|false
20:39:52.1 (60650026)|FLOW_VALUE_ASSIGNMENT|5292dd8751a565afb8ec4982292919ebee77789-6c6a|RenewalDecision__isVisible|true
20:39:52.1 (60655226)|FLOW_VALUE_ASSIGNMENT|5292dd8751a565afb8ec4982292919ebee77789-6c6a|Create_Ramp_Schedule__isVisible|false
20:39:52.1 (60666931)|FLOW_VALUE_ASSIGNMENT|5292dd8751a565afb8ec4982292919ebee77789-6c6a|RenewalDecision|runtime_revenue_arcflows__arcFlow-1:IsAutomatedRenewal
20:39:52.1 (60671861)|FLOW_VALUE_ASSIGNMENT|5292dd8751a565afb8ec4982292919ebee77789-6c6a|Renewal_End_Date__isVisible|false
20:39:52.1 (61017362)|FLOW_VALUE_ASSIGNMENT|5292dd8751a565afb8ec4982292919ebee77789-6c6a|Create_Ramp_Schedule|
20:39:52.1 (61023555)|FLOW_VALUE_ASSIGNMENT|5292dd8751a565afb8ec4982292919ebee77789-6c6a|Ramp_Segment_Type|
20:39:52.1 (61027283)|FLOW_VALUE_ASSIGNMENT|5292dd8751a565afb8ec4982292919ebee77789-6c6a|Ramp_Segment_Duration|
20:39:52.1 (61030916)|FLOW_VALUE_ASSIGNMENT|5292dd8751a565afb8ec4982292919ebee77789-6c6a|Ramp_Number_Of_Segments|
20:39:52.1 (61034376)|FLOW_VALUE_ASSIGNMENT|5292dd8751a565afb8ec4982292919ebee77789-6c6a|Renewal_Start_Date|
20:39:52.1 (61037694)|FLOW_VALUE_ASSIGNMENT|5292dd8751a565afb8ec4982292919ebee77789-6c6a|Renewal_Start_Date__isVisible|false
20:39:52.1 (61041829)|FLOW_VALUE_ASSIGNMENT|5292dd8751a565afb8ec4982292919ebee77789-6c6a|Ramp_Number_Of_Segments__isVisible|false
20:39:52.1 (61046126)|FLOW_VALUE_ASSIGNMENT|5292dd8751a565afb8ec4982292919ebee77789-6c6a|Renewal_End_Date|
20:39:52.1 (165821502)|FLOW_ELEMENT_BEGIN|5292dd8751a565afb8ec4982292919ebee77789-6c6a|FlowAssignment|Assign_Renewal_Term
20:39:52.1 (166329475)|FLOW_ASSIGNMENT_DETAIL|5292dd8751a565afb8ec4982292919ebee77789-6c6a|SelectedRenewalStartDate|ASSIGN|
20:39:52.1 (166400404)|FLOW_ASSIGNMENT_DETAIL|5292dd8751a565afb8ec4982292919ebee77789-6c6a|SelectedRenewalEndDate|ASSIGN|
20:39:52.1 (166420044)|FLOW_ASSIGNMENT_DETAIL|5292dd8751a565afb8ec4982292919ebee77789-6c6a|RampSegmentType|ASSIGN|
20:39:52.1 (166448539)|FLOW_ASSIGNMENT_DETAIL|5292dd8751a565afb8ec4982292919ebee77789-6c6a|RampSegmentDuration|ASSIGN|
20:39:52.1 (166471201)|FLOW_ASSIGNMENT_DETAIL|5292dd8751a565afb8ec4982292919ebee77789-6c6a|RampNumberOfSegments|ASSIGN|
20:39:52.1 (166516746)|FLOW_VALUE_ASSIGNMENT|5292dd8751a565afb8ec4982292919ebee77789-6c6a|RampNumberOfSegments|
20:39:52.1 (166532816)|FLOW_VALUE_ASSIGNMENT|5292dd8751a565afb8ec4982292919ebee77789-6c6a|RampSegmentDuration|
20:39:52.1 (166575067)|FLOW_VALUE_ASSIGNMENT|5292dd8751a565afb8ec4982292919ebee77789-6c6a|SelectedRenewalStartDate|
20:39:52.1 (166579218)|FLOW_VALUE_ASSIGNMENT|5292dd8751a565afb8ec4982292919ebee77789-6c6a|RampSegmentType|
20:39:52.1 (166588580)|FLOW_VALUE_ASSIGNMENT|5292dd8751a565afb8ec4982292919ebee77789-6c6a|SelectedRenewalEndDate|
20:39:52.1 (166716026)|FLOW_ELEMENT_LIMIT_USAGE|71 ms CPU time, total 71 out of 15000
20:39:52.1 (166768017)|FLOW_ELEMENT_END|5292dd8751a565afb8ec4982292919ebee77789-6c6a|FlowAssignment|Assign_Renewal_Term
20:39:52.1 (166806840)|FLOW_ELEMENT_BEGIN|5292dd8751a565afb8ec4982292919ebee77789-6c6a|FlowDecision|Check_Ramp_Selected
20:39:52.1 (166953605)|FLOW_RULE_DETAIL|5292dd8751a565afb8ec4982292919ebee77789-6c6a|Ramp_Selected|true|false
20:39:52.1 (166982115)|FLOW_VALUE_ASSIGNMENT|5292dd8751a565afb8ec4982292919ebee77789-6c6a|Ramp_Selected|true
20:39:52.1 (167027017)|FLOW_ELEMENT_END|5292dd8751a565afb8ec4982292919ebee77789-6c6a|FlowDecision|Check_Ramp_Selected
20:39:52.1 (169010928)|FLOW_ELEMENT_BEGIN|5292dd8751a565afb8ec4982292919ebee77789-6c6a|FlowTransform|TransformToRampOptions
20:39:53.854 (1854907832)|HEAP_ALLOCATE|[95]|Bytes:3
20:39:53.854 (1855073688)|HEAP_ALLOCATE|[100]|Bytes:152
20:39:53.854 (1855097222)|HEAP_ALLOCATE|[417]|Bytes:408
20:39:53.854 (1855135624)|HEAP_ALLOCATE|[430]|Bytes:408
20:39:53.854 (1855169142)|HEAP_ALLOCATE|[317]|Bytes:6
