67.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
19:38:59.1 (1905474)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
19:38:59.1 (1938780)|EXECUTION_STARTED
19:38:59.1 (1946976)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
19:38:59.1 (2684871)|CODE_UNIT_FINISHED|Flow:Quote
19:38:59.1 (2695884)|EXECUTION_FINISHED
19:38:59.14 (14652783)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
19:38:59.14 (14668735)|EXECUTION_STARTED
19:38:59.14 (14675266)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
19:38:59.14 (14701155)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
19:38:59.14 (14742619)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
19:38:59.14 (14858350)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
19:38:59.14 (15348416)|HEAP_ALLOCATE|[95]|Bytes:3
19:38:59.14 (15388167)|HEAP_ALLOCATE|[100]|Bytes:152
19:38:59.14 (15401318)|HEAP_ALLOCATE|[417]|Bytes:408
19:38:59.14 (15411737)|HEAP_ALLOCATE|[430]|Bytes:408
19:38:59.14 (15430522)|HEAP_ALLOCATE|[317]|Bytes:6
19:38:59.14 (15449119)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
19:38:59.14 (15456370)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
19:38:59.14 (15521831)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x7a3e5d11
19:38:59.14 (15552305)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
19:38:59.14 (15555872)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
19:38:59.14 (15561652)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x7a3e5d11
19:38:59.14 (15566585)|STATEMENT_EXECUTE|[4]
19:38:59.14 (15582360)|HEAP_ALLOCATE|[68]|Bytes:5
19:38:59.14 (15601560)|HEAP_ALLOCATE|[74]|Bytes:5
19:38:59.14 (15607010)|HEAP_ALLOCATE|[82]|Bytes:7
19:38:59.14 (15635887)|STATEMENT_EXECUTE|[5]
19:38:59.14 (15636727)|STATEMENT_EXECUTE|[6]
19:38:59.14 (22210349)|VARIABLE_SCOPE_BEGIN|[9]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|String|false|true
19:38:59.14 (22224478)|VARIABLE_SCOPE_BEGIN|[8]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|String|false|true
19:38:59.14 (22269163)|HEAP_ALLOCATE|[6]|Bytes:5
19:38:59.14 (22276549)|HEAP_ALLOCATE|[6]|Bytes:5
19:38:59.14 (22292967)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|"Renew"
19:38:59.14 (22295913)|HEAP_ALLOCATE|[6]|Bytes:7
19:38:59.14 (22299077)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|"Renewal"
19:38:59.14 (22317008)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.QuoteRenewalTypeHandler()
19:38:59.14 (22321072)|STATEMENT_EXECUTE|[6]
19:38:59.14 (22324113)|STATEMENT_EXECUTE|[6]
19:38:59.14 (24157643)|SYSTEM_MODE_ENTER|false
19:38:59.14 (24528038)|HEAP_ALLOCATE|[6]|Bytes:5
19:38:59.14 (24541452)|SYSTEM_MODE_EXIT|false
19:38:59.14 (24556828)|METHOD_EXIT|[6]|QuoteRenewalTypeHandler
19:38:59.14 (24587626)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.applyRenewalQuoteType(List<Quote>)
19:38:59.14 (24624301)|VARIABLE_SCOPE_BEGIN|[11]|quotes|List<Quote>|true|false
19:38:59.14 (53881658)|VARIABLE_ASSIGNMENT|[11]|quotes|[{"LastModifiedDate":"2026-06-10T20:22:04.000Z","Legal_Support_Approval__c":false,"Quote_Type__c":"Renewal","Export_Compliance_Status__c":"Pending","Net_Terms_Approval__c":false,"QuoteToCountry":"United States","Total_Discount_Amount__c":0.00,"MYCAP_Approval__c":false,"Exchange_Rate_To_USD__c":0E-10,"Name":"Renewal Quote","Export_Review_Required__c":false,"License_Extension_Approval__c":false,"StartDate":"2026-06-10T00:00:00.000Z","Within_Renewal_Window__c":false,"IsPrimary__c":false,"Credit_Renewal_Approval__c":false,"Days_Until_Renewal__c":362,"CreatedById":"005WC00000DZ6xVYAT","Renewal_Contract__c":"800WC00000S5ub1YAB","Auto_Renewal__c":false,"Channel_MSP_Pricing_Discount_Approval__c":false,"QuoteAccountId":"001WC00000kTYyNYAW","Pro_Ration_Method__c":"Monthly","Renewal_ARR_Approval__c":false,"Annualized_License_Equivalent_Base__c":0.00,"Status":"Draft","Show_Hide_Discounts__c":"Show","IsDeleted":false,"Show_Hide_Free_Products__c":"Show","Subtotal":0.00,"Force_New_Contract__c":false,"Total_Displaced_ARR__c":0.00,"Net_Contract_Change__c":0.00,"CurrencyIsoCode":"USD","LegacyRenewalQuote__c":false,"Signed_Quote_Approval__c":false,"Terms_and_Conditions__c":false,"Credit_Renewal_ARR__c":false,"Payment_Portal__c":"Fortra (default)","Original_Contract_ARR__c":0.00,"Annuial_Revenue_Base__c":0.00,"AdditionalCountry":"United States","Total_Quote_Line_ARR__c":0.00,"GrandTotal":0.00,"CreatedDate":"2026-06-10T19:33:47.000Z","Pricebook2Id":"01sWC0000022GHFYA2","Mycap__c":false,"IsSyncing":false,"Renewal_Cancellation_Approval__c":false,"Id":"0Q0WC0000037XvB0AU","TransactionType":"Fortra_Advanced_Pric (3 more) ...","Subscription_Pricing_Discount_Approval__c":false,"Discount":0.00,"Discount_Renewal_ARR__c":false,"Contains_Offensive_Security__c":false,"BillingCountryCode":"US","Temp_License_Key_Extension__c":false,"Disable_Export_Control__c":false,"Export_License_Required__c":false,"Services_Discount_Approval__c":false,"Total_Contract_Value_TCV__c":0.00,"LineItemCount":1,"OwnerId":"005WC00000DZ6xVYAT","Maintenance_Discount_Approval__c":false,"Language__c":"English","ShippingCountry":"United States","GSW__c":false,"Manually_Sent__c":false,"CalculationStatus":"Saving","Corporate_Currency_Amount__c":0.00,"LineGroupCount":0,"Approval_Status__c":"None","Unsigned_Quote_Approval__c":false,"Annual_Contract_Value_ACV__c":0.00,"Quote_Displaced_ARR__c":0.00,"OriginalActionType":"Renew","ContractId":"800WC00000S5ub1YAB","QuoteTypeText__c":"Renewal","Approval_Rejected_Checkbox__c":false,"Show_Hide_Product_Number__c":"Show","SystemModstamp":"2026-06-10T20:22:04.000Z","ShippingCountryCode":"US","QuoteNumber":"00781043","Create_Order_from_Quote__c":false,"CanCreateQuoteLineItems":false,"BillingCountry":"United States","ALE__c":0.00,"Manual_Discount__c":0.00,"QuoteToCountryCode":"US","TotalPrice":0.00,"AdditionalCountryCode":"US","Request_Legal_Support__c":false,"Perpetual_Pricing_Discount_Approval__c":false,"LastModifiedById":"005WC00000DZ6xVYAT","Displaced_ARR_Approval__c":false}]|0x7cffa3fe
19:38:59.14 (55633503)|SYSTEM_MODE_ENTER|false
19:38:59.14 (55655695)|HEAP_ALLOCATE|[12]|Bytes:5
19:38:59.14 (55665244)|STATEMENT_EXECUTE|[11]
19:38:59.14 (55725715)|SYSTEM_METHOD_ENTRY|[12]|List<Quote>.isEmpty()
19:38:59.14 (55785463)|SYSTEM_METHOD_EXIT|[12]|List<Quote>.isEmpty()
19:38:59.14 (55793206)|STATEMENT_EXECUTE|[12]
19:38:59.14 (55798870)|SYSTEM_METHOD_ENTRY|[16]|List<Quote>.iterator()
19:38:59.14 (55925917)|SYSTEM_METHOD_EXIT|[16]|List<Quote>.iterator()
19:38:59.14 (55945434)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
19:38:59.14 (55953572)|HEAP_ALLOCATE|[16]|Bytes:5
19:38:59.14 (55959442)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
19:38:59.14 (56004878)|HEAP_ALLOCATE|[16]|Bytes:4
19:38:59.14 (56015515)|VARIABLE_SCOPE_BEGIN|[16]|quote|Quote|true|false
19:38:59.14 (57426206)|VARIABLE_ASSIGNMENT|[16]|quote|{"LastModifiedDate":"2026-06-10T20:22:04.000Z","Legal_Support_Approval__c":false,"Quote_Type__c":"Renewal","Export_Compliance_Status__c":"Pending","Net_Terms_Approval__c":false,"QuoteToCountry":"United States","Total_Discount_Amount__c":0.00,"MYCAP_Approval__c":false,"Exchange_Rate_To_USD__c":0E-10,"Name":"Renewal Quote","Export_Review_Required__c":false,"License_Extension_Approval__c":false,"StartDate":"2026-06-10T00:00:00.000Z","Within_Renewal_Window__c":false,"IsPrimary__c":false,"Credit_Renewal_Approval__c":false,"Days_Until_Renewal__c":362,"CreatedById":"005WC00000DZ6xVYAT","Renewal_Contract__c":"800WC00000S5ub1YAB","Auto_Renewal__c":false,"Channel_MSP_Pricing_Discount_Approval__c":false,"QuoteAccountId":"001WC00000kTYyNYAW","Pro_Ration_Method__c":"Monthly","Renewal_ARR_Approval__c":false,"Annualized_License_Equivalent_Base__c":0.00,"Status":"Draft","Show_Hide_Discounts__c":"Show","IsDeleted":false,"Show_Hide_Free_Products__c":"Show","Subtotal":0.00,"Force_New_Contract__c":false,"Total_Displaced_ARR__c":0.00,"Net_Contract_Change__c":0.00,"CurrencyIsoCode":"USD","LegacyRenewalQuote__c":false,"Signed_Quote_Approval__c":false,"Terms_and_Conditions__c":false,"Credit_Renewal_ARR__c":false,"Payment_Portal__c":"Fortra (default)","Original_Contract_ARR__c":0.00,"Annuial_Revenue_Base__c":0.00,"AdditionalCountry":"United States","Total_Quote_Line_ARR__c":0.00,"GrandTotal":0.00,"CreatedDate":"2026-06-10T19:33:47.000Z","Pricebook2Id":"01sWC0000022GHFYA2","Mycap__c":false,"IsSyncing":false,"Renewal_Cancellation_Approval__c":false,"Id":"0Q0WC0000037XvB0AU","TransactionType":"Fortra_Advanced_Pric (3 more) ...","Subscription_Pricing_Discount_Approval__c":false,"Discount":0.00,"Discount_Renewal_ARR__c":false,"Contains_Offensive_Security__c":false,"BillingCountryCode":"US","Temp_License_Key_Extension__c":false,"Disable_Export_Control__c":false,"Export_License_Required__c":false,"Services_Discount_Approval__c":false,"Total_Contract_Value_TCV__c":0.00,"LineItemCount":1,"OwnerId":"005WC00000DZ6xVYAT","Maintenance_Discount_Approval__c":false,"Language__c":"English","ShippingCountry":"United States","GSW__c":false,"Manually_Sent__c":false,"CalculationStatus":"Saving","Corporate_Currency_Amount__c":0.00,"LineGroupCount":0,"Approval_Status__c":"None","Unsigned_Quote_Approval__c":false,"Annual_Contract_Value_ACV__c":0.00,"Quote_Displaced_ARR__c":0.00,"OriginalActionType":"Renew","ContractId":"800WC00000S5ub1YAB","QuoteTypeText__c":"Renewal","Approval_Rejected_Checkbox__c":false,"Show_Hide_Product_Number__c":"Show","SystemModstamp":"2026-06-10T20:22:04.000Z","ShippingCountryCode":"US","QuoteNumber":"00781043","Create_Order_from_Quote__c":false,"CanCreateQuoteLineItems":false,"BillingCountry":"United States","ALE__c":0.00,"Manual_Discount__c":0.00,"QuoteToCountryCode":"US","TotalPrice":0.00,"AdditionalCountryCode":"US","Request_Legal_Support__c":false,"Perpetual_Pricing_Discount_Approval__c":false,"LastModifiedById":"005WC00000DZ6xVYAT","Displaced_ARR_Approval__c":false}|0x5d9cf9ff
19:38:59.14 (57453037)|STATEMENT_EXECUTE|[16]
19:38:59.14 (57454665)|STATEMENT_EXECUTE|[17]
19:38:59.14 (57477335)|METHOD_ENTRY|[17]|01pWC000002VWVV|QuoteRenewalTypeHandler.normalizeRenewalQuoteType(Quote)
19:38:59.14 (57511586)|VARIABLE_SCOPE_BEGIN|[21]|quote|Quote|true|false
19:38:59.14 (58312409)|VARIABLE_ASSIGNMENT|[21]|quote|{"LastModifiedDate":"2026-06-10T20:22:04.000Z","Legal_Support_Approval__c":false,"Quote_Type__c":"Renewal","Export_Compliance_Status__c":"Pending","Net_Terms_Approval__c":false,"QuoteToCountry":"United States","Total_Discount_Amount__c":0.00,"MYCAP_Approval__c":false,"Exchange_Rate_To_USD__c":0E-10,"Name":"Renewal Quote","Export_Review_Required__c":false,"License_Extension_Approval__c":false,"StartDate":"2026-06-10T00:00:00.000Z","Within_Renewal_Window__c":false,"IsPrimary__c":false,"Credit_Renewal_Approval__c":false,"Days_Until_Renewal__c":362,"CreatedById":"005WC00000DZ6xVYAT","Renewal_Contract__c":"800WC00000S5ub1YAB","Auto_Renewal__c":false,"Channel_MSP_Pricing_Discount_Approval__c":false,"QuoteAccountId":"001WC00000kTYyNYAW","Pro_Ration_Method__c":"Monthly","Renewal_ARR_Approval__c":false,"Annualized_License_Equivalent_Base__c":0.00,"Status":"Draft","Show_Hide_Discounts__c":"Show","IsDeleted":false,"Show_Hide_Free_Products__c":"Show","Subtotal":0.00,"Force_New_Contract__c":false,"Total_Displaced_ARR__c":0.00,"Net_Contract_Change__c":0.00,"CurrencyIsoCode":"USD","LegacyRenewalQuote__c":false,"Signed_Quote_Approval__c":false,"Terms_and_Conditions__c":false,"Credit_Renewal_ARR__c":false,"Payment_Portal__c":"Fortra (default)","Original_Contract_ARR__c":0.00,"Annuial_Revenue_Base__c":0.00,"AdditionalCountry":"United States","Total_Quote_Line_ARR__c":0.00,"GrandTotal":0.00,"CreatedDate":"2026-06-10T19:33:47.000Z","Pricebook2Id":"01sWC0000022GHFYA2","Mycap__c":false,"IsSyncing":false,"Renewal_Cancellation_Approval__c":false,"Id":"0Q0WC0000037XvB0AU","TransactionType":"Fortra_Advanced_Pric (3 more) ...","Subscription_Pricing_Discount_Approval__c":false,"Discount":0.00,"Discount_Renewal_ARR__c":false,"Contains_Offensive_Security__c":false,"BillingCountryCode":"US","Temp_License_Key_Extension__c":false,"Disable_Export_Control__c":false,"Export_License_Required__c":false,"Services_Discount_Approval__c":false,"Total_Contract_Value_TCV__c":0.00,"LineItemCount":1,"OwnerId":"005WC00000DZ6xVYAT","Maintenance_Discount_Approval__c":false,"Language__c":"English","ShippingCountry":"United States","GSW__c":false,"Manually_Sent__c":false,"CalculationStatus":"Saving","Corporate_Currency_Amount__c":0.00,"LineGroupCount":0,"Approval_Status__c":"None","Unsigned_Quote_Approval__c":false,"Annual_Contract_Value_ACV__c":0.00,"Quote_Displaced_ARR__c":0.00,"OriginalActionType":"Renew","ContractId":"800WC00000S5ub1YAB","QuoteTypeText__c":"Renewal","Approval_Rejected_Checkbox__c":false,"Show_Hide_Product_Number__c":"Show","SystemModstamp":"2026-06-10T20:22:04.000Z","ShippingCountryCode":"US","QuoteNumber":"00781043","Create_Order_from_Quote__c":false,"CanCreateQuoteLineItems":false,"BillingCountry":"United States","ALE__c":0.00,"Manual_Discount__c":0.00,"QuoteToCountryCode":"US","TotalPrice":0.00,"AdditionalCountryCode":"US","Request_Legal_Support__c":false,"Perpetual_Pricing_Discount_Approval__c":false,"LastModifiedById":"005WC00000DZ6xVYAT","Displaced_ARR_Approval__c":false}|0x5d9cf9ff
19:38:59.14 (58345762)|HEAP_ALLOCATE|[22]|Bytes:5
19:38:59.14 (58350498)|STATEMENT_EXECUTE|[21]
19:38:59.14 (58541081)|STATEMENT_EXECUTE|[22]
19:38:59.14 (58552372)|STATEMENT_EXECUTE|[26]
19:38:59.14 (58562410)|METHOD_EXIT|[17]|01pWC000002VWVV|QuoteRenewalTypeHandler.normalizeRenewalQuoteType(Quote)
19:38:59.14 (58573193)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
19:38:59.14 (58580086)|HEAP_ALLOCATE|[16]|Bytes:5
19:38:59.14 (58584279)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
19:38:59.14 (58592373)|VARIABLE_ASSIGNMENT|[16]|quote|null|
19:38:59.14 (58597424)|SYSTEM_MODE_EXIT|false
19:38:59.14 (58603744)|METHOD_EXIT|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.applyRenewalQuoteType(List<Quote>)
19:38:59.14 (58606124)|STATEMENT_EXECUTE|[7]
19:38:59.14 (60887932)|VARIABLE_SCOPE_BEGIN|[9]|RenewalQuoteHeaderHandler.testSourceQuoteIdByContractId|Map<Id,Id>|true|true
19:38:59.14 (60910315)|HEAP_ALLOCATE|[7]|Bytes:30
19:38:59.14 (60932594)|METHOD_ENTRY|[6]|01pWC000002WbCz|RenewalQuoteHeaderHandler.RenewalQuoteHeaderHandler()
19:38:59.14 (60936074)|STATEMENT_EXECUTE|[6]
19:38:59.14 (60938764)|STATEMENT_EXECUTE|[6]
19:38:59.14 (60945395)|SYSTEM_MODE_ENTER|false
19:38:59.14 (60952463)|HEAP_ALLOCATE|[7]|Bytes:5
19:38:59.14 (60957199)|SYSTEM_MODE_EXIT|false
19:38:59.14 (60964948)|METHOD_EXIT|[6]|RenewalQuoteHeaderHandler
19:38:59.14 (60979029)|METHOD_ENTRY|[7]|01pWC000002WbCz|RenewalQuoteHeaderHandler.applyRenewalQuoteHeaders(List<Quote>)
19:38:59.14 (61003167)|VARIABLE_SCOPE_BEGIN|[11]|quotes|List<Quote>|true|false
19:38:59.14 (62046230)|VARIABLE_ASSIGNMENT|[11]|quotes|[{"LastModifiedDate":"2026-06-10T20:22:04.000Z","Legal_Support_Approval__c":false,"Quote_Type__c":"Renewal","Export_Compliance_Status__c":"Pending","Net_Terms_Approval__c":false,"QuoteToCountry":"United States","Total_Discount_Amount__c":0.00,"MYCAP_Approval__c":false,"Exchange_Rate_To_USD__c":0E-10,"Name":"Renewal Quote","Export_Review_Required__c":false,"License_Extension_Approval__c":false,"StartDate":"2026-06-10T00:00:00.000Z","Within_Renewal_Window__c":false,"IsPrimary__c":false,"Credit_Renewal_Approval__c":false,"Days_Until_Renewal__c":362,"CreatedById":"005WC00000DZ6xVYAT","Renewal_Contract__c":"800WC00000S5ub1YAB","Auto_Renewal__c":false,"Channel_MSP_Pricing_Discount_Approval__c":false,"QuoteAccountId":"001WC00000kTYyNYAW","Pro_Ration_Method__c":"Monthly","Renewal_ARR_Approval__c":false,"Annualized_License_Equivalent_Base__c":0.00,"Status":"Draft","Show_Hide_Discounts__c":"Show","IsDeleted":false,"Show_Hide_Free_Products__c":"Show","Subtotal":0.00,"Force_New_Contract__c":false,"Total_Displaced_ARR__c":0.00,"Net_Contract_Change__c":0.00,"CurrencyIsoCode":"USD","LegacyRenewalQuote__c":false,"Signed_Quote_Approval__c":false,"Terms_and_Conditions__c":false,"Credit_Renewal_ARR__c":false,"Payment_Portal__c":"Fortra (default)","Original_Contract_ARR__c":0.00,"Annuial_Revenue_Base__c":0.00,"AdditionalCountry":"United States","Total_Quote_Line_ARR__c":0.00,"GrandTotal":0.00,"CreatedDate":"2026-06-10T19:33:47.000Z","Pricebook2Id":"01sWC0000022GHFYA2","Mycap__c":false,"IsSyncing":false,"Renewal_Cancellation_Approval__c":false,"Id":"0Q0WC0000037XvB0AU","TransactionType":"Fortra_Advanced_Pric (3 more) ...","Subscription_Pricing_Discount_Approval__c":false,"Discount":0.00,"Discount_Renewal_ARR__c":false,"Contains_Offensive_Security__c":false,"BillingCountryCode":"US","Temp_License_Key_Extension__c":false,"Disable_Export_Control__c":false,"Export_License_Required__c":false,"Services_Discount_Approval__c":false,"Total_Contract_Value_TCV__c":0.00,"LineItemCount":1,"OwnerId":"005WC00000DZ6xVYAT","Maintenance_Discount_Approval__c":false,"Language__c":"English","ShippingCountry":"United States","GSW__c":false,"Manually_Sent__c":false,"CalculationStatus":"Saving","Corporate_Currency_Amount__c":0.00,"LineGroupCount":0,"Approval_Status__c":"None","Unsigned_Quote_Approval__c":false,"Annual_Contract_Value_ACV__c":0.00,"Quote_Displaced_ARR__c":0.00,"OriginalActionType":"Renew","ContractId":"800WC00000S5ub1YAB","QuoteTypeText__c":"Renewal","Approval_Rejected_Checkbox__c":false,"Show_Hide_Product_Number__c":"Show","SystemModstamp":"2026-06-10T20:22:04.000Z","ShippingCountryCode":"US","QuoteNumber":"00781043","Create_Order_from_Quote__c":false,"CanCreateQuoteLineItems":false,"BillingCountry":"United States","ALE__c":0.00,"Manual_Discount__c":0.00,"QuoteToCountryCode":"US","TotalPrice":0.00,"AdditionalCountryCode":"US","Request_Legal_Support__c":false,"Perpetual_Pricing_Discount_Approval__c":false,"LastModifiedById":"005WC00000DZ6xVYAT","Displaced_ARR_Approval__c":false}]|0x7cffa3fe
19:38:59.14 (62078580)|SYSTEM_MODE_ENTER|false
