67.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
20:45:55.0 (813716)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
20:45:55.0 (850929)|EXECUTION_STARTED
20:45:55.0 (865249)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
20:45:55.0 (1572838)|CODE_UNIT_FINISHED|Flow:Quote
20:45:55.0 (1583118)|EXECUTION_FINISHED
20:45:55.9 (9234127)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
20:45:55.9 (9251286)|EXECUTION_STARTED
20:45:55.9 (9257837)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
20:45:55.9 (9287465)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
20:45:55.9 (9339340)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
20:45:55.9 (9452375)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
20:45:55.9 (10701142)|HEAP_ALLOCATE|[95]|Bytes:3
20:45:55.9 (10739619)|HEAP_ALLOCATE|[100]|Bytes:152
20:45:55.9 (10752627)|HEAP_ALLOCATE|[417]|Bytes:408
20:45:55.9 (10762747)|HEAP_ALLOCATE|[430]|Bytes:408
20:45:55.9 (10778716)|HEAP_ALLOCATE|[317]|Bytes:6
20:45:55.9 (10798061)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
20:45:55.9 (10832538)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
20:45:55.9 (10930591)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x63737a37
20:45:55.9 (10971875)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
20:45:55.9 (10975725)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
20:45:55.9 (10982264)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x63737a37
20:45:55.9 (10991182)|STATEMENT_EXECUTE|[4]
20:45:55.9 (11008404)|HEAP_ALLOCATE|[68]|Bytes:5
20:45:55.9 (11027885)|HEAP_ALLOCATE|[74]|Bytes:5
20:45:55.9 (11033222)|HEAP_ALLOCATE|[82]|Bytes:7
20:45:55.9 (11064885)|STATEMENT_EXECUTE|[5]
20:45:55.9 (11065740)|STATEMENT_EXECUTE|[6]
20:45:55.9 (17762099)|VARIABLE_SCOPE_BEGIN|[9]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|String|false|true
20:45:55.9 (17777253)|VARIABLE_SCOPE_BEGIN|[8]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|String|false|true
20:45:55.9 (17824545)|HEAP_ALLOCATE|[6]|Bytes:5
20:45:55.9 (17832508)|HEAP_ALLOCATE|[6]|Bytes:5
20:45:55.9 (17861024)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|"Renew"
20:45:55.9 (17865875)|HEAP_ALLOCATE|[6]|Bytes:7
20:45:55.9 (17871038)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|"Renewal"
20:45:55.9 (17901238)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.QuoteRenewalTypeHandler()
20:45:55.9 (17906937)|STATEMENT_EXECUTE|[6]
20:45:55.9 (17912308)|STATEMENT_EXECUTE|[6]
20:45:55.9 (19015139)|SYSTEM_MODE_ENTER|false
20:45:55.9 (19397001)|HEAP_ALLOCATE|[6]|Bytes:5
20:45:55.9 (19410271)|SYSTEM_MODE_EXIT|false
20:45:55.9 (19428414)|METHOD_EXIT|[6]|QuoteRenewalTypeHandler
20:45:55.9 (19464860)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.applyRenewalQuoteType(List<Quote>)
20:45:55.9 (19508371)|VARIABLE_SCOPE_BEGIN|[11]|quotes|List<Quote>|true|false
20:45:55.9 (63056177)|VARIABLE_ASSIGNMENT|[11]|quotes|[{"LastModifiedDate":"2026-06-13T03:40:01.000Z","Quote_Type__c":"Renewal","Bill_To_Place__c":"a0lWC000004n3DlYAI","Export_Compliance_Status__c":"Pending","Net_Terms_Approval__c":false,"Exchange_Rate_To_USD__c":1.0000000000,"Export_Review_Required__c":false,"Within_Renewal_Window__c":false,"IsPrimary__c":false,"Credit_Renewal_Approval__c":false,"Days_Until_Renewal__c":362,"Renewal_Contract__c":"800WC00000S5ub1YAB","QuoteAccountId":"001WC00000kTYyNYAW","Pro_Ration_Method__c":"Monthly","Renewal_ARR_Approval__c":false,"Status":"Draft","Show_Hide_Discounts__c":"Show","IsDeleted":false,"Subtotal":0.00,"Force_New_Contract__c":false,"Net_Contract_Change__c":0.00,"Signed_Quote_Approval__c":false,"Terms_and_Conditions__c":false,"Payment_Portal__c":"Fortra (default)","Original_Contract_ARR__c":0.00,"BillingStateCode":"MN","GrandTotal":0.00,"ShippingPostalCode":"55344","ShippingState":"Minnesota","Mycap__c":false,"Deal_Type__c":"Fortra Originated","Id":"0Q0WC0000038aXd0AI","Subscription_Pricing_Discount_Approval__c":false,"Net_Terms__c":"Net_30","Discount":0.00,"Services_Discount_Approval__c":false,"Total_Contract_Value_TCV__c":0.00,"LineItemCount":2,"OwnerId":"005WC00000MgTN2YAN","OpportunityId":"006WC00000QqAqjYAF","LegalEntityId":"0fwWC000000034LYAQ","Language__c":"English","ShippingCity":"Eden Prairie","GSW__c":false,"Manually_Sent__c":false,"CalculationStatus":"Saving","Corporate_Currency_Amount__c":0.00,"Annual_Contract_Value_ACV__c":0.00,"Max_Discount_on_QLIs__c":0.00,"Quote_Displaced_ARR__c":0.00,"OriginalActionType":"Renew","Ship_To_Place__c":"a0lWC000004n3DlYAI","Show_Hide_Product_Number__c":"Show","SystemModstamp":"2026-06-13T03:40:01.000Z","Create_Order_from_Quote__c":false,"BillingCountry":"United States","Manual_Discount__c":0.00,"QuoteToCountryCode":"US","TotalPrice":0.00,"AdditionalCountryCode":"US","Legal_Support_Approval__c":false,"AccountId":"001WC00000kTYyNYAW","ShippingStateCode":"MN","BillingCity":"Eden Prairie","QuoteToCountry":"United States","Total_Discount_Amount__c":0.00,"MYCAP_Approval__c":false,"Name":"Renewal Quote","License_Extension_Approval__c":false,"StartDate":"2026-06-13T00:00:00.000Z","CreatedById":"005WC00000MgTN2YAN","Auto_Renewal__c":false,"Channel_MSP_Pricing_Discount_Approval__c":false,"BillingPostalCode":"55344","Annualized_License_Equivalent_Base__c":0.00,"Show_Hide_Free_Products__c":"Show","Maintenance_Max_Discount__c":0.00,"Total_Displaced_ARR__c":0.00,"CurrencyIsoCode":"USD","LegacyRenewalQuote__c":false,"Credit_Renewal_ARR__c":false,"ShippingStreet":"11095 Viking Drive,  (9 more) ...","Annuial_Revenue_Base__c":0.00,"AdditionalCountry":"United States","Total_Quote_Line_ARR__c":0.00,"CreatedDate":"2026-06-13T03:39:55.000Z","Pricebook2Id":"01sWC0000022GHFYA2","IsSyncing":false,"Renewal_Cancellation_Approval__c":false,"BillingState":"Minnesota","TransactionType":"Fortra_Advanced_Pric (3 more) ...","Discount_Renewal_ARR__c":false,"Contains_Offensive_Security__c":false,"BillingCountryCode":"US","Temp_License_Key_Extension__c":false,"Disable_Export_Control__c":false,"ContactId":"003WC00000wxDZJYA2","PartnerAccountId":"001WC00000ZtazZYAR","Export_License_Required__c":false,"Billing_Partner__c":"001WC00000ZtazZYAR","SalesTransactionTypeId":"1ChWC0000002eJ70AI","Maintenance_Discount_Approval__c":false,"Partner_Pricing_Model__c":"Discount","ShippingCountry":"United States","LineGroupCount":0,"Approval_Status__c":"None","Unsigned_Quote_Approval__c":false,"ContractId":"800WC00000S5ub1YAB","BillToContactId":"003WC00000wxDZJYA2","QuoteTypeText__c":"Renewal","Approval_Rejected_Checkbox__c":false,"ShippingCountryCode":"US","QuoteNumber":"00781109","CanCreateQuoteLineItems":false,"ALE__c":0.00,"BillingStreet":"11095 Viking Drive,  (9 more) ...","Request_Legal_Support__c":false,"Perpetual_Pricing_Discount_Approval__c":false,"LastModifiedById":"005WC00000MgTN2YAN","Displaced_ARR_Approval__c":false}]|0xc670548
20:45:55.9 (64259879)|SYSTEM_MODE_ENTER|false
20:45:55.9 (64285772)|HEAP_ALLOCATE|[12]|Bytes:5
20:45:55.9 (64297784)|STATEMENT_EXECUTE|[11]
20:45:55.9 (64365883)|SYSTEM_METHOD_ENTRY|[12]|List<Quote>.isEmpty()
20:45:55.9 (64437713)|SYSTEM_METHOD_EXIT|[12]|List<Quote>.isEmpty()
20:45:55.9 (64445710)|STATEMENT_EXECUTE|[12]
20:45:55.9 (64450355)|SYSTEM_METHOD_ENTRY|[16]|List<Quote>.iterator()
20:45:55.9 (64589816)|SYSTEM_METHOD_EXIT|[16]|List<Quote>.iterator()
20:45:55.9 (64608931)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
20:45:55.9 (64617121)|HEAP_ALLOCATE|[16]|Bytes:5
20:45:55.9 (64625246)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
20:45:55.9 (64675089)|HEAP_ALLOCATE|[16]|Bytes:4
20:45:55.9 (64685198)|VARIABLE_SCOPE_BEGIN|[16]|quote|Quote|true|false
