67.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
17:30:48.3 (3125638)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
17:30:48.3 (3214715)|EXECUTION_STARTED
17:30:48.3 (3230632)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
17:30:48.3 (3927708)|CODE_UNIT_FINISHED|Flow:Quote
17:30:48.3 (3946949)|EXECUTION_FINISHED
17:30:48.10 (10533139)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
17:30:48.10 (10548815)|EXECUTION_STARTED
17:30:48.10 (10555202)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
17:30:48.10 (10596263)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
17:30:48.10 (10650800)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:30:48.10 (10775184)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:30:48.10 (12011340)|HEAP_ALLOCATE|[95]|Bytes:3
17:30:48.10 (12056784)|HEAP_ALLOCATE|[100]|Bytes:152
17:30:48.10 (12069194)|HEAP_ALLOCATE|[417]|Bytes:408
17:30:48.10 (12078952)|HEAP_ALLOCATE|[430]|Bytes:408
17:30:48.10 (12096690)|HEAP_ALLOCATE|[317]|Bytes:6
17:30:48.10 (12117335)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:30:48.10 (12138632)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
17:30:48.10 (12244761)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x5226a2ba
17:30:48.10 (12287133)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:30:48.10 (12290670)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
17:30:48.10 (12297816)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x5226a2ba
17:30:48.10 (12307510)|STATEMENT_EXECUTE|[4]
17:30:48.10 (12323632)|HEAP_ALLOCATE|[68]|Bytes:5
17:30:48.10 (12347817)|HEAP_ALLOCATE|[74]|Bytes:5
17:30:48.10 (12353068)|HEAP_ALLOCATE|[82]|Bytes:7
17:30:48.10 (12385545)|STATEMENT_EXECUTE|[5]
17:30:48.10 (12386383)|STATEMENT_EXECUTE|[6]
17:30:48.10 (19065339)|VARIABLE_SCOPE_BEGIN|[9]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|String|false|true
17:30:48.10 (19081229)|VARIABLE_SCOPE_BEGIN|[8]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|String|false|true
17:30:48.10 (19126088)|HEAP_ALLOCATE|[6]|Bytes:5
17:30:48.10 (19133348)|HEAP_ALLOCATE|[6]|Bytes:5
17:30:48.10 (19179215)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|"Renew"
17:30:48.10 (19183243)|HEAP_ALLOCATE|[6]|Bytes:7
17:30:48.10 (19188217)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|"Renewal"
17:30:48.10 (19219603)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.QuoteRenewalTypeHandler()
17:30:48.10 (19224912)|STATEMENT_EXECUTE|[6]
17:30:48.10 (19232477)|STATEMENT_EXECUTE|[6]
17:30:48.10 (20466822)|SYSTEM_MODE_ENTER|false
17:30:48.10 (20658967)|HEAP_ALLOCATE|[6]|Bytes:5
17:30:48.10 (20669795)|SYSTEM_MODE_EXIT|false
17:30:48.10 (20695078)|METHOD_EXIT|[6]|QuoteRenewalTypeHandler
17:30:48.10 (20731007)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.applyRenewalQuoteType(List<Quote>)
17:30:48.10 (20772660)|VARIABLE_SCOPE_BEGIN|[11]|quotes|List<Quote>|true|false
