Id,Product2Id,Product2.Name,Fortra_Product_Type__c,Original_Order_Item__c
802WC00000LXvJaYAL,01tWC00000DD117YAD,5250 Integrator,Perpetual,802WC00000LXvJZYA1
802WC00000LXvJbYAL,01tWC00000DD117YAD,5250 Integrator,Perpetual,802WC00000LXvJZYA1
802WC00000LtnycYAB,01tWC00000DD117YAD,5250 Integrator,Perpetual,802WC00000LtnybYAB
802WC00000LtnydYAB,01tWC00000DD117YAD,5250 Integrator,Perpetual,802WC00000LtnybYAB
802WC00000Ly9VnYAJ,01tWC00000DD119YAD,5250 Integrator,Subscription,802WC00000Ly9VmYAJ
802WC00000Ly9VoYAJ,01tWC00000DD119YAD,5250 Integrator,Subscription,802WC00000Ly9VmYAJ
802WC00000LyESUYA3,01tWC00000DD119YAD,5250 Integrator,Subscription,802WC00000LyESTYA3
802WC00000LyESVYA3,01tWC00000DD119YAD,5250 Integrator,Subscription,802WC00000LyESTYA3
802WC00000LyFmTYAV,01tWC00000DD117YAD,5250 Integrator,,802WC00000LyFbBYAV
802WC00000LyFmUYAV,01tWC00000DD117YAD,5250 Integrator,,802WC00000LyFbBYAV
802WC00000LyFmVYAV,01tWC00000FiKdVYAV,UAT Power Split Test - Order Line and Hardware --do not delete!,,802WC00000LyFbCYAV
802WC00000LyFmWYAV,01tWC00000FiKdVYAV,UAT Power Split Test - Order Line and Hardware --do not delete!,,802WC00000LyFbCYAV
802WC00000LyOGIYA3,01tWC00000DD119YAD,5250 Integrator,Subscription,802WC00000LyOGHYA3
802WC00000LyOGJYA3,01tWC00000DD119YAD,5250 Integrator,Subscription,802WC00000LyOGHYA3
802WC00000LyOhiYAF,01tWC00000DD119YAD,5250 Integrator,Subscription,802WC00000LyOhhYAF
802WC00000LyOhjYAF,01tWC00000DD119YAD,5250 Integrator,Subscription,802WC00000LyOhhYAF
802WC00000LyPx8YAF,01tWC00000DD119YAD,5250 Integrator,Subscription,802WC00000LyPx7YAF
802WC00000LyPx9YAF,01tWC00000DD119YAD,5250 Integrator,Subscription,802WC00000LyPx7YAF
802WC00000LySTbYAN,01tWC00000DD119YAD,5250 Integrator,Subscription,802WC00000LySTaYAN
802WC00000LySTcYAN,01tWC00000DD119YAD,5250 Integrator,Subscription,802WC00000LySTaYAN
802WC00000M9boUYAR,01tWC00000DD119YAD,5250 Integrator,Subscription,802WC00000M9boTYAR
802WC00000M9boVYAR,01tWC00000DD119YAD,5250 Integrator,Subscription,802WC00000M9boTYAR
802WC00000MIXISYA5,01tWC00000DD117YAD,5250 Integrator,Perpetual,802WC00000MIXIRYA5
802WC00000MIXITYA5,01tWC00000DD117YAD,5250 Integrator,Perpetual,802WC00000MIXIRYA5
802WC00000MrnPNYAZ,01tWC00000DD11iYAD,Advanced Reporting Suite,Subscription,802WC00000MrnPLYAZ
802WC00000MrnPOYAZ,01tWC00000DD11iYAD,Advanced Reporting Suite,Subscription,802WC00000MrnPLYAZ
802WC00000MrnPPYAZ,01tWC00000DD11iYAD,Advanced Reporting Suite,Subscription,802WC00000MrnPLYAZ
802WC00000MrnPQYAZ,01tWC00000DD11iYAD,Advanced Reporting Suite,Subscription,802WC00000MrnPLYAZ
802WC00000MrnPRYAZ,01tWC00000DD11iYAD,Advanced Reporting Suite,Subscription,802WC00000MrnPLYAZ
802WC00000MrnPSYAZ,01tWC00000DD11iYAD,Advanced Reporting Suite,Subscription,802WC00000MrnPLYAZ
802WC00000MrnPTYAZ,01tWC00000DD11iYAD,Advanced Reporting Suite,Subscription,802WC00000MrnPLYAZ
802WC00000MrnPUYAZ,01tWC00000DD11iYAD,Advanced Reporting Suite,Subscription,802WC00000MrnPLYAZ
802WC00000MrnPVYAZ,01tWC00000DD11iYAD,Advanced Reporting Suite,Subscription,802WC00000MrnPLYAZ
802WC00000OHEX0YAP,01tWC00000DD117YAD,5250 Integrator,Perpetual,802WC00000OHEWzYAP
802WC00000OHEX1YAP,01tWC00000DD117YAD,5250 Integrator,Perpetual,802WC00000OHEWzYAP
802WC00000OHEX2YAP,01tWC00000DD117YAD,5250 Integrator,Perpetual,802WC00000OHEWzYAP
802WC00000OHEX3YAP,01tWC00000DD117YAD,5250 Integrator,Perpetual,802WC00000OHEWzYAP
802WC00000OQLFxYAP,01tWC00000DD117YAD,5250 Integrator,Perpetual,802WC00000OQLFwYAP
802WC00000OQLFyYAP,01tWC00000DD117YAD,5250 Integrator,Perpetual,802WC00000OQLFwYAP
802WC00000OUUPSYA5,01tWC00000DD117YAD,5250 Integrator,Perpetual,802WC00000OUUPRYA5
