67.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
17:13:44.14 (14058094)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
17:13:44.14 (14174474)|EXECUTION_STARTED
17:13:44.14 (14197744)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
17:13:44.14 (15206838)|CODE_UNIT_FINISHED|Flow:Quote
17:13:44.14 (15240773)|EXECUTION_FINISHED
17:13:44.26 (26017278)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
17:13:44.26 (26034734)|EXECUTION_STARTED
17:13:44.26 (26045234)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
17:13:44.26 (26077713)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
17:13:44.26 (26127496)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:13:44.26 (26287334)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:13:44.26 (27006319)|HEAP_ALLOCATE|[95]|Bytes:3
17:13:44.26 (27058819)|HEAP_ALLOCATE|[100]|Bytes:152
17:13:44.26 (27072516)|HEAP_ALLOCATE|[417]|Bytes:408
17:13:44.26 (27082994)|HEAP_ALLOCATE|[430]|Bytes:408
17:13:44.26 (27101679)|HEAP_ALLOCATE|[317]|Bytes:6
17:13:44.26 (27122602)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:13:44.26 (27155440)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
17:13:44.26 (27272854)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x5a7c76db
17:13:44.26 (27312228)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:13:44.26 (27319146)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
17:13:44.26 (27325994)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x5a7c76db
17:13:44.26 (27330612)|STATEMENT_EXECUTE|[4]
17:13:44.26 (27346457)|HEAP_ALLOCATE|[68]|Bytes:5
17:13:44.26 (27372421)|HEAP_ALLOCATE|[74]|Bytes:5
17:13:44.26 (27377255)|HEAP_ALLOCATE|[82]|Bytes:7
17:13:44.26 (27423319)|STATEMENT_EXECUTE|[5]
17:13:44.26 (27424292)|STATEMENT_EXECUTE|[6]
17:13:44.26 (34504231)|VARIABLE_SCOPE_BEGIN|[9]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|String|false|true
17:13:44.26 (34520212)|VARIABLE_SCOPE_BEGIN|[8]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|String|false|true
17:13:44.26 (34562628)|HEAP_ALLOCATE|[6]|Bytes:5
17:13:44.26 (34569799)|HEAP_ALLOCATE|[6]|Bytes:5
17:13:44.26 (34597599)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|"Renew"
