67.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
19:47:58.0 (928746)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
19:47:58.0 (1060259)|EXECUTION_STARTED
19:47:58.0 (1107353)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
19:47:58.0 (1967529)|CODE_UNIT_FINISHED|Flow:Quote
19:47:58.0 (1992462)|EXECUTION_FINISHED
19:47:58.10 (10746603)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
19:47:58.10 (10779681)|EXECUTION_STARTED
19:47:58.10 (10803656)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
19:47:58.10 (10835382)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
19:47:58.10 (10885775)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
19:47:58.10 (11200769)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
19:47:58.10 (12860199)|HEAP_ALLOCATE|[95]|Bytes:3
19:47:58.10 (12910725)|HEAP_ALLOCATE|[100]|Bytes:152
19:47:58.10 (12926816)|HEAP_ALLOCATE|[417]|Bytes:408
19:47:58.10 (12937844)|HEAP_ALLOCATE|[430]|Bytes:408
19:47:58.10 (12960467)|HEAP_ALLOCATE|[317]|Bytes:6
19:47:58.10 (12978797)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
19:47:58.10 (12984518)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
19:47:58.10 (13056836)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x4acf5369
19:47:58.10 (13079805)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
19:47:58.10 (13114614)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
19:47:58.10 (13124006)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x4acf5369
19:47:58.10 (13129380)|STATEMENT_EXECUTE|[4]
19:47:58.10 (13146505)|HEAP_ALLOCATE|[68]|Bytes:5
19:47:58.10 (13169249)|HEAP_ALLOCATE|[74]|Bytes:5
19:47:58.10 (13174646)|HEAP_ALLOCATE|[82]|Bytes:7
19:47:58.10 (13205716)|STATEMENT_EXECUTE|[5]
19:47:58.10 (13206692)|STATEMENT_EXECUTE|[6]
19:47:58.10 (18011336)|VARIABLE_SCOPE_BEGIN|[9]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|String|false|true
19:47:58.10 (18027571)|VARIABLE_SCOPE_BEGIN|[8]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|String|false|true
19:47:58.10 (18079604)|HEAP_ALLOCATE|[6]|Bytes:5
19:47:58.10 (18089007)|HEAP_ALLOCATE|[6]|Bytes:5
19:47:58.10 (18114457)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|"Renew"
19:47:58.10 (18117467)|HEAP_ALLOCATE|[6]|Bytes:7
19:47:58.10 (18121237)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|"Renewal"
19:47:58.10 (18150770)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.QuoteRenewalTypeHandler()
19:47:58.10 (18157575)|STATEMENT_EXECUTE|[6]
19:47:58.10 (18163296)|STATEMENT_EXECUTE|[6]
19:47:58.10 (18179210)|SYSTEM_MODE_ENTER|false
19:47:58.10 (18361915)|HEAP_ALLOCATE|[6]|Bytes:5
19:47:58.10 (18370698)|SYSTEM_MODE_EXIT|false
19:47:58.10 (18386275)|METHOD_EXIT|[6]|QuoteRenewalTypeHandler
19:47:58.10 (18409745)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.applyRenewalQuoteType(List<Quote>)
19:47:58.10 (18437266)|VARIABLE_SCOPE_BEGIN|[11]|quotes|List<Quote>|true|false
