67.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
16:59:24.1 (1079896)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
16:59:24.1 (1204209)|EXECUTION_STARTED
16:59:24.1 (1234628)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
16:59:24.1 (2035618)|CODE_UNIT_FINISHED|Flow:Quote
16:59:24.1 (2084179)|EXECUTION_FINISHED
16:59:24.4 (4634161)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
16:59:24.4 (4674185)|EXECUTION_STARTED
16:59:24.4 (4694308)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
16:59:24.4 (4776198)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
16:59:24.4 (4849151)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:59:24.4 (4971858)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:59:24.4 (6382084)|HEAP_ALLOCATE|[95]|Bytes:3
16:59:24.4 (6492292)|HEAP_ALLOCATE|[100]|Bytes:152
16:59:24.4 (6514604)|HEAP_ALLOCATE|[417]|Bytes:408
16:59:24.4 (6535379)|HEAP_ALLOCATE|[430]|Bytes:408
16:59:24.4 (6562187)|HEAP_ALLOCATE|[317]|Bytes:6
16:59:24.4 (6589784)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:59:24.4 (6652168)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
16:59:24.4 (6793832)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x34acea03
16:59:24.4 (6877152)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:59:24.4 (6898963)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
16:59:24.4 (6933724)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x34acea03
16:59:24.4 (6959633)|STATEMENT_EXECUTE|[4]
16:59:24.4 (6987365)|HEAP_ALLOCATE|[68]|Bytes:5
16:59:24.4 (7032036)|HEAP_ALLOCATE|[74]|Bytes:5
16:59:24.4 (7046775)|HEAP_ALLOCATE|[82]|Bytes:7
16:59:24.4 (7087450)|STATEMENT_EXECUTE|[5]
16:59:24.4 (7091398)|STATEMENT_EXECUTE|[6]
