67.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
17:01:58.1 (1806206)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
17:01:58.1 (1896202)|EXECUTION_STARTED
17:01:58.1 (1914556)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
17:01:58.1 (2564168)|CODE_UNIT_FINISHED|Flow:Quote
17:01:58.1 (2592928)|EXECUTION_FINISHED
17:01:58.7 (7542637)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
17:01:58.7 (7569665)|EXECUTION_STARTED
17:01:58.7 (7586213)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
17:01:58.7 (7653565)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
17:01:58.7 (7722430)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:01:58.7 (7860365)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:01:58.7 (8642745)|HEAP_ALLOCATE|[95]|Bytes:3
17:01:58.7 (8706002)|HEAP_ALLOCATE|[100]|Bytes:152
17:01:58.7 (8747521)|HEAP_ALLOCATE|[417]|Bytes:408
17:01:58.7 (8760014)|HEAP_ALLOCATE|[430]|Bytes:408
17:01:58.7 (8783487)|HEAP_ALLOCATE|[317]|Bytes:6
17:01:58.7 (8803884)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:01:58.7 (8869476)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
17:01:58.7 (9015783)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x44f19a7c
17:01:58.7 (9062892)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:01:58.7 (9074808)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
17:01:58.7 (9095540)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x44f19a7c
17:01:58.7 (9110789)|STATEMENT_EXECUTE|[4]
17:01:58.7 (9129401)|HEAP_ALLOCATE|[68]|Bytes:5
17:01:58.7 (9168608)|HEAP_ALLOCATE|[74]|Bytes:5
17:01:58.7 (9179527)|HEAP_ALLOCATE|[82]|Bytes:7
17:01:58.7 (9214028)|STATEMENT_EXECUTE|[5]
17:01:58.7 (9216564)|STATEMENT_EXECUTE|[6]
17:01:58.7 (20033915)|VARIABLE_SCOPE_BEGIN|[9]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|String|false|true
17:01:58.7 (20081486)|VARIABLE_SCOPE_BEGIN|[8]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|String|false|true
17:01:58.7 (20165296)|HEAP_ALLOCATE|[6]|Bytes:5
17:01:58.7 (20190176)|HEAP_ALLOCATE|[6]|Bytes:5
17:01:58.7 (20247201)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|"Renew"
17:01:58.7 (20252346)|HEAP_ALLOCATE|[6]|Bytes:7
17:01:58.7 (20794371)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|"Renewal"
17:01:58.7 (20842307)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.QuoteRenewalTypeHandler()
17:01:58.7 (20858588)|STATEMENT_EXECUTE|[6]
17:01:58.7 (20864880)|STATEMENT_EXECUTE|[6]
17:01:58.7 (22748256)|SYSTEM_MODE_ENTER|false
17:01:58.7 (22956235)|HEAP_ALLOCATE|[6]|Bytes:5
17:01:58.7 (23022043)|SYSTEM_MODE_EXIT|false
17:01:58.7 (23060572)|METHOD_EXIT|[6]|QuoteRenewalTypeHandler
