67.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
17:00:09.1 (1632004)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
17:00:09.1 (1768431)|EXECUTION_STARTED
17:00:09.1 (1788413)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
17:00:09.1 (2561547)|CODE_UNIT_FINISHED|Flow:Quote
17:00:09.1 (2578227)|EXECUTION_FINISHED
17:00:09.14 (14713012)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
17:00:09.14 (14740749)|EXECUTION_STARTED
17:00:09.14 (14748947)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
17:00:09.14 (14810524)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
17:00:09.14 (14891655)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:00:09.14 (15042255)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:00:09.14 (15835035)|HEAP_ALLOCATE|[95]|Bytes:3
17:00:09.14 (15929360)|HEAP_ALLOCATE|[100]|Bytes:152
17:00:09.14 (15947307)|HEAP_ALLOCATE|[417]|Bytes:408
17:00:09.14 (15960189)|HEAP_ALLOCATE|[430]|Bytes:408
17:00:09.14 (15984316)|HEAP_ALLOCATE|[317]|Bytes:6
17:00:09.14 (16007984)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:00:09.14 (16067346)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
17:00:09.14 (16231885)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x1ac7c794
17:00:09.14 (16297079)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:00:09.14 (16340625)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
17:00:09.14 (16364562)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x1ac7c794
17:00:09.14 (16381079)|STATEMENT_EXECUTE|[4]
17:00:09.14 (16402511)|HEAP_ALLOCATE|[68]|Bytes:5
17:00:09.14 (16445443)|HEAP_ALLOCATE|[74]|Bytes:5
17:00:09.14 (16455923)|HEAP_ALLOCATE|[82]|Bytes:7
17:00:09.14 (16492814)|STATEMENT_EXECUTE|[5]
17:00:09.14 (16495008)|STATEMENT_EXECUTE|[6]
17:00:09.14 (24321097)|VARIABLE_SCOPE_BEGIN|[9]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|String|false|true
17:00:09.14 (24358853)|VARIABLE_SCOPE_BEGIN|[8]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|String|false|true
17:00:09.14 (24441728)|HEAP_ALLOCATE|[6]|Bytes:5
17:00:09.14 (24469600)|HEAP_ALLOCATE|[6]|Bytes:5
17:00:09.14 (24547553)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|"Renew"
17:00:09.14 (24556118)|HEAP_ALLOCATE|[6]|Bytes:7
