67.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
17:52:22.1 (1009989)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
17:52:22.1 (1148376)|EXECUTION_STARTED
17:52:22.1 (1202446)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
17:52:22.1 (1994024)|CODE_UNIT_FINISHED|Flow:Quote
17:52:22.1 (2018496)|EXECUTION_FINISHED
17:52:22.10 (10017844)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
17:52:22.10 (10047672)|EXECUTION_STARTED
17:52:22.10 (10083750)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
17:52:22.10 (10236235)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
17:52:22.10 (10297260)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:52:22.10 (10444623)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:52:22.10 (12103363)|HEAP_ALLOCATE|[95]|Bytes:3
17:52:22.10 (12159613)|HEAP_ALLOCATE|[100]|Bytes:152
17:52:22.10 (12174803)|HEAP_ALLOCATE|[417]|Bytes:408
17:52:22.10 (12187458)|HEAP_ALLOCATE|[430]|Bytes:408
17:52:22.10 (12209546)|HEAP_ALLOCATE|[317]|Bytes:6
17:52:22.10 (12231866)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:52:22.10 (12288761)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
17:52:22.10 (21056655)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x56ade0e5
17:52:22.10 (21232343)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:52:22.10 (21285643)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
17:52:22.10 (21348918)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x56ade0e5
17:52:22.10 (21359721)|STATEMENT_EXECUTE|[4]
17:52:22.10 (21395561)|HEAP_ALLOCATE|[68]|Bytes:5
17:52:22.10 (21446271)|HEAP_ALLOCATE|[74]|Bytes:5
17:52:22.10 (21460128)|HEAP_ALLOCATE|[82]|Bytes:7
17:52:22.10 (21509099)|STATEMENT_EXECUTE|[5]
17:52:22.10 (21511731)|STATEMENT_EXECUTE|[6]
