Id,QuoteId,Source_List_Price__c,NetUnitPrice,Product2.Name
0QLWC000003broQ4AQ,0Q0WC0000036elp0AA,2008.0,0.0,CCM Limited Scan Engine-NewMaintenance
0QLWC000003broR4AQ,0Q0WC0000036elp0AA,2008.0,462.0,CCM Limited Scan Engine-NewMaintenance
0QLWC000003cL1i4AE,0Q0WC00000379ZV0AY,10000.0,3000.0,EFT 8 Continuum-NewMaintenance
0QLWC000003cMIj4AM,0Q0WC00000379sr0AA,355.0,,Powertech Identity & Access Manager (BoKS)-NewMaintenance
0QLWC000003cVgz4AE,0Q0WC0000037K3V0AU,355.0,,Powertech Identity & Access Manager (BoKS)-NewMaintenance
0QLWC000003cj2P4AQ,0Q0WC0000037Xgf0AE,355.0,,Powertech Identity & Access Manager (BoKS)-NewMaintenance
0QLWC000003d2Q14AI,0Q0WC0000037rFZ0AY,355.0,71.0,Powertech Identity & Access Manager (BoKS)-NewMaintenance
0QLWC000003d2Q34AI,0Q0WC0000037rFZ0AY,355.0,71.0,Powertech Identity & Access Manager (BoKS)-NewMaintenance
0QLWC000003d2Q44AI,0Q0WC0000037rFZ0AY,355.0,71.0,Powertech Identity & Access Manager (BoKS)-NewMaintenance
0QLWC000003d2Q94AI,0Q0WC0000037rFZ0AY,355.0,71.0,Powertech Identity & Access Manager (BoKS)-NewMaintenance
0QLWC000003d2QE4AY,0Q0WC0000037rFZ0AY,355.0,71.0,Powertech Identity & Access Manager (BoKS)-NewMaintenance
0QLWC000003d2QG4AY,0Q0WC0000037rFZ0AY,355.0,71.0,Powertech Identity & Access Manager (BoKS)-NewMaintenance
0QLWC000003d2QR4AY,0Q0WC0000037rFZ0AY,355.0,,Powertech Identity & Access Manager (BoKS)-NewMaintenance
0QLWC000003d2QT4AY,0Q0WC0000037rFZ0AY,355.0,71.0,Powertech Identity & Access Manager (BoKS)-NewMaintenance
0QLWC000003d2QU4AY,0Q0WC0000037rFZ0AY,355.0,71.0,Powertech Identity & Access Manager (BoKS)-NewMaintenance
0QLWC000003d2QV4AY,0Q0WC0000037rFZ0AY,355.0,71.0,Powertech Identity & Access Manager (BoKS)-NewMaintenance
