DeveloperName,Solution_Category__c,Default_Uplift_Percent__c,Is_Active__c,Effective_Start_Date__c,Effective_End_Date__c
Brand_Protection,Brand Protection,5,true,,
Business_Intelligence,Business Intelligence,7.85,true,,
Capacity_Management,Capacity Management,4.7,true,,
Cloud_Data_Protection,Cloud Data Protection,5,true,,
Core_IGA,Core IGA,4.7,true,,
Cybersecurity,Cybersecurity,7.85,true,,
Data_Protection,Data Protection,4.7,true,,
Doc_Management,Doc Management,7.85,true,,
Email_Security,Email Security,5,true,,
File_Integrity_Monitoring,File Integrity Monitoring,5,true,,
Fortra_Platform,Fortra Platform,0,true,,
Globalscape,Globalscape,7.85,true,,
GoAnywhere,GoAnywhere,7.85,true,,
Human_Risk_Management,Human Risk Management,5,true,,
IPP,IPP,0,true,,
Network_Monitoring,Network Monitoring,7.85,true,,
Offensive_Security,Offensive Security,6.2,true,,
Powertech_IAM_BoKS,Powertech IAM BoKS,7.85,true,,
TEMP_BoKS_IAM_ProductCat,Powertech Identity & Access Manager (BoKS),7.85,true,,
Robotic_Process_Automation,Robotic Process Automation,9.85,true,,
Systems_Management,Systems Management,7.85,true,,
Vulnerability_Management,Vulnerability Management,6.2,true,,
