64.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
19:39:07.1 (1509324)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
19:39:07.1 (1706208)|EXECUTION_STARTED
19:39:07.1 (1766941)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
19:39:07.1 (2774677)|CODE_UNIT_FINISHED|Flow:Quote
19:39:07.1 (2803002)|EXECUTION_FINISHED
19:39:07.16 (16027552)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
19:39:07.16 (16070396)|EXECUTION_STARTED
19:39:07.16 (16094004)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
19:39:07.16 (16140204)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
19:39:07.16 (16182240)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
19:39:07.16 (16458462)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
19:39:07.16 (17189534)|HEAP_ALLOCATE|[95]|Bytes:3
19:39:07.16 (17229268)|HEAP_ALLOCATE|[100]|Bytes:152
19:39:07.16 (17245059)|HEAP_ALLOCATE|[417]|Bytes:408
19:39:07.16 (17256145)|HEAP_ALLOCATE|[430]|Bytes:408
19:39:07.16 (17274668)|HEAP_ALLOCATE|[317]|Bytes:6
19:39:07.16 (17295135)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
19:39:07.16 (17312432)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
19:39:07.16 (17400646)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x26b85d8
