64.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
19:38:35.1 (1086811)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
19:38:35.1 (1195919)|EXECUTION_STARTED
19:38:35.1 (1243070)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
19:38:35.1 (2155349)|CODE_UNIT_FINISHED|Flow:Quote
19:38:35.1 (2186499)|EXECUTION_FINISHED
19:38:35.11 (11212484)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
19:38:35.11 (11230659)|EXECUTION_STARTED
19:38:35.11 (11250441)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
19:38:35.11 (11335729)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
19:38:35.11 (11387063)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
19:38:35.11 (11690877)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
19:38:35.11 (13009682)|HEAP_ALLOCATE|[95]|Bytes:3
19:38:35.11 (13070974)|HEAP_ALLOCATE|[100]|Bytes:152
19:38:35.11 (13085012)|HEAP_ALLOCATE|[417]|Bytes:408
19:38:35.11 (13096944)|HEAP_ALLOCATE|[430]|Bytes:408
19:38:35.11 (13116570)|HEAP_ALLOCATE|[317]|Bytes:6
19:38:35.11 (13138116)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
19:38:35.11 (13158335)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
19:38:35.11 (13350547)|VARIABLE_ASSIGNMENT|[4]|this|{}|0xe7f03d5
19:38:35.11 (13422487)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
19:38:35.11 (13430168)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
19:38:35.11 (13454586)|VARIABLE_ASSIGNMENT|[4]|this|{}|0xe7f03d5
19:38:35.11 (13464104)|STATEMENT_EXECUTE|[4]
19:38:35.11 (13486509)|HEAP_ALLOCATE|[68]|Bytes:5
19:38:35.11 (13517676)|HEAP_ALLOCATE|[74]|Bytes:5
19:38:35.11 (13526247)|HEAP_ALLOCATE|[82]|Bytes:7
19:38:35.11 (13562709)|STATEMENT_EXECUTE|[5]
19:38:35.11 (13564097)|STATEMENT_EXECUTE|[6]
19:38:35.11 (19779056)|VARIABLE_SCOPE_BEGIN|[9]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|String|false|true
19:38:35.11 (19799910)|VARIABLE_SCOPE_BEGIN|[8]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|String|false|true
19:38:35.11 (19854565)|HEAP_ALLOCATE|[6]|Bytes:5
19:38:35.11 (19864886)|HEAP_ALLOCATE|[6]|Bytes:5
19:38:35.11 (19924656)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|"Renew"
19:38:35.11 (19930615)|HEAP_ALLOCATE|[6]|Bytes:7
19:38:35.11 (19937620)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|"Renewal"
19:38:35.11 (19994227)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.QuoteRenewalTypeHandler()
19:38:35.11 (20004105)|STATEMENT_EXECUTE|[6]
19:38:35.11 (20013695)|STATEMENT_EXECUTE|[6]
19:38:35.11 (20040220)|SYSTEM_MODE_ENTER|false
19:38:35.11 (20621254)|HEAP_ALLOCATE|[6]|Bytes:5
19:38:35.11 (20644803)|SYSTEM_MODE_EXIT|false
19:38:35.11 (20668867)|METHOD_EXIT|[6]|QuoteRenewalTypeHandler
19:38:35.11 (20707140)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.applyRenewalQuoteType(List<Quote>)
19:38:35.11 (20742995)|VARIABLE_SCOPE_BEGIN|[11]|quotes|List<Quote>|true|false
