67.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
19:44:28.0 (864030)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
19:44:28.0 (969921)|EXECUTION_STARTED
19:44:28.0 (1011664)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
19:44:28.0 (1812111)|CODE_UNIT_FINISHED|Flow:Quote
19:44:28.0 (1837614)|EXECUTION_FINISHED
19:44:28.7 (7941130)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
19:44:28.7 (7977342)|EXECUTION_STARTED
19:44:28.7 (8011435)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
19:44:28.7 (8073886)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
19:44:28.7 (8151324)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
19:44:28.7 (8314856)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
19:44:28.7 (9574993)|HEAP_ALLOCATE|[95]|Bytes:3
19:44:28.7 (9637282)|HEAP_ALLOCATE|[100]|Bytes:152
19:44:28.7 (9672230)|HEAP_ALLOCATE|[417]|Bytes:408
19:44:28.7 (9684076)|HEAP_ALLOCATE|[430]|Bytes:408
19:44:28.7 (9707164)|HEAP_ALLOCATE|[317]|Bytes:6
19:44:28.7 (9732360)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
19:44:28.7 (9790435)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
19:44:28.7 (10001597)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x1c55aabd
19:44:28.7 (10083144)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
19:44:28.7 (10092967)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
19:44:28.7 (10153114)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x1c55aabd
19:44:28.7 (10176776)|STATEMENT_EXECUTE|[4]
19:44:28.7 (10203778)|HEAP_ALLOCATE|[68]|Bytes:5
19:44:28.7 (10229743)|HEAP_ALLOCATE|[74]|Bytes:5
19:44:28.7 (10236046)|HEAP_ALLOCATE|[82]|Bytes:7
19:44:28.7 (10282276)|STATEMENT_EXECUTE|[5]
19:44:28.7 (10283587)|STATEMENT_EXECUTE|[6]
19:44:28.7 (17548106)|VARIABLE_SCOPE_BEGIN|[9]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|String|false|true
19:44:28.7 (17566139)|VARIABLE_SCOPE_BEGIN|[8]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|String|false|true
19:44:28.7 (17638162)|HEAP_ALLOCATE|[6]|Bytes:5
19:44:28.7 (17650938)|HEAP_ALLOCATE|[6]|Bytes:5
19:44:28.7 (17717388)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|"Renew"
19:44:28.7 (17721779)|HEAP_ALLOCATE|[6]|Bytes:7
19:44:28.7 (17726642)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|"Renewal"
19:44:28.7 (17769970)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.QuoteRenewalTypeHandler()
19:44:28.7 (17776456)|STATEMENT_EXECUTE|[6]
19:44:28.7 (17788644)|STATEMENT_EXECUTE|[6]
19:44:28.7 (18998282)|SYSTEM_MODE_ENTER|false
19:44:28.7 (19412857)|HEAP_ALLOCATE|[6]|Bytes:5
19:44:28.7 (19435792)|SYSTEM_MODE_EXIT|false
19:44:28.7 (19470673)|METHOD_EXIT|[6]|QuoteRenewalTypeHandler
19:44:28.7 (19541216)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.applyRenewalQuoteType(List<Quote>)
19:44:28.7 (19593152)|VARIABLE_SCOPE_BEGIN|[11]|quotes|List<Quote>|true|false
