64.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,NONE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,NONE;WORKFLOW,INFO
19:28:13.3 (3558281)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
19:28:13.3 (3673264)|EXECUTION_STARTED
19:28:13.3 (3695236)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
19:28:13.3 (4510385)|CODE_UNIT_FINISHED|Flow:Quote
19:28:13.3 (4533966)|EXECUTION_FINISHED
19:28:13.12 (12940058)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
19:28:13.12 (12962958)|EXECUTION_STARTED
19:28:13.12 (12982525)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
19:28:13.12 (13066055)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
19:28:13.12 (13123770)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
19:28:13.12 (13411099)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
19:28:13.12 (15093053)|HEAP_ALLOCATE|[95]|Bytes:3
19:28:13.12 (15161075)|HEAP_ALLOCATE|[100]|Bytes:152
19:28:13.12 (15177082)|HEAP_ALLOCATE|[417]|Bytes:408
19:28:13.12 (15188798)|HEAP_ALLOCATE|[430]|Bytes:408
19:28:13.12 (15211541)|HEAP_ALLOCATE|[317]|Bytes:6
19:28:13.12 (15235993)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
19:28:13.12 (15268288)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
19:28:13.12 (15417124)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x5ea37233
19:28:13.12 (15498716)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
19:28:13.12 (15510898)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
19:28:13.12 (15545256)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x5ea37233
19:28:13.12 (15555305)|STATEMENT_EXECUTE|[4]
19:28:13.12 (15575706)|HEAP_ALLOCATE|[68]|Bytes:5
19:28:13.12 (15610079)|HEAP_ALLOCATE|[74]|Bytes:5
19:28:13.12 (15629054)|HEAP_ALLOCATE|[82]|Bytes:7
19:28:13.12 (15693806)|STATEMENT_EXECUTE|[5]
19:28:13.12 (15696052)|STATEMENT_EXECUTE|[6]
19:28:13.12 (21634870)|VARIABLE_SCOPE_BEGIN|[9]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|String|false|true
19:28:13.12 (21660368)|VARIABLE_SCOPE_BEGIN|[8]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|String|false|true
19:28:13.12 (21715527)|HEAP_ALLOCATE|[6]|Bytes:5
19:28:13.12 (21730136)|HEAP_ALLOCATE|[6]|Bytes:5
19:28:13.12 (21773879)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|"Renew"
19:28:13.12 (21778580)|HEAP_ALLOCATE|[6]|Bytes:7
19:28:13.12 (21787715)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|"Renewal"
19:28:13.12 (21832964)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.QuoteRenewalTypeHandler()
19:28:13.12 (21840924)|STATEMENT_EXECUTE|[6]
19:28:13.12 (21847202)|STATEMENT_EXECUTE|[6]
19:28:13.12 (21862498)|SYSTEM_MODE_ENTER|false
19:28:13.12 (22347315)|HEAP_ALLOCATE|[6]|Bytes:5
19:28:13.12 (22363685)|SYSTEM_MODE_EXIT|false
19:28:13.12 (22382559)|METHOD_EXIT|[6]|QuoteRenewalTypeHandler
19:28:13.12 (22435649)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.applyRenewalQuoteType(List<Quote>)
19:28:13.12 (22498942)|VARIABLE_SCOPE_BEGIN|[11]|quotes|List<Quote>|true|false
