64.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,NONE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,NONE;WORKFLOW,INFO
21:17:14.1 (1006947)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
21:17:14.1 (1093113)|EXECUTION_STARTED
21:17:14.1 (1110372)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
21:17:14.1 (1884526)|CODE_UNIT_FINISHED|Flow:Quote
21:17:14.1 (1908600)|EXECUTION_FINISHED
21:17:14.26 (26251218)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
21:17:14.26 (26277281)|EXECUTION_STARTED
21:17:14.26 (26288938)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
21:17:14.26 (26319552)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
21:17:14.26 (26382196)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
21:17:14.26 (26543107)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
21:17:14.26 (28188711)|HEAP_ALLOCATE|[95]|Bytes:3
21:17:14.26 (28242168)|HEAP_ALLOCATE|[100]|Bytes:152
21:17:14.26 (28257083)|HEAP_ALLOCATE|[417]|Bytes:408
21:17:14.26 (28268610)|HEAP_ALLOCATE|[430]|Bytes:408
21:17:14.26 (28287598)|HEAP_ALLOCATE|[317]|Bytes:6
21:17:14.26 (28309442)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
21:17:14.26 (28329646)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
21:17:14.26 (28490353)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x4221df58
21:17:14.26 (28536539)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
21:17:14.26 (28542257)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
21:17:14.26 (28549584)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x4221df58
21:17:14.26 (28558896)|STATEMENT_EXECUTE|[4]
21:17:14.26 (28576614)|HEAP_ALLOCATE|[68]|Bytes:5
21:17:14.26 (28602615)|HEAP_ALLOCATE|[74]|Bytes:5
21:17:14.26 (28608196)|HEAP_ALLOCATE|[82]|Bytes:7
21:17:14.26 (28643089)|STATEMENT_EXECUTE|[5]
21:17:14.26 (28643965)|STATEMENT_EXECUTE|[6]
21:17:14.26 (42836352)|VARIABLE_SCOPE_BEGIN|[9]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|String|false|true
21:17:14.26 (42854052)|VARIABLE_SCOPE_BEGIN|[8]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|String|false|true
21:17:14.26 (42920573)|HEAP_ALLOCATE|[6]|Bytes:5
21:17:14.26 (42928763)|HEAP_ALLOCATE|[6]|Bytes:5
21:17:14.26 (42965546)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|"Renew"
21:17:14.26 (42968675)|HEAP_ALLOCATE|[6]|Bytes:7
21:17:14.26 (42972388)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|"Renewal"
21:17:14.26 (43010382)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.QuoteRenewalTypeHandler()
21:17:14.26 (43017681)|STATEMENT_EXECUTE|[6]
21:17:14.26 (43023156)|STATEMENT_EXECUTE|[6]
21:17:14.26 (43931621)|SYSTEM_MODE_ENTER|false
21:17:14.26 (44165923)|HEAP_ALLOCATE|[6]|Bytes:5
