64.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,NONE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,NONE;WORKFLOW,INFO
20:01:59.0 (314622)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
20:01:59.0 (460817)|EXECUTION_STARTED
20:01:59.0 (472484)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
20:01:59.0 (1279334)|CODE_UNIT_FINISHED|Flow:Quote
20:01:59.0 (1301149)|EXECUTION_FINISHED
20:01:59.5 (5962815)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
20:01:59.5 (5997865)|EXECUTION_STARTED
20:01:59.5 (6006925)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
20:01:59.5 (6036373)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
20:01:59.5 (6093891)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
20:01:59.5 (6405117)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
20:01:59.5 (7034339)|HEAP_ALLOCATE|[95]|Bytes:3
20:01:59.5 (7106626)|HEAP_ALLOCATE|[100]|Bytes:152
20:01:59.5 (7120110)|HEAP_ALLOCATE|[417]|Bytes:408
20:01:59.5 (7130715)|HEAP_ALLOCATE|[430]|Bytes:408
20:01:59.5 (7153154)|HEAP_ALLOCATE|[317]|Bytes:6
20:01:59.5 (7170893)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
20:01:59.5 (7178273)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
20:01:59.5 (7253985)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x37080d0c
20:01:59.5 (7277754)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
20:01:59.5 (7281699)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
20:01:59.5 (7289252)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x37080d0c
20:01:59.5 (7295013)|STATEMENT_EXECUTE|[4]
20:01:59.5 (7313395)|HEAP_ALLOCATE|[68]|Bytes:5
20:01:59.5 (7336326)|HEAP_ALLOCATE|[74]|Bytes:5
20:01:59.5 (7341691)|HEAP_ALLOCATE|[82]|Bytes:7
20:01:59.5 (7374765)|STATEMENT_EXECUTE|[5]
20:01:59.5 (7376006)|STATEMENT_EXECUTE|[6]
20:01:59.5 (7585646)|VARIABLE_SCOPE_BEGIN|[9]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|String|false|true
20:01:59.5 (7591452)|VARIABLE_SCOPE_BEGIN|[8]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|String|false|true
20:01:59.5 (7607505)|HEAP_ALLOCATE|[6]|Bytes:5
20:01:59.5 (7610945)|HEAP_ALLOCATE|[6]|Bytes:5
20:01:59.5 (7628350)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|"Renew"
20:01:59.5 (7630851)|HEAP_ALLOCATE|[6]|Bytes:7
20:01:59.5 (7634389)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|"Renewal"
20:01:59.5 (7657523)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.QuoteRenewalTypeHandler()
20:01:59.5 (7663188)|STATEMENT_EXECUTE|[6]
20:01:59.5 (7666662)|STATEMENT_EXECUTE|[6]
20:01:59.5 (7677113)|SYSTEM_MODE_ENTER|false
20:01:59.5 (7847694)|HEAP_ALLOCATE|[6]|Bytes:5
20:01:59.5 (7857825)|SYSTEM_MODE_EXIT|false
20:01:59.5 (7869257)|METHOD_EXIT|[6]|QuoteRenewalTypeHandler
20:01:59.5 (7886230)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.applyRenewalQuoteType(List<Quote>)
20:01:59.5 (7901414)|VARIABLE_SCOPE_BEGIN|[11]|quotes|List<Quote>|true|false
20:01:59.5 (54938796)|VARIABLE_ASSIGNMENT|[11]|quotes|[{"LastModifiedDate":"2026-06-14T02:54:47.000Z","Quote_Type__c":"Renewal","Bill_To_Place__c":"a0lWC000004n3DlYAI","Export_Compliance_Status__c":"Pending","Net_Terms_Approval__c":false,"Exchange_Rate_To_USD__c":1.0000000000,"Export_Review_Required__c":false,"Within_Renewal_Window__c":false,"IsPrimary__c":false,"Credit_Renewal_Approval__c":false,"Days_Until_Renewal__c":361,"Renewal_Contract__c":"800WC00000S5ub1YAB","QuoteAccountId":"001WC00000kTYyNYAW","Pro_Ration_Method__c":"Monthly","Renewal_ARR_Approval__c":false,"Status":"Draft","Show_Hide_Discounts__c":"Show","IsDeleted":false,"Subtotal":60.64,"Force_New_Contract__c":false,"Net_Contract_Change__c":0.00,"Signed_Quote_Approval__c":false,"Terms_and_Conditions__c":false,"Payment_Portal__c":"Fortra (default)","Original_Contract_ARR__c":0.00,"BillingStateCode":"MN","GrandTotal":60.64,"ShippingPostalCode":"55344","ShippingState":"Minnesota","Mycap__c":false,"Deal_Type__c":"Fortra Originated","Id":"0Q0WC0000038aXd0AI","Subscription_Pricing_Discount_Approval__c":false,"Net_Terms__c":"Net_30","Discount":0.00,"Services_Discount_Approval__c":false,"Total_Contract_Value_TCV__c":60.64,"LineItemCount":1,"OwnerId":"005WC00000MgTN2YAN","OpportunityId":"006WC00000QqAqjYAF","LegalEntityId":"0fwWC000000034LYAQ","Language__c":"English","ShippingCity":"Eden Prairie","GSW__c":false,"Manually_Sent__c":false,"CalculationStatus":"Saving","Corporate_Currency_Amount__c":60.64,"Annual_Contract_Value_ACV__c":60.64,"Max_Discount_on_QLIs__c":0.00,"Quote_Displaced_ARR__c":0.00,"OriginalActionType":"Renew","Ship_To_Place__c":"a0lWC000004n3DlYAI","Show_Hide_Product_Number__c":"Show","SystemModstamp":"2026-06-14T02:54:47.000Z","Create_Order_from_Quote__c":false,"BillingCountry":"United States","Manual_Discount__c":0.00,"QuoteToCountryCode":"US","TotalPrice":60.64,"AdditionalCountryCode":"US","Legal_Support_Approval__c":false,"AccountId":"001WC00000kTYyNYAW","ShippingStateCode":"MN","BillingCity":"Eden Prairie","QuoteToCountry":"United States","Total_Discount_Amount__c":0.00,"MYCAP_Approval__c":false,"Name":"Renewal Quote","License_Extension_Approval__c":false,"StartDate":"2026-06-13T00:00:00.000Z","CreatedById":"005WC00000MgTN2YAN","Auto_Renewal__c":false,"Channel_MSP_Pricing_Discount_Approval__c":false,"BillingPostalCode":"55344","Annualized_License_Equivalent_Base__c":60.64,"Show_Hide_Free_Products__c":"Show","Maintenance_Max_Discount__c":0.00,"Total_Displaced_ARR__c":0.00,"CurrencyIsoCode":"USD","LegacyRenewalQuote__c":false,"Credit_Renewal_ARR__c":false,"ShippingStreet":"11095 Viking Drive,  (9 more) ...","Annuial_Revenue_Base__c":60.64,"AdditionalCountry":"United States","Total_Quote_Line_ARR__c":0.00,"CreatedDate":"2026-06-13T03:39:55.000Z","Pricebook2Id":"01sWC0000022GHFYA2","IsSyncing":false,"Renewal_Cancellation_Approval__c":false,"BillingState":"Minnesota","TransactionType":"Fortra_Advanced_Pric (3 more) ...","Discount_Renewal_ARR__c":false,"Contains_Offensive_Security__c":false,"BillingCountryCode":"US","Temp_License_Key_Extension__c":false,"Disable_Export_Control__c":false,"ContactId":"003WC00000wxDZJYA2","PartnerAccountId":"001WC00000ZtazZYAR","Export_License_Required__c":false,"Billing_Partner__c":"001WC00000ZtazZYAR","SalesTransactionTypeId":"1ChWC0000002eJ70AI","Maintenance_Discount_Approval__c":false,"Partner_Pricing_Model__c":"Discount","ShippingCountry":"United States","LineGroupCount":0,"Approval_Status__c":"None","Unsigned_Quote_Approval__c":false,"ContractId":"800WC00000S5ub1YAB","BillToContactId":"003WC00000wxDZJYA2","QuoteTypeText__c":"Renewal","Approval_Rejected_Checkbox__c":false,"ShippingCountryCode":"US","QuoteNumber":"00781109","CanCreateQuoteLineItems":false,"ALE__c":60.64,"BillingStreet":"11095 Viking Drive,  (9 more) ...","Request_Legal_Support__c":false,"Perpetual_Pricing_Discount_Approval__c":false,"LastModifiedById":"005WC00000MgTN2YAN","Displaced_ARR_Approval__c":false}]|0x1ffd3613
20:01:59.5 (56942284)|SYSTEM_MODE_ENTER|false
20:01:59.5 (56972604)|HEAP_ALLOCATE|[12]|Bytes:5
20:01:59.5 (56985759)|STATEMENT_EXECUTE|[11]
20:01:59.5 (57070854)|SYSTEM_METHOD_ENTRY|[12]|List<Quote>.isEmpty()
20:01:59.5 (57119735)|SYSTEM_METHOD_EXIT|[12]|List<Quote>.isEmpty()
20:01:59.5 (57130555)|STATEMENT_EXECUTE|[12]
20:01:59.5 (57136838)|SYSTEM_METHOD_ENTRY|[16]|List<Quote>.iterator()
20:01:59.5 (57303101)|SYSTEM_METHOD_EXIT|[16]|List<Quote>.iterator()
20:01:59.5 (57324008)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
20:01:59.5 (57333896)|HEAP_ALLOCATE|[16]|Bytes:5
20:01:59.5 (57342588)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
20:01:59.5 (57398108)|HEAP_ALLOCATE|[16]|Bytes:4
20:01:59.5 (57410185)|VARIABLE_SCOPE_BEGIN|[16]|quote|Quote|true|false
