PricebookEntryId,ContributingProductId,maint_name,contrib_name,contrib_code,pb,cur
01uWC000005mZ7bYAE,01tWC00000DD1BUYA1,Device Profiler Ev Express-NewMaintenance,Device Profiler Ev Express,FIM-FIM-RSS-DPEEXS,Fortra Derived Pricing,USD
01uWC000005mZ7cYAE,01tWC00000DD1BUYA1,Device Profiler Ev Express-RenewalMaintenance,Device Profiler Ev Express,FIM-FIM-RSS-DPEEXS,Fortra Derived Pricing,USD
01uWC000005pHVmYAM,01tWC00000DCwWIYA1,Intermapper Server (Legacy)-NewMaintenance,Intermapper Server (Legacy),NW-INT-RSS-ISLS,Standard Price Book,USD
01uWC000005pHVsYAM,01tWC00000DCwWIYA1,Intermapper Server (Legacy)-RenewalMaintenance,Intermapper Server (Legacy),NW-INT-RSS-ISLS,Standard Price Book,USD
01uWC000005pHxFYAU,01tWC00000DD13bYAD,Flow Exporters-RenewalMaintenance,Flow Exporters,NW-AA-RSS-FLOWSU,Standard Price Book,USD
01uWC000005pIWXYA2,01tWC00000DD1q9YAD,VISUAL Message Center iSeries Base-NewMaintenance,VISUAL Message Center iSeries Base,SM-VMC-RSS-VIBS,Standard Price Book,USD
01uWC000005pIWdYAM,01tWC00000DD1q9YAD,VISUAL Message Center iSeries Base-RenewalMaintenance,VISUAL Message Center iSeries Base,SM-VMC-RSS-VIBS,Standard Price Book,USD
01uWC000005pIWjYAM,01tWC00000DD1qDYAT,VISUAL Message Center Suite for Operations-NewMaintenance,VISUAL Message Center Suite for Operations,SM-VMC-RSS-VIOS,Standard Price Book,USD
01uWC000005pIWpYAM,01tWC00000DD1qDYAT,VISUAL Message Center Suite for Operations-RenewalMaintenance,VISUAL Message Center Suite for Operations,SM-VMC-RSS-VIOS,Standard Price Book,USD
01uWC000005pIWvYAM,01tWC00000DD1qHYAT,VISUAL Remote Control-NewMaintenance,VISUAL Remote Control,SM-VMC-RSS-VRCS,Standard Price Book,USD
01uWC000005pIX1YAM,01tWC00000DD1qHYAT,VISUAL Remote Control-RenewalMaintenance,VISUAL Remote Control,SM-VMC-RSS-VRCS,Standard Price Book,USD
01uWC000005pIX7YAM,01tWC00000DD1qLYAT,VISUAL Remote Control (add-on to VSP)-NewMaintenance,VISUAL Remote Control (add-on to VSP),SM-VMC-RSS-VIVS,Standard Price Book,USD
01uWC000005pIXDYA2,01tWC00000DD1qLYAT,VISUAL Remote Control (add-on to VSP)-RenewalMaintenance,VISUAL Remote Control (add-on to VSP),SM-VMC-RSS-VIVS,Standard Price Book,USD
01uWC000005pIXVYA2,01tWC00000DD1qTYAT,Vityl Capacity Management-NewMaintenance,Vityl Capacity Management,CM-VCM-RSS-VCMS,Standard Price Book,USD
01uWC000005pIXbYAM,01tWC00000DD1qTYAT,Vityl Capacity Management-RenewalMaintenance,Vityl Capacity Management,CM-VCM-RSS-VCMS,Standard Price Book,USD
01uWC000005pIlBYAU,01tWC00000DD1wHYAT,VISUAL Control Performance Planner-RenewalMaintenance,VISUAL Control Performance Planner,SM-PN-RSS-VISCPPS,Standard Price Book,USD
01uWC000005pIlHYAU,01tWC00000DD1wHYAT,VISUAL Control Performance Planner-NewMaintenance,VISUAL Control Performance Planner,SM-PN-RSS-VISCPPS,Standard Price Book,USD
01uWC000005pIpJYAU,01tWC00000DD1p7YAD,VnE Manager 1800-NewMaintenance,VnE Manager 1800,FIM-FML-NRPS-VM18P,Standard Price Book,USD
01uWC000005pIw9YAE,01tWC00000DCwWtYAL,JDA Bundle-NewMaintenance,JDA Bundle,DM-DOE-NRPS-JDABPE,Standard Price Book,USD
01uWC000005pIwFYAU,01tWC00000DCwWtYAL,JDA Bundle-RenewalMaintenance,JDA Bundle,DM-DOE-NRPS-JDABPE,Standard Price Book,USD
01uWC000005pIwuYAE,01tWC00000DCxkyYAD,TE Academic Institution Site License - VMWare ESX-RenewalMaintenance,TE Academic Institution Site License - VMWare ESX,FIM-FIM-NRPS-TEEP,Standard Price Book,USD
01uWC000005pJ6AYAU,01tWC00000DCxleYAD,Threat Aware-NewMaintenance,Threat Aware,DP-DLP-NRPS-THREPE,Standard Price Book,USD
01uWC000005pJ6GYAU,01tWC00000DCxleYAD,Threat Aware-RenewalMaintenance,Threat Aware,DP-DLP-NRPS-THREPE,Standard Price Book,USD
01uWC000005pJ78YAE,01tWC00000DCxlzYAD,Titus Classification Suite-NewMaintenance,Titus Classification Suite,DP-DC-RSS-TCSS,Standard Price Book,USD
01uWC000005pJ7EYAU,01tWC00000DCxlzYAD,Titus Classification Suite-RenewalMaintenance,Titus Classification Suite,DP-DC-RSS-TCSS,Standard Price Book,USD
01uWC000005pJ7WYAU,01tWC00000DCxm7YAD,Titus Message Classification-NewMaintenance,Titus Message Classification,DP-DC-RSS-TMCS,Standard Price Book,USD
01uWC000005pJ7cYAE,01tWC00000DCxm7YAD,Titus Message Classification-RenewalMaintenance,Titus Message Classification,DP-DC-RSS-TMCS,Standard Price Book,USD
01uWC000005pJ8HYAU,01tWC00000DCyxoYAD,VMC - Windows Performance Agent-NewMaintenance,VMC - Windows Performance Agent,SM-VMC-RSS-VWPS,Standard Price Book,USD
01uWC000005pJ8NYAU,01tWC00000DCyxoYAD,VMC - Windows Performance Agent-RenewalMaintenance,VMC - Windows Performance Agent,SM-VMC-RSS-VWPS,Standard Price Book,USD
01uWC000005pJ8TYAU,01tWC00000DCyxsYAD,VMC - Windows Security Agent - 10 Units Package-NewMaintenance,VMC - Windows Security Agent - 10 Units Package,SM-VMC-RSS-VMPS,Standard Price Book,USD
01uWC000005pJMmYAM,01tWC00000DD1PGYA1,Green Screen-NewMaintenance,Green Screen,BI-SQ-NRPS-GREEPE,Standard Price Book,USD
01uWC000005pJMsYAM,01tWC00000DD1PGYA1,Green Screen-RenewalMaintenance,Green Screen,BI-SQ-NRPS-GREEPE,Standard Price Book,USD
01uWC000005pJrgYAE,01tWC00000DD1tDYAT,VMC - Windows Operations Agent-NewMaintenance,VMC - Windows Operations Agent,SM-VMC-RSS-VWOS,Standard Price Book,USD
01uWC000005pJrmYAE,01tWC00000DD1tDYAT,VMC - Windows Operations Agent-RenewalMaintenance,VMC - Windows Operations Agent,SM-VMC-RSS-VWOS,Standard Price Book,USD
01uWC000005pJuVYAU,01tWC00000DD1tsYAD,TrustCenter For SECURE Email Gateway-NewMaintenance,TrustCenter For SECURE Email Gateway,ES-SEG-RSS-TCSESU,Standard Price Book,USD
01uWC000005pJubYAE,01tWC00000DD1tsYAD,TrustCenter For SECURE Email Gateway-RenewalMaintenance,TrustCenter For SECURE Email Gateway,ES-SEG-RSS-TCSESU,Standard Price Book,USD
01uWC000005pJykYAE,01tWC00000DCyxsYAD,VMC - Windows Security Agent - 10 Units Package-RenewalMaintenance,VMC - Windows Security Agent - 10 Units Package,SM-VMC-RSS-VMPS,Standard Price Book,USD
01uWC000005pKsvYAE,01tWC00000DD1rGYAT,VMC - iSeries Performance Agent (Powered by VCW)-NewMaintenance,VMC - iSeries Performance Agent (Powered by VCW),SM-VMC-RSS-VMCIS,Standard Price Book,USD
