AttributeValue,QuoteLineItemId,QuoteLineItem.Product2Id,QuoteLineItem.Product2.Name,QuoteLineItem.Product2.ProductCode,QuoteLineItem.Fortra_Product_Type__c,QuoteLineItem.NetUnitPrice,QuoteLineItem.Source_List_Price__c,QuoteLineItem.Quote.Status
Basic,0QLWC000002LeHR4A0,01tWC00000DD1yoYAD,DCS Advanced Bundle OLD,,Subscription,42.0,,Draft
Basic,0QLWC000002LeHS4A0,01tWC00000DD1yqYAD,DCS Essentials Bundle OLD,,Subscription,35.0,,Draft
Basic,0QLWC000002LfGi4AK,01tWC00000DD17PYAT,Click and Launch Security Awareness Training - All Star,HRM-HRM-RSL-CLSAAS,Subscription,3880.8,,Accepted
Basic,0QLWC000002LnkY4AS,01tWC00000DD17PYAT,Click and Launch Security Awareness Training - All Star,HRM-HRM-RSL-CLSAAS,Subscription,19.2,,Accepted
Basic,0QLWC000002Lo2H4AS,01tWC00000DD10xYAD,Fortra PCI Scanning,VM-BSL-RSL-FPSS,Software,0.0,,Accepted
Basic,0QLWC000002OeuP4AS,01tWC00000DCwVrYAL,Insite Analytics - Core,BI-ISA-NRPS-IACP,Perpetual,2500.0,,Draft
Basic,0QLWC000002OeuQ4AS,01tWC00000DCwVqYAL,Insite Analytics,BI-ISA-NRPS-INSIPE,Perpetual,0.0,,Draft
Basic,0QLWC000002PBDd4AO,01tWC00000DD17PYAT,Click and Launch Security Awareness Training - All Star,HRM-HRM-RSL-CLSAAS,Subscription,0.0,,Draft
Basic,0QLWC000002PGV34AO,01tWC00000DD1yoYAD,DCS Advanced Bundle OLD,,Subscription,16.38,,Draft
Basic,0QLWC000002PGV44AO,01tWC00000DD1yqYAD,DCS Essentials Bundle OLD,,Subscription,13.65,,Draft
Standard,0QLWC000002Phzz4AC,01tWC00000DD2BdYAL,GoAnywhere EDI X12,GOA-GAM-RSS-GAEX12S_LIC,Software,2888.0,,Accepted
Premium,0QLWC000002Phzt4AC,01tWC00000DD2BgYAL,Core Impact,OS-CI-RSS-CIS_LIC,Software,369.0,,Draft
Premier,0QLWC000002Phzu4AC,01tWC00000DD2JIYA1,DCS Advanced Bundle OLD,,Software,42.0,,Draft
Premium,0QLWC000002Pi014AC,01tWC00000DD1ypYAD,DCS Elite Bundle - OLD,,Software,62.0,,Draft
Standard,0QLWC000002Phzw4AC,01tWC00000DD2CPYA1,Automate Maintenance Add Ons,RPA-AUT-RSS-AMAOS_LIC,Software,0.0,,Draft
Standard,0QLWC000002Phzy4AC,01tWC00000DD2JJYA1,DCS Essentials Bundle OLD,,Software,35.0,,Accepted
Basic,0QLWC000002QNz84AG,01tWC00000DD17PYAT,Click and Launch Security Awareness Training - All Star,HRM-HRM-RSL-CLSAAS,Subscription,2180.0,,Draft
Basic,0QLWC000002QS4N4AW,01tWC00000DD1yoYAD,DCS Advanced Bundle OLD,,Subscription,21.0,,Draft
Basic,0QLWC000002QS4O4AW,01tWC00000DD1yqYAD,DCS Essentials Bundle OLD,,Subscription,13.65,,Draft
Basic,0QLWC000002QSZ04AO,01tWC00000DD1yoYAD,DCS Advanced Bundle OLD,,Subscription,16.38,,Draft
Basic,0QLWC000002QSZ14AO,01tWC00000DD1yqYAD,DCS Essentials Bundle OLD,,Subscription,13.65,,Draft
Basic,0QLWC000002QTGY4A4,01tWC00000DD1yoYAD,DCS Advanced Bundle OLD,,Subscription,16.38,,Draft
Basic,0QLWC000002QTGZ4A4,01tWC00000DD1yqYAD,DCS Essentials Bundle OLD,,Subscription,13.65,,Draft
Basic,0QLWC000002QYzO4AW,01tWC00000DD1yoYAD,DCS Advanced Bundle OLD,,Subscription,16.38,,Draft
Basic,0QLWC000002QYzP4AW,01tWC00000DD1yqYAD,DCS Essentials Bundle OLD,,Subscription,13.65,,Draft
Basic,0QLWC000002QWsl4AG,01tWC00000DD1yoYAD,DCS Advanced Bundle OLD,,Subscription,16.38,,Draft
Basic,0QLWC000002QWsm4AG,01tWC00000DD1yqYAD,DCS Essentials Bundle OLD,,Subscription,13.65,,Draft
Standard,0QLWC000002QYrK4AW,01tWC00000DD110YAD,Frontline PCI-ASV Scanning - External Only,VM-DDL-RSL-FPCIAS,Software,0.0,,Accepted
Standard,0QLWC000002QYrL4AW,01tWC00000DCy0FYAT,Structural Sanitization For SECURE ICAP Gateway,ES-SIG-RSS-SSSIGS_LIC,Software,0.0,,Accepted
Basic,0QLWC000002QaGP4A0,01tWC00000DCwVqYAL,Insite Analytics,BI-ISA-NRPS-INSIPE,Perpetual,0.0,,Draft
Basic,0QLWC000002QaGQ4A0,01tWC00000DCwVrYAL,Insite Analytics - Core,BI-ISA-NRPS-IACP,Perpetual,2500.0,,Draft
