Id,AttributeName,AttributeValue,QuoteLineItemId,QuoteLineItem.Product2.ProductCode,QuoteLineItem.Product2.Name,QuoteLineItem.Fortra_Product_Type__c,QuoteLineItem.NetUnitPrice,QuoteLineItem.UnitPrice,QuoteLineItem.Source_List_Price__c,QuoteLineItem.Quote.Status,QuoteLineItem.Quote.Name
0zuWC000003VdOLYA0,Maintenance Type Defn,Basic,0QLWC000002LeHR4A0,,DCS Advanced Bundle OLD,Subscription,42,42,,Draft,Testing Quote - 0113 Copy
0zuWC000003VdOUYA0,Maintenance Type Defn,Basic,0QLWC000002LeHS4A0,,DCS Essentials Bundle OLD,Subscription,35,35,,Draft,Testing Quote - 0113 Copy
0zuWC000003VfbUYAS,Maintenance Type Defn,Basic,0QLWC000002LfGi4AK,HRM-HRM-RSL-CLSAAS,Click and Launch Security Awareness Training - All Star,Subscription,3880.8,3880.8,,Accepted,Q-AB MTC Testing-2026-01-31
0zuWC000003Vk54YAC,Maintenance Type Defn,Basic,0QLWC000002LnkY4AS,HRM-HRM-RSL-CLSAAS,Click and Launch Security Awareness Training - All Star,Subscription,19.2,19.2,,Accepted,Q-AB MTC Testing-2026-01-31
0zuWC000003VkjDYAS,Maintenance Type Defn,Basic,0QLWC000002Lo2H4AS,VM-BSL-RSL-FPSS,Fortra PCI Scanning,Software,0,0,,Accepted,Q-AB MTC Testing-2026-01-31
0zuWC000003YMVuYAO,Maintenance Type Defn,Basic,0QLWC000002OeuP4AS,BI-ISA-NRPS-IACP,Insite Analytics - Core,Perpetual,2500,2500,,Draft,Quote Test 2
0zuWC000003YMW7YAO,Maintenance Type Defn,Basic,0QLWC000002OeuQ4AS,BI-ISA-NRPS-INSIPE,Insite Analytics,Perpetual,0,0,,Draft,Quote Test 2
0zuWC000003Z7mYYAS,Maintenance Type Defn,Basic,0QLWC000002PBDd4AO,HRM-HRM-RSL-CLSAAS,Click and Launch Security Awareness Training - All Star,Subscription,0,2180,,Draft,Q-UAT Attribute Volume Pricing - Quantity Boundary-2026-02-06
0zuWC000003ZIzdYAG,Maintenance Type Defn,Basic,0QLWC000002PGV34AO,,DCS Advanced Bundle OLD,Subscription,16.38,42,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003ZIzmYAG,Maintenance Type Defn,Basic,0QLWC000002PGV44AO,,DCS Essentials Bundle OLD,Subscription,13.65,35,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003aIL1YAM,Maintenance Type Defn,Standard,0QLWC000002Phzz4AC,GOA-GAM-RSS-GAEX12S_LIC,GoAnywhere EDI X12,Software,2888,2888,,Accepted,Integration Testing Quote 4 (do not delete)
0zuWC000003aIrBYAU,Maintenance Type Defn,Premium,0QLWC000002Phzt4AC,OS-CI-RSS-CIS_LIC,Core Impact,Software,369,369,,Draft,Integration Testing Quote 1 (do not delete)
0zuWC000003aIuLYAU,Maintenance Type Defn,Premier,0QLWC000002Phzu4AC,,DCS Advanced Bundle OLD,Software,42,42,,Draft,Integration Testing Quote 1 (do not delete)
0zuWC000003aJKEYA2,Maintenance Type Defn,Premium,0QLWC000002Pi014AC,,DCS Elite Bundle - OLD,Software,62,62,,Draft,Integration Testing Quote 5 (do not delete)
0zuWC000003aJP3YAM,Maintenance Type Defn,Standard,0QLWC000002Phzw4AC,RPA-AUT-RSS-AMAOS_LIC,Automate Maintenance Add Ons,Software,0,0,,Draft,Integration Testing Quote 3 (do not delete)
0zuWC000003aJiQYAU,Maintenance Type Defn,Standard,0QLWC000002Phzy4AC,,DCS Essentials Bundle OLD,Software,35,35,,Accepted,Integration Testing Quote 4 (do not delete)
0zuWC000003bl4pYAA,Maintenance Type Defn,Basic,0QLWC000002QNz84AG,HRM-HRM-RSL-CLSAAS,Click and Launch Security Awareness Training - All Star,Subscription,2180,2180,,Draft,Q-UAT Attribute Volume Pricing - Unit Price Mode-2026-02-09
0zuWC000003brF5YAI,Maintenance Type Defn,Basic,0QLWC000002QS4N4AW,,DCS Advanced Bundle OLD,Subscription,21,42,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003brFEYAY,Maintenance Type Defn,Basic,0QLWC000002QS4O4AW,,DCS Essentials Bundle OLD,Subscription,13.65,35,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003bsFpYAI,Maintenance Type Defn,Basic,0QLWC000002QSZ04AO,,DCS Advanced Bundle OLD,Subscription,16.38,42,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003bsFyYAI,Maintenance Type Defn,Basic,0QLWC000002QSZ14AO,,DCS Essentials Bundle OLD,Subscription,13.65,35,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003btILYAY,Maintenance Type Defn,Basic,0QLWC000002QTGY4A4,,DCS Advanced Bundle OLD,Subscription,16.38,42,,Draft,copy
0zuWC000003btIUYAY,Maintenance Type Defn,Basic,0QLWC000002QTGZ4A4,,DCS Essentials Bundle OLD,Subscription,13.65,35,,Draft,copy
0zuWC000003bwLDYAY,Maintenance Type Defn,Basic,0QLWC000002QYzO4AW,,DCS Advanced Bundle OLD,Subscription,16.38,42,,Draft,Testing Quote - 0113 (do not delete!) Copy MG020926
0zuWC000003bwLMYAY,Maintenance Type Defn,Basic,0QLWC000002QYzP4AW,,DCS Essentials Bundle OLD,Subscription,13.65,35,,Draft,Testing Quote - 0113 (do not delete!) Copy MG020926
0zuWC000003bzuBYAQ,Maintenance Type Defn,Basic,0QLWC000002QWsl4AG,,DCS Advanced Bundle OLD,Subscription,16.38,42,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003bzuKYAQ,Maintenance Type Defn,Basic,0QLWC000002QWsm4AG,,DCS Essentials Bundle OLD,Subscription,13.65,35,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003c48zYAA,Maintenance Type Defn,Standard,0QLWC000002QYrK4AW,VM-DDL-RSL-FPCIAS,Frontline PCI-ASV Scanning - External Only,Software,0,1421.2,,Accepted,COLA Renewal Test Quote -- do not delete
0zuWC000003c4DmYAI,Maintenance Type Defn,Standard,0QLWC000002QYrL4AW,ES-SIG-RSS-SSSIGS_LIC,Structural Sanitization For SECURE ICAP Gateway,Software,0,560.88,,Accepted,COLA Renewal Test Quote -- do not delete
0zuWC000003c7BrYAI,Maintenance Type Defn,Basic,0QLWC000002QaGP4A0,BI-ISA-NRPS-INSIPE,Insite Analytics,Perpetual,0,0,,Draft,Q-Victorias Test Opportunity - 0100-2026-01-30
0zuWC000003c7C5YAI,Maintenance Type Defn,Basic,0QLWC000002QaGQ4A0,BI-ISA-NRPS-IACP,Insite Analytics - Core,Perpetual,2500,2500,,Draft,Q-Victorias Test Opportunity - 0100-2026-01-30
0zuWC000003cEWXYA2,Maintenance Type Defn,Basic,0QLWC000002QdKj4AK,NW-INT-RNM-FLOWNE,Flow Exporters-NewMaintenance,New Maintenance,0,0,,Draft,Q-Ashley S Test Opp-2026-02-09
0zuWC000003cEwKYAU,Maintenance Type Defn,Basic,0QLWC000002QdUP4A0,RPA-AUD-RSS-ADS,Automate Desktop,Subscription,0,0,,Draft,Q-UAT Currency Test USD-2026-02-09
0zuWC000003cEwOYAU,Maintenance Type Defn,Basic,0QLWC000002QdUQ4A0,RPA-AUD-RSS-AFTPES,Automate FTP Essentials,Subscription,1000,1000,,Draft,Q-UAT Currency Test USD-2026-02-09
0zuWC000003cFxFYAU,Maintenance Type Defn,Basic,0QLWC000002Qdsb4AC,BI-ISA-NRPS-IACP,Insite Analytics - Core,Perpetual,2500,2500,,Draft,Q-UAT Currency Test USD-2026-02-09
0zuWC000003cFxSYAU,Maintenance Type Defn,Basic,0QLWC000002Qdsc4AC,BI-ISA-NRPS-INSIPE,Insite Analytics,Perpetual,0,0,,Draft,Q-UAT Currency Test USD-2026-02-09
0zuWC000003cqvBYAQ,Maintenance Type Defn,Basic,0QLWC000002QwvF4AS,ES-CEP-RSL-ACTIDB,Active Defense BEC Threat Intelligence Service,Subscription,94000,94000,,Accepted,UAT Quote to Order Happy Path --do not delete!
0zuWC000003csleYAA,Maintenance Type Defn,Basic,0QLWC000002Qxo54AC,SM-ROM-RNM-MONINE,Monitor-NewMaintenance,New Maintenance,0,0,,Draft,Q-Testing Places Quote/Opp-2026-02-10
0zuWC000003csqUYAQ,Maintenance Type Defn,Basic,0QLWC000002QxrJ4AS,SM-ROB-NRPS-RBCAP,Robot Bundle - Console & Alert,Perpetual,0,0,,Draft,Q-Testing Places Quote/Opp-2026-02-10
0zuWC000003csqnYAA,Maintenance Type Defn,Basic,0QLWC000002QxrK4AS,SM-ROA-NRPS-ROBOT,Robot Alert,Perpetual,0,0,,Draft,Q-Testing Places Quote/Opp-2026-02-10
0zuWC000003csr0YAA,Maintenance Type Defn,Basic,0QLWC000002QxrL4AS,SM-ROC-NRPS-ROCP,Robot Console,Perpetual,0,0,,Draft,Q-Testing Places Quote/Opp-2026-02-10
0zuWC000003css7YAA,Maintenance Type Defn,Basic,0QLWC000002Qxsv4AC,SM-ROB-RRM-RBCARM,Robot Bundle - Console & Alert-RenewalMaintenance,Renewal Maintenance,151110,151110,,Draft,Q-Testing Places Quote/Opp-2026-02-10
0zuWC000003ct1rYAA,Maintenance Type Defn,Basic,0QLWC000002Qxxl4AC,BI-ISA-NRPS-IACP,Insite Analytics - Core,Perpetual,2500,2500,,Draft,Q-Testing Places Quote/Opp-2026-02-10
0zuWC000003ct27YAA,Maintenance Type Defn,Basic,0QLWC000002Qxxm4AC,BI-ISA-NRPS-INSIPE,Insite Analytics,Perpetual,0,0,,Draft,Q-Testing Places Quote/Opp-2026-02-10
