AttributeValue,QuoteLineItemId,QuoteLineItem.Product2.ProductCode,QuoteLineItem.Fortra_Product_Type__c,QuoteLineItem.NetUnitPrice,QuoteLineItem.UnitPrice,QuoteLineItem.TotalPrice,QuoteLineItem.Source_List_Price__c,QuoteLineItem.Quote.Status,QuoteLineItem.Quote.QuoteTypeText__c
Basic,0QLWC000002LeHR4A0,,Subscription,42,42,42,,Draft,New
Basic,0QLWC000002LeHS4A0,,Subscription,35,35,35,,Draft,New
Basic,0QLWC000002LfGi4AK,HRM-HRM-RSL-CLSAAS,Subscription,3880.8,3880.8,388080,,Accepted,New
Basic,0QLWC000002LnkY4AS,HRM-HRM-RSL-CLSAAS,Subscription,19.2,19.2,3840,,Accepted,New
Basic,0QLWC000002Lo2H4AS,VM-BSL-RSL-FPSS,Software,0,0,0,,Accepted,New
Basic,0QLWC000002OeuP4AS,BI-ISA-NRPS-IACP,Perpetual,2500,2500,2500,,Draft,
Basic,0QLWC000002OeuQ4AS,BI-ISA-NRPS-INSIPE,Perpetual,0,0,0,,Draft,
Basic,0QLWC000002PBDd4AO,HRM-HRM-RSL-CLSAAS,Subscription,0,2180,0,,Draft,New
Basic,0QLWC000002PGV34AO,,Subscription,16.38,42,16.38,,Draft,New
Basic,0QLWC000002PGV44AO,,Subscription,13.65,35,13.65,,Draft,New
Standard,0QLWC000002Phzz4AC,GOA-GAM-RSS-GAEX12S_LIC,Software,2888,2888,2888,,Accepted,
Premium,0QLWC000002Phzt4AC,OS-CI-RSS-CIS_LIC,Software,369,369,369,,Draft,
Premier,0QLWC000002Phzu4AC,,Software,42,42,42,,Draft,
Premium,0QLWC000002Pi014AC,,Software,62,62,310,,Draft,
Standard,0QLWC000002Phzw4AC,RPA-AUT-RSS-AMAOS_LIC,Software,0,0,0,,Draft,
Standard,0QLWC000002Phzy4AC,,Software,35,35,350,,Accepted,
Basic,0QLWC000002QNz84AG,HRM-HRM-RSL-CLSAAS,Subscription,2180,2180,436000,,Draft,New
Basic,0QLWC000002QS4N4AW,,Subscription,21,42,21,,Draft,New
Basic,0QLWC000002QS4O4AW,,Subscription,13.65,35,13.65,,Draft,New
Basic,0QLWC000002QSZ04AO,,Subscription,16.38,42,16.38,,Draft,New
Basic,0QLWC000002QSZ14AO,,Subscription,13.65,35,13.65,,Draft,New
Basic,0QLWC000002QTGY4A4,,Subscription,16.38,42,16.38,,Draft,New
Basic,0QLWC000002QTGZ4A4,,Subscription,13.65,35,13.65,,Draft,New
Basic,0QLWC000002QYzO4AW,,Subscription,16.38,42,16.38,,Draft,New
Basic,0QLWC000002QYzP4AW,,Subscription,13.65,35,13.65,,Draft,New
Basic,0QLWC000002QWsl4AG,,Subscription,16.38,42,16.38,,Draft,New
Basic,0QLWC000002QWsm4AG,,Subscription,13.65,35,13.65,,Draft,New
Standard,0QLWC000002QYrK4AW,VM-DDL-RSL-FPCIAS,Software,0,1421.2,0,,Accepted,Renewal
Standard,0QLWC000002QYrL4AW,ES-SIG-RSS-SSSIGS_LIC,Software,0,560.88,0,,Accepted,Renewal
Basic,0QLWC000002QaGP4A0,BI-ISA-NRPS-INSIPE,Perpetual,0,0,0,,Draft,New
Basic,0QLWC000002QaGQ4A0,BI-ISA-NRPS-IACP,Perpetual,2500,2500,2500,,Draft,New
Basic,0QLWC000002QdKj4AK,NW-INT-RNM-FLOWNE,New Maintenance,0,0,0,,Draft,New
Basic,0QLWC000002QdUP4A0,RPA-AUD-RSS-ADS,Subscription,0,0,0,,Draft,New
Basic,0QLWC000002QdUQ4A0,RPA-AUD-RSS-AFTPES,Subscription,1000,1000,1000,,Draft,New
Basic,0QLWC000002Qdsb4AC,BI-ISA-NRPS-IACP,Perpetual,2500,2500,2500,,Draft,New
Basic,0QLWC000002Qdsc4AC,BI-ISA-NRPS-INSIPE,Perpetual,0,0,0,,Draft,New
