Id,Product2.ProductCode,Product2.Name,Fortra_Product_Type__c,QuoteId,Quote.Name,Quote.Status,Quantity,ListPrice,UnitPrice,NetUnitPrice,NetTotalPrice,TotalPrice,Source_List_Price__c,PricebookEntryId,CreatedDate
0QLWC000003DTLI4A4,GS-GSE-RRM-EFWO,EFT Workspaces (WSM)-RenewalMaintenance,Renewal Maintenance,0Q0WC000002QODd0AO,1 year Quote - 2.478%(2% CAP) Increase,Approved,1,0,423.28,,,423.28,,01uWC000005wsaxYAA,2026-05-04T17:12:25.000+0000
0QLWC000003DURq4AO,GS-GSE-RRM-EFWO,EFT Workspaces (WSM)-RenewalMaintenance,Renewal Maintenance,0Q0WC000002Q1BW0A0,1 year Quote - Approved 2% CAP Increase per SLSA,Approved,1,0,414.97,,,414.97,,01uWC000005wsaxYAA,2026-05-04T17:12:25.000+0000
0QLWC000003ENbx4AG,GS-GSE-RRM-EFWO,EFT Workspaces (WSM)-RenewalMaintenance,Renewal Maintenance,0Q0WC000002PqIV0A0,3 yeaer co-term - corr pricing line/total match,Approved,1,0,2468.8,,,2468.8,,01uWC000005wsaxYAA,2026-05-04T17:17:14.000+0000
0QLWC000003DFhT4AW,GS-GSE-RRM-EFSMB,EFT SMB WSM Module 25 Users-RenewalMaintenance,Renewal Maintenance,0Q0WC000002Q8HC0A0,ARR Project - Small Renewal - 12.5% Increase,Approved,1,0,419.22,,,419.22,,01uWC000005wt89YAA,2026-05-04T17:11:04.000+0000
0QLWC000003E03u4AC,GS-GSE-RRM-EFWO,EFT Workspaces (WSM)-RenewalMaintenance,Renewal Maintenance,0Q0WC000002Q6qK0AS,Carahsoft 5% Margin,Approved,1,0,914.17,,,914.17,,01uWC000005wsaxYAA,2026-05-04T17:15:16.000+0000
0QLWC000003E0424AC,GS-GSE-RRM-EFWO,EFT Workspaces (WSM)-RenewalMaintenance,Renewal Maintenance,0Q0WC000002QAnN0AW,Carahsoft Quote,Approved,1,0,985.93,,,985.93,,01uWC000005wsaxYAA,2026-05-04T17:15:16.000+0000
0QLWC000003DDY44AO,GS-GSE-RRM-EFSMB,EFT SMB WSM Module 25 Users-RenewalMaintenance,Renewal Maintenance,0Q0WC000002Plgx0AC,Climb/CDW - removed MTC,Approved,1,0,345.51,,,345.51,,01uWC000005wt89YAA,2026-05-04T17:10:48.000+0000
0QLWC000003DUQ64AO,GS-GSE-RRM-EFWO,EFT Workspaces (WSM)-RenewalMaintenance,Renewal Maintenance,0Q0WC000002PzqF0AS,Discounted Quote - 7.85% Increase - Coterm,Approved,1,0,400.88,,,400.88,,01uWC000005wsaxYAA,2026-05-04T17:12:25.000+0000
0QLWC000003E03y4AC,GS-GSE-RRM-EFWO,EFT Workspaces (WSM)-RenewalMaintenance,Renewal Maintenance,0Q0WC000002Q7xj0AC,Disti - Carahsoft,Approved,1,0,892.24,,,892.24,,01uWC000005wsaxYAA,2026-05-04T17:15:16.000+0000
0QLWC000003DuNK4A0,GS-GSE-RRM-EFWO,EFT Workspaces (WSM)-RenewalMaintenance,Renewal Maintenance,0Q0WC000002QB6o0AG,Disti- Climb,Approved,1,0,360.42,,,360.42,,01uWC000005wsaxYAA,2026-05-04T17:14:56.000+0000
0QLWC000003DuMo4AK,GS-GSE-RRM-EFWO,EFT Workspaces (WSM)-RenewalMaintenance,Renewal Maintenance,0Q0WC000002QB6m0AG,Disti- Climb ^ 7.85%,Approved,1,0,334.25,,,334.25,,01uWC000005wsaxYAA,2026-05-04T17:14:56.000+0000
0QLWC000003DLAm4AO,GS-GSE-RRM-EFSMB,EFT SMB WSM Module 25 Users-RenewalMaintenance,Renewal Maintenance,0Q0WC000002Qbh70AC,None Provided,Approved,1,0,208.04,,,208.04,,01uWC000005wt89YAA,2026-05-04T17:11:45.000+0000
0QLWC000003DLAf4AO,GS-GSE-RRM-EFSMB,EFT SMB WSM Module 25 Users-RenewalMaintenance,Renewal Maintenance,0Q0WC000002PzqG0AS,None Provided,Approved,1,0,208.04,,,208.04,,01uWC000005wt89YAA,2026-05-04T17:11:45.000+0000
0QLWC000003DIDH4A4,GS-GSE-RRM-EFWO,EFT Workspaces (WSM)-RenewalMaintenance,Renewal Maintenance,0Q0WC000002Q85r0AC,None Provided,Approved,1,0,1027.7,,,1027.7,,01uWC000005wsaxYAA,2026-05-04T17:11:31.000+0000
0QLWC000003DIDB4A4,GS-GSE-RRM-EFWO,EFT Workspaces (WSM)-RenewalMaintenance,Renewal Maintenance,0Q0WC000002Q7Mh0AK,None Provided,Approved,1,0,952.88,,,952.88,,01uWC000005wsaxYAA,2026-05-04T17:11:31.000+0000
0QLWC000003DDY64AO,GS-GSE-RRM-EFSMB,EFT SMB WSM Module 25 Users-RenewalMaintenance,Renewal Maintenance,0Q0WC000002Pz7M0AS,Renewal for OID 1310579,Approved,1,0,372.64,,,372.64,,01uWC000005wt89YAA,2026-05-04T17:10:48.000+0000
0QLWC000003DIDT4A4,GS-GSE-RRM-EFWO,EFT Workspaces (WSM)-RenewalMaintenance,Renewal Maintenance,0Q0WC000002Q5mN0AS,Renewal for OID 1316560,Approved,1,0,1108.39,,,1108.39,,01uWC000005wsaxYAA,2026-05-04T17:11:31.000+0000
0QLWC000003ERcK4AW,GS-GSE-RRM-EFWO,EFT Workspaces (WSM)-RenewalMaintenance,Renewal Maintenance,0Q0WC000002Q6Ov0AK,SHI/Climb Quote - 12.2%(6.2)  Increase - 1 year,Approved,1,0,309.93,,,309.93,,01uWC000005wsaxYAA,2026-05-04T17:17:38.000+0000
