67.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
20:01:20.1 (1441183)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
20:01:20.1 (1557766)|EXECUTION_STARTED
20:01:20.1 (1585848)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
20:01:20.1 (2429714)|CODE_UNIT_FINISHED|Flow:Quote
20:01:20.1 (2455786)|EXECUTION_FINISHED
20:01:20.13 (13425530)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
20:01:20.13 (13447286)|EXECUTION_STARTED
20:01:20.13 (13468334)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
20:01:20.13 (13506866)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
20:01:20.13 (13571643)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
20:01:20.13 (13753000)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
20:01:20.13 (14388688)|HEAP_ALLOCATE|[95]|Bytes:3
20:01:20.13 (14452987)|HEAP_ALLOCATE|[100]|Bytes:152
20:01:20.13 (14471102)|HEAP_ALLOCATE|[417]|Bytes:408
20:01:20.13 (14514396)|HEAP_ALLOCATE|[430]|Bytes:408
20:01:20.13 (14558660)|HEAP_ALLOCATE|[317]|Bytes:6
20:01:20.13 (14585477)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
20:01:20.13 (14596593)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
20:01:20.13 (14735951)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x5fb7671f
20:01:20.13 (14766545)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
20:01:20.13 (14772921)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
20:01:20.13 (14785125)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x5fb7671f
20:01:20.13 (14790517)|STATEMENT_EXECUTE|[4]
20:01:20.13 (14811610)|HEAP_ALLOCATE|[68]|Bytes:5
20:01:20.13 (14837778)|HEAP_ALLOCATE|[74]|Bytes:5
20:01:20.13 (14843721)|HEAP_ALLOCATE|[82]|Bytes:7
20:01:20.13 (14878052)|STATEMENT_EXECUTE|[5]
20:01:20.13 (14879064)|STATEMENT_EXECUTE|[6]
20:01:20.13 (19761326)|VARIABLE_SCOPE_BEGIN|[9]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|String|false|true
20:01:20.13 (19775608)|VARIABLE_SCOPE_BEGIN|[8]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|String|false|true
20:01:20.13 (19823476)|HEAP_ALLOCATE|[6]|Bytes:5
20:01:20.13 (19832727)|HEAP_ALLOCATE|[6]|Bytes:5
20:01:20.13 (19861088)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|"Renew"
20:01:20.13 (19864522)|HEAP_ALLOCATE|[6]|Bytes:7
20:01:20.13 (19868268)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|"Renewal"
20:01:20.13 (19913518)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.QuoteRenewalTypeHandler()
20:01:20.13 (19925876)|STATEMENT_EXECUTE|[6]
20:01:20.13 (19932879)|STATEMENT_EXECUTE|[6]
20:01:20.13 (21759748)|SYSTEM_MODE_ENTER|false
20:01:20.13 (21969659)|HEAP_ALLOCATE|[6]|Bytes:5
20:01:20.13 (21989612)|SYSTEM_MODE_EXIT|false
20:01:20.13 (22016341)|METHOD_EXIT|[6]|QuoteRenewalTypeHandler
20:01:20.13 (22039538)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.applyRenewalQuoteType(List<Quote>)
20:01:20.13 (22062399)|VARIABLE_SCOPE_BEGIN|[11]|quotes|List<Quote>|true|false
