maint_PBE,maint_code,maint_product,contributor_code,contributor_product,contributor_list,GearsetExternalId,status
01uWC000005wt7qYAA,FIM-FIM-RRM-CCMLIR,01tWC00000DD16FYAT,FIM-FIM-NRPS-CCMLIM,01tWC00000DD16EYAT,18240,SC3372-01uWC000005wt7qYAA-01tWC00000DD16EYAT,READY
01uWC000005wt7mYAA,FIM-FIM-RRM-CCMNDR,01tWC00000DD15tYAD,FIM-FML-NRPS-CCMNDP,01tWC00000DD15sYAD,226.48,SC3372-01uWC000005wt7mYAA-01tWC00000DD15sYAD,READY
01uWC000005wt7sYAA,FIM-FIM-RRM-CCMSCA,01tWC00000DD16SYAT,FIM-FIM-NRPS-CCMSEP,01tWC00000DD16RYAT,6384,SC3372-01uWC000005wt7sYAA-01tWC00000DD16RYAT,READY
01uWC000005wt7nYAA,FIM-FIM-RRM-CCMSRM,01tWC00000DD15yYAD,FIM-FML-NRPS-CCMSER,01tWC00000DD15xYAD,302.48,SC3372-01uWC000005wt7nYAA-01tWC00000DD15xYAD,READY
01uWC000005wt7pYAA,FIM-FIM-RRM-CCMWRM,01tWC00000DD168YAD,FIM-FIM-NRPS-CCMWOR,01tWC00000DD167YAD,104.88,SC3372-01uWC000005wt7pYAA-01tWC00000DD167YAD,READY
01uWC000005wt7xYAA,FIM-FIM-RRM-DPEREN,01tWC00000DD1BPYA1,FIM-FIM-NRPS-DPEPER,01tWC00000DD1BOYA1,6832.4,SC3372-01uWC000005wt7xYAA-01tWC00000DD1BOYA1,READY
01uWC000005wsyoYAA,FIM-FIM-RRM-FIMLST,01tWC00000DD1IDYA1,FIM-FIM-NRPS-FIMLAD,01tWC00000DD1ICYA1,302.48,SC3372-01uWC000005wsyoYAA-01tWC00000DD1ICYA1,READY
01uWC000005wt8CYAQ,FIM-FIM-RRM-FIMSMR,01tWC00000DD1IbYAL,FIM-FIM-NRPS-FIMSMD,01tWC00000DD1IaYAL,150.48,SC3372-01uWC000005wt8CYAQ-01tWC00000DD1IaYAL,READY
01uWC000005wt8mYAA,FIM-TLC-RRM-TLOCEN,01tWC00000DD1pBYAT,FIM-TLC-NRPS-TLOGCE,01tWC00000DD1pAYAT,150.48,SC3372-01uWC000005wt8mYAA-01tWC00000DD1pAYAT,READY
01uWC000005wt8fYAA,FIM-TLC-RRM-TRIPLO,01tWC00000DD1odYAD,FIM-TLC-NRPS-TRCP,01tWC00000DD1ocYAD,150.48,SC3372-01uWC000005wt8fYAA-01tWC00000DD1ocYAD,READY
01uWC000005wt8jYAA,FIM-TLC-RRM-TRLOGC,01tWC00000DD1ovYAD,FIM-TLC-NRPS-TRILCE,01tWC00000DD1osYAD,448.4,SC3372-01uWC000005wt8jYAA-01tWC00000DD1osYAD,READY
01uWC000005wsydYAA,FIM-FIM-RNM-CCMLMS,01tWC00000DD16DYAT,FIM-FIM-NRPS-CCMLIM,01tWC00000DD16EYAT,18240,SC3372-01uWC000005wsydYAA-01tWC00000DD16EYAT,READY
01uWC000005wsygYAA,FIM-FIM-RNM-CCMMSN,01tWC00000DD16LYAT,FIM-FIM-NRPS-CCMMSP,01tWC00000DD16MYAT,52820,SC3372-01uWC000005wsygYAA-01tWC00000DD16MYAT,READY
01uWC000005wsyZYAQ,FIM-FIM-RNM-CCMNDN,01tWC00000DD15rYAD,FIM-FML-NRPS-CCMNDP,01tWC00000DD15sYAD,226.48,SC3372-01uWC000005wsyZYAQ-01tWC00000DD15sYAD,READY
01uWC000005wsyhYAA,FIM-FIM-RNM-CCMSEN,01tWC00000DD16QYAT,FIM-FIM-NRPS-CCMSEP,01tWC00000DD16RYAT,6384,SC3372-01uWC000005wsyhYAA-01tWC00000DD16RYAT,READY
01uWC000005wsyaYAA,FIM-FIM-RNM-CCMSNM,01tWC00000DD15wYAD,FIM-FML-NRPS-CCMSER,01tWC00000DD15xYAD,302.48,SC3372-01uWC000005wsyaYAA-01tWC00000DD15xYAD,READY
01uWC000005wsycYAA,FIM-FIM-RNM-CCMWNM,01tWC00000DD166YAD,FIM-FIM-NRPS-CCMWOR,01tWC00000DD167YAD,104.88,SC3372-01uWC000005wsycYAA-01tWC00000DD167YAD,READY
01uWC000005wsykYAA,FIM-FIM-RNM-DPELNM,01tWC00000DD1BVYA1,FIM-FIM-NRPS-DPELIM,01tWC00000DD1BWYA1,2500.4,SC3372-01uWC000005wsykYAA-01tWC00000DD1BWYA1,READY
01uWC000005wsyjYAA,FIM-FIM-RNM-DPENEW,01tWC00000DD1BNYA1,FIM-FIM-NRPS-DPEPER,01tWC00000DD1BOYA1,6832.4,SC3372-01uWC000005wsyjYAA-01tWC00000DD1BOYA1,READY
01uWC000005wsynYAA,FIM-FIM-RNM-FIMLSW,01tWC00000DD1IBYA1,FIM-FIM-NRPS-FIMLAD,01tWC00000DD1ICYA1,302.48,SC3372-01uWC000005wsynYAA-01tWC00000DD1ICYA1,READY
01uWC000005wsytYAA,FIM-FIM-RNM-FIMSSW,01tWC00000DD1IZYA1,FIM-FIM-NRPS-FIMSMD,01tWC00000DD1IaYAL,150.48,SC3372-01uWC000005wsytYAA-01tWC00000DD1IaYAL,READY
01uWC000005wt5iYAA,FIM-FIM-RNM-IP36NE,01tWC00000DCwWUYA1,FIM-FML-NRPS-IP36PE,01tWC00000DCwWVYA1,53.2,SC3372-01uWC000005wt5iYAA-01tWC00000DCwWVYA1,READY
01uWC000005wsyBYAQ,FIM-TLC-RNM-TLCFSI,01tWC00000DD1oqYAD,FIM-TLC-NRPS-TRILCE,01tWC00000DD1osYAD,448.4,SC3372-01uWC000005wsyBYAQ-01tWC00000DD1osYAD,READY
01uWC000005wsyDYAQ,FIM-TLC-RNM-TLCMEI,01tWC00000DD1p6YAD,FIM-TLC-NRPS-TLOGCE,01tWC00000DD1pAYAT,150.48,SC3372-01uWC000005wsyDYAQ-01tWC00000DD1pAYAT,READY
01uWC000005wt5JYAQ,FIM-TLC-RNM-TRIPWL,01tWC00000DD1obYAD,FIM-TLC-NRPS-TRCP,01tWC00000DD1ocYAD,150.48,SC3372-01uWC000005wt5JYAQ-01tWC00000DD1ocYAD,READY
01uWC000005wsZeYAI,FIM-FIM-RRM-DPENOT,01tWC00000DD1BbYAL,FIM-FIM-NRPS-DPENON,01tWC00000DD1BaYAL,0,SC3372-01uWC000005wsZeYAI-01tWC00000DD1BaYAL,HOLD-zerolist-contributor
01uWC000005wsgCYAQ,FIM-TLC-RRM-TLCDRM,01tWC00000DD1ohYAD,FIM-TLC-NRPS-TLCDP,01tWC00000DD1ogYAD,0,SC3372-01uWC000005wsgCYAQ-01tWC00000DD1ogYAD,HOLD-zerolist-contributor
01uWC000005wsvuYAA,FIM-FIM-RNM-DPENTU,01tWC00000DD1BZYA1,FIM-FIM-NRPS-DPENON,01tWC00000DD1BaYAL,0,SC3372-01uWC000005wsvuYAA-01tWC00000DD1BaYAL,HOLD-zerolist-contributor
01uWC000005wsmpYAA,FIM-FIM-RNM-VEMEDP,01tWC00000DCyyFYAT,FIM-FIM-NRPS-VEMEVD,01tWC00000DCyyGYAT,0,SC3372-01uWC000005wsmpYAA-01tWC00000DCyyGYAT,HOLD-zerolist-contributor
